"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AUBANK",28,729.5,889.9,20426,24917.2,4491.2,21.99,0.89,""
"AUROPHARMA",34,1142.5,1212.75,38845,41233.5,2388.5,6.15,2.07,""
"AXISBANK",28,1196.43,1230.3,33500,34448.4,948.4,2.83,0.54,""
"BANKBARODA",90,232.4,283.15,20916,25483.5,4567.5,21.84,-0.65,""
"BANKINDIA",113,111.89,146.28,12643.57,16529.64,3886.07,30.74,-0.26,""
"CANBK",289,111.53,143.93,32233.6,41595.77,9362.17,29.04,0.25,""
"CENTRALBK",1029,36.47,37.61,37530.33,38700.69,1170.36,3.12,-0.45,""
"CUB",158,220.13,256.75,34781.06,40566.5,5785.44,16.63,2.01,""
"FEDERALBNK",115,221.1,236.65,25426.6,27214.75,1788.15,7.03,-1.02,""
"GICRE",89,372.95,388.9,33192.2,34612.1,1419.9,4.28,0.52,""
"HDFCBANK",31,659.5,989,20444.35,30659,10214.65,49.96,-0.05,""
"HINDUNILVR",11,2289.59,2416.2,25185.5,26578.2,1392.7,5.53,-0.34,""
"ICICIBANK",23,1375.3,1389.45,31632,31957.35,325.35,1.03,2.24,""
"IDBI",292,99.74,99.2,29123.2,28966.4,-156.8,-0.54,-0.85,""
"INDIANB",42,773.39,867.5,32482.2,36435,3952.8,12.17,0,""
"INDUSINDBK",32,826.2,874.35,26438.4,27979.2,1540.8,5.83,1.14,""
"INDUSTOWER",86,376.6,410.9,32387.6,35337.4,2949.8,9.11,0.97,""
"INFY",12,1484,1551.8,17808,18621.6,813.6,4.57,0.01,""
"KARURVYSYA",136,237.56,252.35,32308.51,34319.6,2011.09,6.22,0.92,""
"KOTAKBANK",16,1912.59,2080.3,30601.45,33284.8,2683.35,8.77,-0.2,""
"LUPIN",13,2025,2059.9,26325,26778.7,453.7,1.72,1.18,""
"MAHABANK",854,54.88,57.17,46863.6,48823.18,1959.58,4.18,-0.69,""
"NATIONALUM",120,261.5,269.37,31380,32324.4,944.4,3.01,0.91,""
"NESTLEIND",14,1152.53,1282.5,16135.4,17955,1819.6,11.28,0.34,""
"PNB",345,107.12,121.85,36955.1,42038.25,5083.15,13.75,-0.49,""
"RECLTD",88,383,362.15,33704,31869.2,-1834.8,-5.44,-0.03,""
"SBIN",42,852.09,958.35,35787.6,40250.7,4463.1,12.47,0.1,""
"TCS",6,3036,3120.6,18216,18723.6,507.6,2.79,-0.36,""
"UCOBANK",600,28.33,30.86,16998,18516,1518,8.93,-0.9,""
"UJJIVANSFB",874,48.77,52.1,42622.92,45535.4,2912.48,6.83,2.16,""
"UNIONBANK",231,143.75,155.1,33206.25,35828.1,2621.85,7.9,-0.76,""
"WIPRO",97,240.8,245.6,23357.6,23823.2,465.6,1.99,0.14,""
