"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AUBANK",28,729.5,878.1,20426,24586.8,4160.8,20.37,0.01,""
"AXISBANK",28,1196.43,1233,33500,34524,1024,3.06,-0.45,""
"BAJAJFINSV",9,2114.9,2088.3,19034.1,18794.7,-239.4,-1.26,-1.24,""
"BANDHANBNK",190,172.59,156.56,32792.1,29746.4,-3045.7,-9.29,-8.22,""
"BANKBARODA",90,232.4,278.4,20916,25056,4140,19.79,2.07,""
"BANKINDIA",113,111.89,139.88,12643.57,15806.44,3162.87,25.02,0.75,""
"CANBK",289,111.53,136.99,32233.6,39590.11,7356.51,22.82,3.09,""
"CENTRALBK",500,35.1,39.49,17550,19745,2195,12.51,0.46,""
"CUB",158,220.13,229.1,34781.06,36197.8,1416.74,4.07,-2.66,""
"FEDERALBNK",115,221.1,236.75,25426.6,27226.25,1799.65,7.08,0.83,""
"GICRE",89,372.95,374.5,33192.2,33330.5,138.3,0.42,-2.14,""
"HDFCBANK",31,659.5,987.65,20444.35,30617.15,10172.8,49.76,-1.05,""
"HINDUNILVR",11,2289.59,2466.65,25185.5,27133.15,1947.65,7.73,-0.12,""
"ICICIBANK",23,1375.3,1345.3,31632,30941.9,-690.1,-2.18,-1.26,""
"ICICIGI",19,1992.31,1995.85,37853.9,37921.15,67.25,0.18,-0.9,""
"IDBI",292,99.74,103.8,29123.2,30309.6,1186.4,4.07,6.03,""
"INDIANB",42,773.39,859.9,32482.2,36115.8,3633.6,11.19,0.6,""
"INDUSTOWER",86,376.6,363.75,32387.6,31282.5,-1105.1,-3.41,-1.22,""
"KARURVYSYA",136,237.56,243.15,32308.51,33068.4,759.89,2.35,-0.76,""
"KOTAKBANK",16,1912.59,2102.2,30601.45,33635.2,3033.75,9.91,-1.64,""
"MAHABANK",854,54.88,59.04,46863.6,50420.16,3556.56,7.59,1.06,""
"NESTLEIND",14,1152.53,1271.6,16135.4,17802.4,1667,10.33,-0.65,""
"PNB",345,107.12,122.9,36955.1,42400.5,5445.4,14.74,2.33,""
"RECLTD",88,383,375,33704,33000,-704,-2.09,-0.86,""
"SBIN",42,852.09,937,35787.6,39354,3566.4,9.97,0.31,""
"UCOBANK",600,28.33,33.21,16998,19926,2928,17.23,2.34,""
"UJJIVANSFB",874,48.77,51.8,42622.92,45273.2,2650.28,6.22,-1.73,""
"UNIONBANK",231,143.75,148.67,33206.25,34342.77,1136.52,3.42,4.46,""
