"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-09-19 15:15:06","BUY","J&KBANK","CNC","180/180",105.6,"COMPLETE",""
"2025-09-19 15:00:50","BUY","IOB","CNC","412/412",40.82,"COMPLETE",""
"2025-09-19 14:20:08","BUY","IDBI","CNC","190/190",94.12,"COMPLETE",""
"2025-09-19 14:15:06","BUY","KARURVYSYA","CNC","81/81",216.31,"COMPLETE",""
"2025-09-19 14:11:16","BUY","FEDERALBNK","CNC","85/85",198.48,"COMPLETE",""
"2025-09-19 14:10:09","SELL","CAMS","CNC","6/6",4091.73,"COMPLETE",""
"2025-09-19 14:09:39","SELL","BAJAJ-AUTO","CNC","2/2",8995.92,"COMPLETE",""
"2025-09-19 14:08:52","SELL","HDFCLIFE","CNC","27/27",783.14,"COMPLETE",""
"2025-09-19 14:07:17","SELL","HEROMOTOCO","CNC","2/2",5390,"COMPLETE",""
"2025-09-19 13:59:19","SELL","ETERNAL","CNC","40/40",337.35,"COMPLETE",""
"2025-09-19 13:58:26","SELL","HAL","CNC","2/2",4904.05,"COMPLETE",""
"2025-09-19 13:58:03","SELL","IDFCFIRSTB","CNC","165/165",72.04,"COMPLETE",""
"2025-09-19 13:55:24","SELL","DMART","CNC","2/2",4757.1,"COMPLETE",""
