symbol,analysis_date,entry_price,overall_score,recommendation,momentum_score,momentum_flags,breakout_score,breakout_patterns,undervaluation_score,fundamental_score,technical_score,profit_action,actual_return,max_drawdown,volatility,sharpe_ratio,holding_days
AUBANK,2025-05-08,688.1513671875,64.32691994441649,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,57.0,68.0,HOLD & MONITOR,8.066149413304318,-13.31841393820714,25.63224235924477,0.6970702257441339,60
AUBANK,2025-06-07,771.0491333007812,64.32691994441649,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,57.0,68.0,HOLD & MONITOR,-6.60694388156426,-15.408421904029911,23.620431093690332,-0.7757204847510069,60
AUBANK,2025-07-07,813.8499755859375,64.32691994441649,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,57.0,68.0,HOLD & MONITOR,-11.624076432381294,-16.167595078541307,23.3800045092919,-1.3129730507439543,60
AUBANK,2025-08-06,735.2000122070312,64.32691994441649,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,57.0,68.0,HOLD & MONITOR,16.64312306855449,-8.830674424261463,28.304156158997422,1.3915078046421079,59
AXISBANK,2025-05-08,1171.198974609375,72.48793230134777,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,58.0,HOLD & MONITOR,-7.105106381939932,-13.651447613380238,20.82951647881299,-0.9386459310415679,60
AXISBANK,2025-06-07,1218.8583984375,72.48793230134777,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,58.0,HOLD & MONITOR,-14.373675607310421,-15.193096336009058,16.58545865582342,-2.2597530733909665,60
AXISBANK,2025-07-07,1175.0999755859375,72.48793230134777,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,58.0,HOLD & MONITOR,-0.506266028012905,-10.955877688422248,18.49746238433994,-0.17709930009917096,60
AXISBANK,2025-08-06,1071.0,72.48793230134777,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,58.0,HOLD & MONITOR,14.634826904470504,-3.7434055562522883,18.663535848570227,1.8426469932201097,59
BANKINDIA,2025-05-08,104.08377838134766,91.15962770710095,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,95.1,95.0,88.0,HOLD & MONITOR,4.718682037095126,-10.740910170332581,23.500335756731236,0.4089788691126101,60
BANKINDIA,2025-06-07,124.78280639648438,91.15962770710095,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,95.1,95.0,88.0,HOLD & MONITOR,-6.802037378739978,-10.314295609996513,20.267038851596933,-0.9278138301356877,60
BANKINDIA,2025-07-07,117.72000122070312,91.15962770710095,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,95.1,95.0,88.0,HOLD & MONITOR,6.5577960234129,-7.397047937513175,22.45928286952,0.6299046926930424,60
BANKINDIA,2025-08-06,111.70999908447266,91.15962770710095,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,95.1,95.0,88.0,HOLD & MONITOR,27.00384258046008,-5.33951526720532,26.202060445695214,2.4866446094172017,59
BANKBARODA,2025-05-08,210.03172302246094,88.25884304424775,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,85.0,75.0,HOLD & MONITOR,11.803201725732938,-6.596242370990116,20.38223330352652,1.3288383671273232,60
BANKBARODA,2025-06-07,248.02000427246094,88.25884304424775,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,85.0,75.0,HOLD & MONITOR,-3.446318697303632,-6.524008302770932,18.90787700217913,-0.5567708819974739,60
BANKBARODA,2025-07-07,241.08999633789062,88.25884304424775,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,85.0,75.0,HOLD & MONITOR,8.274946634649684,-6.524008302770932,18.609164505896693,0.9878175390033846,60
BANKBARODA,2025-08-06,241.75,88.25884304424775,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,85.0,75.0,HOLD & MONITOR,20.305725484648573,-5.7559202772905795,21.219333026427876,2.2854291743661252,59
CANBK,2025-05-08,92.0711441040039,93.27794839406627,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,96.6,100.0,75.0,HOLD & MONITOR,13.777869866833289,-8.356830625744653,26.865253600007293,1.1894582278372965,60
CANBK,2025-06-07,113.61908721923828,93.27794839406627,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,96.6,100.0,75.0,HOLD & MONITOR,-4.711780757162255,-11.279156699929253,24.493561664390633,-0.5572298384452449,60
CANBK,2025-07-07,114.30999755859375,93.27794839406627,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,96.6,100.0,75.0,HOLD & MONITOR,8.809569597901923,-11.279156699929253,26.004602712090623,0.7575995499665145,60
CANBK,2025-08-06,108.7699966430664,93.27794839406627,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,96.6,100.0,75.0,HOLD & MONITOR,28.30882554029505,-7.52582565025844,23.922291176482194,2.8593013144432424,59
CENTRALBK,2025-05-08,33.841468811035156,92.71799528729315,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,83.0,HOLD & MONITOR,7.697355564782556,-9.439081714704734,27.410109737047012,0.6186718952539191,60
CENTRALBK,2025-06-07,39.731224060058594,92.71799528729315,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,83.0,HOLD & MONITOR,-10.233491445843418,-13.9098046509919,18.817119432298206,-1.4490804249148896,60
CENTRALBK,2025-07-07,38.96028518676758,92.71799528729315,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,83.0,HOLD & MONITOR,-3.2700862045089387,-11.991002762045632,17.47770699658144,-0.5774606609111828,60
CENTRALBK,2025-08-06,35.497352600097656,92.71799528729315,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,83.0,HOLD & MONITOR,13.658521285442001,-5.840606761054138,23.876106815677193,1.3386598909130172,59
CUB,2025-05-08,178.32984924316406,85.49361624323905,🟢 STRONG BUY (UNDERVALUED) (ML: 72%),55,2,40,1,74.8,98.0,83.0,HOLD & MONITOR,20.61919900841041,-11.357421699468444,31.465943909766292,1.551799453925936,60
CUB,2025-06-07,202.7596893310547,85.49361624323905,🟢 STRONG BUY (UNDERVALUED) (ML: 75%),55,2,40,1,74.8,98.0,83.0,HOLD & MONITOR,-3.114717227633521,-14.148149271704776,30.683325974162496,-0.3164415669915251,60
CUB,2025-07-07,216.81724548339844,85.49361624323905,🟢 STRONG BUY (UNDERVALUED) (ML: 75%),55,2,40,1,74.8,98.0,83.0,HOLD & MONITOR,-0.5539493590083057,-10.674830535361949,25.42437042261713,-0.13347413244110173,60
CUB,2025-08-06,214.69000244140625,85.49361624323905,🟢 STRONG BUY (UNDERVALUED) (ML: 72%),55,2,40,1,74.8,98.0,83.0,HOLD & MONITOR,9.485596407818129,-10.240991322274034,29.4155456812039,0.7337227666057098,59
FEDERALBNK,2025-05-08,185.60641479492188,81.40640044724081,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,8.031798476927179,-7.4478810178481085,19.729787643613207,0.9013147387201587,60
FEDERALBNK,2025-06-07,211.42015075683594,81.40640044724081,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,-7.871789113284082,-11.81851858506558,16.590139978159808,-1.2924857155979348,60
FEDERALBNK,2025-07-07,213.75601196289062,81.40640044724081,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,-8.696514689945401,-11.011426814068495,15.782954893649281,-1.4874690088990583,60
FEDERALBNK,2025-08-06,196.18238830566406,81.40640044724081,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,20.490400869056614,-4.4990906327693425,21.844699562270574,2.241029569359678,59
HDFCBANK,2025-05-08,951.3900756835938,77.68494754150464,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,8.243636033186933,-3.0976786728557055,14.987206574804791,1.221390605986241,60
HDFCBANK,2025-06-07,976.2539672851562,77.68494754150464,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-1.5568880897293116,-6.752889995597563,13.394677437702427,-0.4380236441430761,60
HDFCBANK,2025-07-07,991.2332763671875,77.68494754150464,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-3.302486063698847,-6.752889995597563,11.816420147616364,-0.8608868389450116,60
HDFCBANK,2025-08-06,992.6500244140625,77.68494754150464,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-0.5061629478982942,-5.719703383028023,11.55290994013083,-0.28297670358014587,59
ICICIBANK,2025-05-08,1424.5084228515625,71.32763263938122,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,6.659947891853764,-3.3753152051308377,15.677450994181719,0.91846303840897,60
ICICIBANK,2025-06-07,1423.8138427734375,71.32763263938122,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-1.0626650796428228,-5.618855328591614,12.03164770554311,-0.3863322321956768,60
ICICIBANK,2025-07-07,1424.706787109375,71.32763263938122,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-4.120218251992998,-8.746386836320948,11.794433154394488,-1.03349512246684,60
ICICIBANK,2025-08-06,1432.54638671875,71.32763263938122,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-5.7981769630068305,-6.964035350752075,13.399042445003644,-1.2263410768444698,59
INDIANB,2025-05-08,540.1395263671875,87.08659792140533,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,80.0,HOLD & MONITOR,15.496039818162274,-5.757885060552226,25.07678089556538,1.443281840756258,60
INDIANB,2025-06-07,635.5499877929688,87.08659792140533,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,80.0,HOLD & MONITOR,6.640159045725646,-5.757885060552226,21.332330434197484,0.6727043390277636,60
INDIANB,2025-07-07,644.1500244140625,87.08659792140533,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,80.0,HOLD & MONITOR,15.425573859996025,-5.757885060552226,22.783070833475254,1.5809573079833703,60
INDIANB,2025-08-06,637.5,87.08659792140533,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,80.0,HOLD & MONITOR,35.92989151546805,-3.467397993538017,22.818004329747428,3.828405708200536,59
IOB,2025-05-08,35.25,75.39656219455885,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,50.0,HOLD & MONITOR,7.869045670537675,-13.338089460724628,32.42604833604819,0.5360297977156908,60
IOB,2025-06-07,40.529998779296875,75.39656219455885,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,50.0,HOLD & MONITOR,-2.1809102520347414,-11.251542187149905,21.442822090062336,-0.3453976117204691,60
IOB,2025-07-07,39.93000030517578,75.39656219455885,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,50.0,HOLD & MONITOR,0.8154935808777517,-10.13801067885532,20.99049393659215,-0.0007548645842226039,60
IOB,2025-08-06,36.400001525878906,75.39656219455885,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,50.0,HOLD & MONITOR,11.9258479415623,-6.55577356935559,25.482117911859653,1.0851682373289284,59
IDBI,2025-05-08,75.25991821289062,91.04780317308035,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,88.2,100.0,95.0,HOLD & MONITOR,24.053136032090457,-11.90288088328198,35.65218831393234,1.6071506921004448,60
IDBI,2025-06-07,99.19779968261719,91.04780317308035,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,88.2,100.0,95.0,HOLD & MONITOR,-7.570703937581884,-16.544781786699208,34.57928025678768,-0.5986217710768895,60
IDBI,2025-07-07,99.25653839111328,91.04780317308035,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,88.2,100.0,95.0,HOLD & MONITOR,-5.475797757157469,-14.866341541080116,31.291025625892793,-0.4964026036666922,60
IDBI,2025-08-06,89.58999633789062,91.04780317308035,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,88.2,100.0,95.0,HOLD & MONITOR,13.431673437694085,-12.2053734767599,36.14440945108519,0.868675361714184,59
J&KBANK,2025-05-08,89.2513427734375,77.67414389509237,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,58.0,HOLD & MONITOR,15.509210003527407,-10.795059577577751,35.56608672214796,1.0185361764715901,60
J&KBANK,2025-06-07,104.96585083007812,77.67414389509237,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,58.0,HOLD & MONITOR,-5.508943652967422,-13.494756867585744,28.636152019774052,-0.545279232768792,60
J&KBANK,2025-07-07,109.0316390991211,77.67414389509237,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,58.0,HOLD & MONITOR,-5.192855184864969,-12.573452532331386,25.301928487126702,-0.5863223159729345,60
J&KBANK,2025-08-06,99.35213470458984,77.67414389509237,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,58.0,HOLD & MONITOR,7.005726638893554,-5.871156517226649,24.913992341654048,0.6187200047378619,59
KARURVYSYA,2025-05-08,173.0805206298828,89.2731166040733,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.4,100.0,80.0,HOLD & MONITOR,26.305707739249783,-5.5291975446427815,29.820800767479167,2.1077326460451498,60
KARURVYSYA,2025-06-07,195.64584350585938,89.2731166040733,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.4,100.0,80.0,HOLD & MONITOR,6.401209555639194,-7.854217771850329,23.335467796917644,0.589703040972378,60
KARURVYSYA,2025-07-07,222.43544006347656,89.2731166040733,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.4,100.0,80.0,HOLD & MONITOR,-5.996274050314623,-10.220782493075973,21.6766853162218,-0.775795313727601,60
KARURVYSYA,2025-08-06,216.0,89.2731166040733,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.4,100.0,80.0,HOLD & MONITOR,15.526672037200479,-7.72797359784877,28.01690006327674,1.3066597296115898,59
KOTAKBANK,2025-05-08,2110.167236328125,64.02236880539265,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-5.811373001046676,-11.99213174168597,23.331919277846577,-0.7012120641283012,60
KOTAKBANK,2025-06-07,2135.737548828125,64.02236880539265,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-8.769470905861642,-12.764561743472017,22.65820139498475,-1.044063387660929,60
KOTAKBANK,2025-07-07,2147.32421875,64.02236880539265,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-7.139630673749066,-12.764561743472017,22.221010458203132,-0.8836993740242555,60
KOTAKBANK,2025-08-06,2002.4000244140625,64.02236880539265,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,6.09407288298144,-5.544578588683837,18.436131898886394,0.7131251595939473,59
MAHABANK,2025-05-08,48.88999938964844,86.40881027766241,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,100.0,100.0,58.0,HOLD & MONITOR,16.011588030688976,-7.0770297576244365,30.72342386581517,1.2194094032603457,60
MAHABANK,2025-06-07,56.849998474121094,86.40881027766241,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,100.0,100.0,58.0,HOLD & MONITOR,-6.4801697540296965,-10.93776936025835,22.606183346848844,-0.7966922598628552,60
MAHABANK,2025-07-07,57.38999938964844,86.40881027766241,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,100.0,100.0,58.0,HOLD & MONITOR,-1.5138190275698324,-9.368455967332562,22.38043501872293,-0.2574104613807871,60
MAHABANK,2025-08-06,53.959999084472656,86.40881027766241,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,100.0,100.0,58.0,HOLD & MONITOR,11.890981833438795,-6.698993394024106,30.307014326719983,0.9095473330418833,59
PNB,2025-05-08,88.7872314453125,85.6212987200701,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,85.0,90.0,HOLD & MONITOR,17.901026544780798,-8.34130978991261,25.588558666055828,1.6462287675073362,60
PNB,2025-06-07,109.04035186767578,85.6212987200701,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,85.0,90.0,HOLD & MONITOR,-3.979339432449675,-12.25537428693,23.90942109997989,-0.4952867629255796,60
PNB,2025-07-07,112.51000213623047,85.6212987200701,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,85.0,90.0,HOLD & MONITOR,0.48210062068437054,-12.25537428693,22.768384583501284,-0.03681153519177738,60
PNB,2025-08-06,103.83000183105469,85.6212987200701,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,85.0,90.0,HOLD & MONITOR,17.986430186778417,-6.506027964028573,22.46888327300231,1.9015899411631176,59
SBIN,2025-05-08,753.8627319335938,88.4811516090353,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,83.0,HOLD & MONITOR,4.272615081051186,-4.261936799864302,13.607186536878412,0.6254740976050208,60
SBIN,2025-06-07,820.0499877929688,88.4811516090353,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,83.0,HOLD & MONITOR,-0.599714026328074,-4.5328858547193045,12.756546160401513,-0.27486841755529773,60
SBIN,2025-07-07,806.8499755859375,88.4811516090353,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,83.0,HOLD & MONITOR,6.331132667961399,-4.5328858547193045,13.64379620908207,0.9959219248800544,60
SBIN,2025-08-06,805.1500244140625,88.4811516090353,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,87.5,100.0,83.0,HOLD & MONITOR,17.953174366250952,-3.4260610995412515,14.782521735518515,2.884750481447389,59
UCOBANK,2025-05-08,29.920000076293945,78.86447264901855,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,84.8,68.0,95.0,HOLD & MONITOR,0.47217975985933613,-14.706743064503113,28.276207927436058,-0.030506509739239792,60
UCOBANK,2025-06-07,33.16999816894531,78.86447264901855,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,84.8,68.0,95.0,HOLD & MONITOR,-13.08156560714886,-15.40785108527566,21.49839418003883,-1.5951018129960461,60
UCOBANK,2025-07-07,32.2400016784668,78.86447264901855,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,84.8,68.0,95.0,HOLD & MONITOR,-4.01253540628051,-14.004917631949448,18.892572146324902,-0.6311419965945246,60
UCOBANK,2025-08-06,28.360000610351562,78.86447264901855,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,84.8,68.0,95.0,HOLD & MONITOR,19.331920964459602,-5.185181135467705,22.52917414526933,2.0450453117104734,59
UJJIVANSFB,2025-05-08,41.439998626708984,68.55913022650469,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,71.6,53.0,83.0,HOLD & MONITOR,8.691384618986852,-15.637778029036866,35.22222830390294,0.5510605068972999,60
UJJIVANSFB,2025-06-07,48.56999969482422,68.55913022650469,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,71.6,53.0,83.0,HOLD & MONITOR,-16.163582246732695,-18.85102354979469,26.920322530966224,-1.5562124493969887,60
UJJIVANSFB,2025-07-07,47.0,68.55913022650469,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,71.6,53.0,83.0,HOLD & MONITOR,2.3339665800798666,-16.089411403578918,32.84959448049591,0.11352894292388414,60
UJJIVANSFB,2025-08-06,43.06999969482422,68.55913022650469,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,71.6,53.0,83.0,HOLD & MONITOR,21.831633349380823,-8.624608687789861,33.57274704535678,1.5575313408043714,59
UNIONBANK,2025-05-08,111.79297637939453,83.50053500414303,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,97.3,80.0,75.0,HOLD & MONITOR,10.16787177153625,-12.99984933961207,29.607742222475466,0.7785547407030353,60
UNIONBANK,2025-06-07,150.298583984375,83.50053500414303,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,97.3,80.0,75.0,HOLD & MONITOR,-13.931931559019326,-16.549202559733423,26.282941614912286,-1.3845293986338505,60
UNIONBANK,2025-07-07,147.18408203125,83.50053500414303,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,97.3,80.0,75.0,HOLD & MONITOR,-4.525653207897817,-14.110933784117218,25.50874191033744,-0.5170568880492792,60
UNIONBANK,2025-08-06,131.02000427246094,83.50053500414303,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,97.3,80.0,75.0,HOLD & MONITOR,13.914691097933549,-9.2416194265145,26.23990315668176,1.2423501018512573,59
