symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
COALINDIA,Energy,21,462.7122,466.65,0.851,2026-03-18,75.02,81.1,79.8
LUPIN,Healthcare,4,2297.5953,2460.1,7.0728,2026-03-18,72.31,83.2,83.2
AUROPHARMA,Healthcare,7,1304.303,1478.7,13.3709,2026-03-24,72.1,80.0,80.0
ONGC,Energy,36,268.8185,283.9,5.6103,2026-03-24,64.9,78.6,70.2
NMDC,Basic Materials,119,81.061,90.14,11.2002,2026-04-07,65.4,81.9,78.6
ADANIPOWER,Utilities,47,163.163,230.19,41.0798,2026-04-07,61.9,72.4,71.2
BSE,Financial Services,3,2961.959,3963.6,33.8168,2026-04-07,61.0,76.4,76.4
NESTLEIND,Consumer Defensive,7,1392.391,1476.0,6.0047,2026-04-22,80.8,82.5,80.8
ADANIPORTS,Industrials,6,1646.645,1732.8,5.2322,2026-04-29,80.3,81.9,81.9
MARICO,Consumer Defensive,12,832.9822,832.9822,0.0,2026-05-08,83.5,83.5,83.5
