,equity,benchmark,drawdown_pct
2025-05-13,98778.75012270508,100000.0,0.0
2025-05-14,98778.75012270508,100360.27960647213,0.0
2025-05-15,98778.75012270508,101968.19561804704,0.0
2025-05-16,98778.75012270508,101796.09769936146,0.0
2025-05-19,105294.23319077148,101493.58933862254,0.0
2025-05-20,105294.23319077148,100429.44617082727,0.0
2025-05-21,105294.23319077148,100956.53130951204,0.0
2025-05-22,105294.23319077148,100127.5496926085,0.0
2025-05-23,105294.23319077148,101118.06034830419,0.0
2025-05-26,104707.91846691896,101720.21632033719,-0.5568346015590864
2025-05-27,104707.91846691896,101008.40623277838,-0.5568346015590864
2025-05-28,104707.91846691896,100708.34540212006,-0.5568346015590864
2025-05-29,104707.91846691896,101038.51562068528,-0.5568346015590864
2025-05-30,104707.91846691896,100701.2253146129,-0.5568346015590864
2025-06-02,105825.31434663085,100562.4869130646,0.0
2025-06-03,105825.31434663085,99854.14151094455,0.0
2025-06-04,105825.31434663085,100170.27021765137,0.0
2025-06-05,105825.31434663085,100702.04380681519,0.0
2025-06-06,105825.31434663085,101727.9482903645,0.0
2025-06-09,111712.3687171875,102135.41436962392,0.0
2025-06-10,111712.3687171875,102139.68960073871,0.0
2025-06-11,111712.3687171875,102290.84047626711,0.0
2025-06-12,111712.3687171875,101260.66076160302,0.0
2025-06-13,111712.3687171875,100570.62415592992,0.0
2025-06-16,107397.18764882813,101497.86456973733,-3.862760335235349
2025-06-17,107397.18764882813,101119.07750366235,-3.862760335235349
2025-06-18,107397.18764882813,100950.84159672729,-3.862760335235349
2025-06-19,107397.18764882813,100874.34833518289,-3.862760335235349
2025-06-20,107397.18764882813,102172.85045472009,-3.862760335235349
2025-06-23,106842.56583691406,101601.20914343203,-4.359233392142913
2025-06-24,106842.56583691406,101895.97758761741,-4.359233392142913
2025-06-25,106842.56583691406,102711.3309120268,-4.359233392142913
2025-06-26,106842.56583691406,103949.20898291218,-4.359233392142913
2025-06-27,106842.56583691406,104310.50574474248,-4.359233392142913
2025-06-30,107106.52499873047,103819.21970674934,-4.122948757909928
2025-07-01,107106.52499873047,103919.91808720755,-4.122948757909928
2025-07-02,107106.52499873047,103560.25036325557,-4.122948757909928
2025-07-03,107106.52499873047,103364.5512616501,-4.122948757909928
2025-07-04,107106.52499873047,103591.1702968385,-4.122948757909928
2025-07-07,104718.00513740387,103592.39406187882,-6.261046704229011
2025-07-08,104718.00513740387,103841.39051494683,-6.261046704229011
2025-07-09,104718.00513740387,103652.60489116637,-6.261046704229011
2025-07-10,104718.00513740387,103160.91358033521,-6.261046704229011
2025-07-11,104718.00513740387,102325.21714876255,-6.261046704229011
2025-07-14,105539.39776546479,102050.38653890241,-5.525772143772456
2025-07-15,105539.39776546479,102512.1750715088,-5.525772143772456
2025-07-16,105539.39776546479,102578.29016978946,-5.525772143772456
2025-07-17,105539.39776546479,102168.98049644334,-5.525772143772456
2025-07-18,105539.39776546479,101586.96896841773,-5.525772143772456
2025-07-21,104045.71828430939,102084.55660171574,-6.8628483317609295
2025-07-22,104045.71828430939,101963.31645093835,-6.8628483317609295
2025-07-23,104045.71828430939,102610.22725873055,-6.8628483317609295
2025-07-24,104045.71828430939,101968.19561804704,-6.8628483317609295
2025-07-25,104045.71828430939,101052.35052286157,-6.8628483317609295
2025-07-28,100804.13958095245,100417.2403065293,-9.764567040781735
2025-07-29,100804.13958095245,100987.6578527771,-9.764567040781735
2025-07-30,100804.13958095245,101125.79231833147,-9.764567040781735
2025-07-31,100804.13958095245,100773.03807220452,-9.764567040781735
2025-08-01,100804.13958095245,99947.10792137547,-9.764567040781735
2025-08-04,99630.34143961791,100587.51052418069,-10.815299519927478
2025-08-05,99630.34143961791,100289.69061392081,-10.815299519927478
2025-08-06,99630.34143961791,99983.11363174923,-10.815299519927478
2025-08-07,99630.34143961791,100072.42464011177,-10.815299519927478
2025-08-08,99630.34143961791,99125.0477288232,-10.815299519927478
2025-08-11,98597.46665650635,100027.26453151453,-11.739883605801083
2025-08-12,98597.46665650635,99629.96205931048,-11.739883605801083
2025-08-13,98597.46665650635,100166.81347873888,-11.739883605801083
2025-08-14,98597.46665650635,100215.43827277483,-11.739883605801083
2025-08-18,99313.58048909913,101214.88877048566,-11.098849993483995
2025-08-19,99313.58048909913,101636.80958096775,-11.098849993483995
2025-08-20,99313.58048909913,101921.20780841561,-11.098849993483995
2025-08-21,99313.58048909913,102056.28286136927,-11.098849993483995
2025-08-22,99313.58048909913,101187.02030297721,-11.098849993483995
2025-08-25,104657.03071746675,101584.32277518125,-6.315628323647971
2025-08-26,104657.03071746675,100543.97945346177,-6.315628323647971
2025-08-28,104657.03071746675,99684.88844865133,-6.315628323647971
2025-08-29,104657.03071746675,99383.6038529527,-6.315628323647971
2025-09-01,106596.88735819855,100190.00938882075,-4.579153962744598
2025-09-02,106596.88735819855,100005.08577679082,-4.579153962744598
2025-09-03,106596.88735819855,100556.18531775974,-4.579153962744598
2025-09-04,106596.88735819855,100634.50628033835,-4.579153962744598
2025-09-05,106596.88735819855,100661.76286532664,-4.579153962744598
2025-09-08,107568.27615105745,100792.57063369176,-3.7096094315404726
2025-09-09,107568.27615105745,101180.91737082822,-3.7096094315404726
2025-09-10,107568.27615105745,101606.0883105407,-3.7096094315404726
2025-09-11,107568.27615105745,101737.913234264,-3.7096094315404726
2025-09-12,107568.27615105745,102179.35865970711,-3.7096094315404726
2025-09-15,110049.57292491914,101997.08124091364,-1.4884616729217592
2025-09-16,110049.57292491914,102688.34161162704,-1.4884616729217592
2025-09-17,110049.57292491914,103059.19804451882,-1.4884616729217592
2025-09-18,110049.57292491914,103439.00226595195,-1.4884616729217592
2025-09-19,110049.57292491914,103046.18163454482,-1.4884616729217592
2025-09-22,110485.64337742158,102538.81977397697,-1.0981105797438717
2025-09-23,110485.64337742158,102405.16714921947,-1.0981105797438717
2025-09-24,110485.64337742158,101947.04196520773,-1.0981105797438717
2025-09-25,110485.64337742158,101271.4441977048,-1.0981105797438717
2025-09-26,110485.64337742158,100310.637657078,-1.0981105797438717
2025-09-29,103601.0202859955,100230.08372062717,-7.260922424558736
2025-09-30,103601.0202859955,100133.24735191946,-7.260922424558736
2025-10-01,103601.0202859955,101049.5056664692,-7.260922424558736
2025-10-03,103601.0202859955,101285.27909988108,-7.260922424558736
2025-10-06,105513.23351680604,102031.46585993533,-5.549193228616678
2025-10-07,105513.23351680604,102156.17069615146,-5.549193228616678
2025-10-08,105513.23351680604,101903.30428480667,-5.549193228616678
2025-10-09,105513.23351680604,102455.21437145161,-5.549193228616678
2025-10-10,105513.23351680604,102876.51535288735,-5.549193228616678
2025-10-13,105088.30152628175,102640.53530979334,-5.929573660438026
2025-10-14,105088.30152628175,102307.52023483574,-5.929573660438026
2025-10-15,105088.30152628175,103031.94145953051,-5.929573660438026
2025-10-16,105088.30152628175,104096.90311952805,-5.929573660438026
2025-10-17,105088.30152628175,104603.64515104957,-5.929573660438026
2025-10-20,106395.13111951447,105145.99556663302,-4.759757275520881
2025-10-21,106395.13111951447,105249.5388034836,-4.759757275520881
2025-10-23,106395.13111951447,105342.30655075863,-4.759757275520881
2025-10-24,106395.13111951447,104950.70173786556,-4.759757275520881
2025-10-27,106602.95326330414,105646.0307300116,-4.573724031238147
2025-10-28,106602.95326330414,105524.57602302585,-4.573724031238147
2025-10-29,106602.95326330414,106003.45753356513,-4.573724031238147
2025-10-30,106602.95326330414,105287.17355173567,-4.573724031238147
2025-10-31,106602.95326330414,104653.48576359959,-4.573724031238147
2025-11-03,104801.47685357362,104821.31639769663,-6.1863264945259395
2025-11-04,104801.47685357362,104147.14900491612,-6.1863264945259395
2025-11-06,104801.47685357362,103789.30898199834,-6.1863264945259395
2025-11-07,104801.47685357362,103718.52132629111,-6.1863264945259395
2025-11-10,101973.70380490724,104052.34694692475,-8.717624578290694
2025-11-11,101973.70380490724,104543.02110239775,-8.717624578290694
2025-11-12,101973.70380490724,105278.83764571446,-8.717624578290694
2025-11-13,101973.70380490724,105292.4659382086,-8.717624578290694
2025-11-14,101973.70380490724,105418.1879297829,-8.717624578290694
2025-11-17,103640.38440577393,105838.87702869848,-7.225685395543547
2025-11-18,103640.38440577393,105418.1879297829,-7.225685395543547
2025-11-19,103640.38440577393,105998.37175677432,-7.225685395543547
2025-11-20,103640.38440577393,106565.94444662974,-7.225685395543547
2025-11-21,103640.38440577393,106061.43538898048,-7.225685395543547
2025-11-24,100391.00679334108,105619.37808101722,-10.134385345017382
2025-11-25,100391.00679334108,105315.45523860835,-10.134385345017382
2025-11-26,100391.00679334108,106619.4484077744,-10.134385345017382
2025-11-27,100391.00679334108,106661.15177745912,-10.134385345017382
2025-11-28,100391.00679334108,106609.88079018667,-10.134385345017382
2025-12-01,102603.93983613282,106499.21746582896,-8.153464997339466
2025-12-02,102603.93983613282,105915.16368056077,-8.153464997339466
2025-12-03,102603.93983613282,105727.1965489826,-8.153464997339466
2025-12-04,102603.93983613282,105921.47322239187,-8.153464997339466
2025-12-05,102603.93983613282,106542.74853654786,-8.153464997339466
2025-12-08,101916.47174505616,105623.653312132,-8.768856201528386
2025-12-09,101916.47174505616,105131.75539161872,-8.768856201528386
2025-12-10,101916.47174505616,104799.55086233717,-8.768856201528386
2025-12-11,101916.47174505616,105371.39878330736,-8.768856201528386
2025-12-12,101916.47174505616,105975.17584669242,-8.768856201528386
2025-12-15,101417.08998861391,105895.23379276176,-9.215880789921538
2025-12-16,101417.08998861391,105214.95552130602,-9.215880789921538
2025-12-17,101417.08998861391,105045.90906869493,-9.215880789921538
2025-12-18,101417.08998861391,105033.70320439698,-9.215880789921538
2025-12-19,101417.08998861391,105647.45315820778,-9.215880789921538
2025-12-22,105506.0615124817,106485.5891733348,-5.555613291503803
2025-12-23,105506.0615124817,106504.91512513992,-5.555613291503803
2025-12-24,105506.0615124817,106362.30676531485,-5.555613291503803
2025-12-26,105506.0615124817,105956.26311425157,-5.555613291503803
2025-12-29,104367.07250643006,105548.58247878376,-6.575186163452407
2025-12-30,104367.07250643006,105535.35945912765,-6.575186163452407
2025-12-31,104367.07250643006,106311.44899740665,-6.575186163452407
2026-01-01,104367.07250643006,106380.41689860591,-6.575186163452407
2026-01-02,104367.07250643006,107120.90599934918,-6.575186163452407
2026-01-05,107121.1905567749,106802.5363722439,-4.109820795256514
2026-01-06,107121.1905567749,106511.21672044479,-4.109820795256514
2026-01-07,107121.1905567749,106356.81571568601,-4.109820795256514
2026-01-08,107121.1905567749,105283.104930303,-4.109820795256514
2026-01-09,107121.1905567749,104495.62801992829,-4.109820795256514
2026-01-12,103058.8883182373,104930.7639035403,-7.746215122210398
2026-01-13,103058.8883182373,104694.9904701284,-7.746215122210398
2026-01-14,103058.8883182373,104423.60865265457,-7.746215122210398
2026-01-16,103058.8883182373,104540.5815188434,-7.746215122210398
2026-01-19,101787.51661791993,104097.71366520411,-8.8842911606265
2026-01-20,101787.51661791993,102661.49029947675,-8.8842911606265
2026-01-21,101787.51661791993,102356.34369202761,-8.8842911606265
2026-01-22,101787.51661791993,102895.03075901643,-8.8842911606265
2026-01-23,101787.51661791993,101913.47583838832,-8.8842911606265
2026-01-27,101628.11655838623,102429.17360497739,-9.02697908441159
2026-01-28,101628.11655838623,103110.05581242703,-9.02697908441159
2026-01-29,101628.11655838623,103419.88292382898,-9.02697908441159
2026-01-30,101628.11655838623,103020.1408680706,-9.02697908441159
2026-02-02,98751.87586600342,102075.20354033637,-11.60166327149954
2026-02-03,98751.87586600342,104675.6645183233,-11.60166327149954
2026-02-04,98751.87586600342,104872.78604812495,-11.60166327149954
2026-02-05,98751.87586600342,104330.84885190576,-11.60166327149954
2026-02-06,98751.87586600342,104537.93532560693,-11.60166327149954
2026-02-09,101563.11292270507,105244.25436353688,-9.08516748058259
2026-02-10,101563.11292270507,105520.30873843732,-9.08516748058259
2026-02-11,101563.11292270507,105596.38878061748,-9.08516748058259
2026-02-12,101563.11292270507,104999.7238582133,-9.08516748058259
2026-02-13,101563.11292270507,103632.26178400309,-9.08516748058259
2026-02-16,97825.69111966553,104493.38709952985,-12.430743128075349
2026-02-17,97825.69111966553,104666.91539293784,-12.430743128075349
2026-02-18,97825.69111966553,105049.15919792533,-12.430743128075349
2026-02-19,97825.69111966553,103564.11237500611,-12.430743128075349
2026-02-20,97825.69111966553,104039.73580978878,-12.430743128075349
2026-02-23,97321.46285358886,104616.46289786768,-12.882106098771251
2026-02-24,97321.46285358886,103443.27749706674,-12.882106098771251
2026-02-25,97321.46285358886,103678.6456576406,-12.882106098771251
2026-02-26,97321.46285358886,103735.8129673799,-12.882106098771251
2026-02-27,97321.46285358886,102442.39662463352,-12.882106098771251
2026-03-02,96485.96119248046,101169.11677936828,-13.630010445176765
2026-03-04,96485.96119248046,99601.88698211992,-13.630010445176765
2026-03-05,96485.96119248046,100763.07312830501,-13.630010445176765
2026-03-06,96485.96119248046,99479.62172945813,-13.630010445176765
2026-03-09,93985.79342817383,97761.0423935255,-15.868050684602808
2026-03-10,93985.79342817383,98711.26416120642,-15.868050684602808
2026-03-11,93985.79342817383,97105.1758506657,-15.868050684602808
2026-03-12,93985.79342817383,96178.75392906056,-15.868050684602808
2026-03-13,93985.79342817383,94193.06006024261,-15.868050684602808
2026-03-16,91809.15243469238,95241.54857135365,-17.816483985656383
2026-03-17,91809.15243469238,95942.77388596656,-17.816483985656383
2026-03-18,91809.15243469238,96742.86988000348,-17.816483985656383
2026-03-19,91809.15243469238,93587.0420764591,-17.816483985656383
2026-03-20,91809.15243469238,94044.15010511268,-17.816483985656383
2026-03-23,88087.63610615233,91595.45188517429,-21.147821751809648
2026-03-24,88087.63610615233,93221.88330287827,-21.147821751809648
2026-03-25,88087.63610615233,94825.11881050038,-21.147821751809648
2026-03-27,88087.63610615233,92844.31205531735,-21.147821751809648
2026-03-30,87361.57401027832,90858.0142505055,-21.79776061194798
2026-04-01,87361.57401027832,92273.89450906956,-21.79776061194798
2026-04-02,87361.57401027832,92411.00387273956,-21.79776061194798
2026-04-06,93667.91740211181,93449.11422058682,-16.152599324750927
2026-04-07,93667.91740211181,94081.37958052673,-16.152599324750927
2026-04-08,93667.91740211181,97636.13094762723,-16.152599324750927
2026-04-09,93667.91740211181,96731.87983421957,-16.152599324750927
2026-04-10,93667.91740211181,97852.78503891612,-16.152599324750927
2026-04-13,102336.41808112792,97006.71839060594,-8.392938708332165
2026-04-15,102336.41808112792,98587.98969971269,-8.392938708332165
2026-04-16,102336.41808112792,98447.41565060396,-8.392938708332165
2026-04-17,102336.41808112792,99085.37866985482,-8.392938708332165
2026-04-20,108032.7232965332,99131.34932412808,-3.2938567706587207
2026-04-21,108032.7232965332,99992.87991249285,-3.2938567706587207
2026-04-22,108032.7232965332,99185.25855811076,-3.2938567706587207
2026-04-23,108032.7232965332,98350.99250126051,-3.2938567706587207
2026-04-24,108032.7232965332,97231.70838791603,-3.2938567706587207
2026-04-27,109193.07704213867,98024.07241192566,-2.25515912336145
2026-04-28,109193.07704213867,97629.4161329581,-2.25515912336145
2026-04-29,109193.07704213867,98369.70657054549,-2.25515912336145
2026-04-30,109193.07704213867,97636.9494398295,-2.25515912336145
2026-05-04,110290.64366171874,98132.3040992553,-1.2726657502608485
2026-05-05,110290.64366171874,97780.3683453306,-1.2726657502608485
2026-05-06,110290.64366171874,98993.42146825581,-1.2726657502608485
2026-05-07,110290.64366171874,98975.93116401113,-1.2726657502608485
2026-05-08,110290.64366171874,98363.6036383965,-1.2726657502608485
2026-05-11,110823.88604995116,96897.67615760028,-0.7953306132874483
2026-05-12,110823.88604995116,95122.54139444848,-0.7953306132874483
