date,universe_n,held_pre,bought,sold,cash_pct,event,out,in,out_score,in_score
2025-05-13,198.0,0.0,10.0,0.0,8.84326901195739,,,,,
2025-05-19,,,,,,rotation,BDL,RVNL,63.47266824991813,81.33202626437361
2025-05-19,198.0,10.0,0.0,0.0,7.307668869252367,,,,,
2025-05-26,,,,,,rotation,WAAREEENER,HUDCO,61.06691745121624,74.16692725448631
2025-05-26,198.0,10.0,0.0,0.0,5.555053127942441,,,,,
2025-06-02,,,,,,rotation,SONACOMS,PRESTIGE,56.94168750388102,71.95746089220451
2025-06-02,198.0,10.0,0.0,0.0,6.410692320533595,,,,,
2025-06-09,198.0,10.0,0.0,1.0,8.480035567039673,,,,,
2025-06-16,198.0,9.0,1.0,2.0,10.158913691180864,,,,,
2025-06-23,,,,,,rotation,ATGL,SWIGGY,46.77499254769876,66.85163265672952
2025-06-23,198.0,10.0,0.0,1.0,11.756873678205944,,,,,
2025-06-30,198.0,9.0,1.0,3.0,14.949179146825825,,,,,
2025-07-07,198.0,9.0,1.0,3.0,17.496146795347773,,,,,
2025-07-14,198.0,8.0,2.0,3.0,12.051193932586477,,,,,
2025-07-21,198.0,9.0,1.0,3.0,13.441771781308463,,,,,
2025-07-28,198.0,8.0,2.0,3.0,15.145200746185223,,,,,
2025-08-04,,,,,,rotation,TATAELXSI,ABCAPITAL,40.68233979625769,61.24196539986585
2025-08-04,198.0,10.0,0.0,1.0,12.475608454612228,,,,,
2025-08-11,198.0,8.0,2.0,3.0,12.80369134024495,,,,,
2025-08-18,198.0,8.0,2.0,2.0,7.56374914992066,,,,,
2025-08-25,,,,,,rotation,ADANIGREEN,IDEA,50.041710910992435,70.00840138463104
2025-08-25,198.0,10.0,0.0,0.0,6.540058372645645,,,,,
2025-09-01,198.0,9.0,1.0,1.0,5.416685273930674,,,,,
2025-09-08,198.0,9.0,1.0,1.0,3.7949908151985214,,,,,
2025-09-15,,,,,,rotation,ABCAPITAL,ABFRL,45.88303302266208,68.53517685622886
2025-09-15,198.0,10.0,0.0,0.0,3.114171558246898,,,,,
2025-09-22,,,,,,rotation,DMART,ADANIGREEN,43.06328220527763,73.56683842233643
2025-09-22,198.0,10.0,0.0,0.0,2.0823367902568317,,,,,
2025-09-29,198.0,9.0,1.0,3.0,8.646507993136929,,,,,
2025-10-06,198.0,8.0,2.0,3.0,12.877496923488573,,,,,
2025-10-13,,,,,,rotation,HEROMOTOCO,BSE,40.80120528919523,62.9768571172837
2025-10-13,198.0,10.0,0.0,1.0,10.817704953730676,,,,,
2025-10-20,198.0,9.0,1.0,2.0,7.485023906831153,,,,,
2025-10-27,,,,,,rotation,SWIGGY,GODREJPROP,45.60638894101145,60.629206446161646
2025-10-27,198.0,10.0,0.0,1.0,10.691957446852005,,,,,
2025-11-03,198.0,7.0,3.0,4.0,9.240402035107193,,,,,
2025-11-10,198.0,7.0,3.0,4.0,7.987063425275004,,,,,
2025-11-17,198.0,9.0,1.0,1.0,8.620996391733026,,,,,
2025-11-24,198.0,7.0,3.0,4.0,11.111719322591687,,,,,
2025-12-01,,,,,,rotation,INDUSTOWER,KPITTECH,45.34326673387595,56.112862110376355
2025-12-01,198.0,10.0,0.0,1.0,11.957669773299843,,,,,
2025-12-08,,,,,,rotation,NATIONALUM,M&MFIN,43.62178681740283,54.99494904723399
2025-12-08,198.0,10.0,0.0,1.0,12.839613926916362,,,,,
2025-12-15,,,,,,rotation,TECHM,HINDZINC,45.680842529893056,58.23556791600265
2025-12-15,198.0,10.0,0.0,1.0,13.179525069690568,,,,,
2025-12-22,,,,,,rotation,SIEMENS,OLAELEC,44.57722550554704,63.658599307966405
2025-12-22,198.0,10.0,0.0,1.0,12.105334818596239,,,,,
2025-12-29,,,,,,rotation,HCLTECH,RVNL,44.4255814547119,67.22361025993041
2025-12-29,198.0,10.0,0.0,2.0,15.079394316660933,,,,,
2026-01-05,198.0,9.0,1.0,3.0,15.562887896736166,,,,,
2026-01-12,199.0,7.0,3.0,5.0,20.14989617962452,,,,,
2026-01-19,199.0,8.0,2.0,4.0,21.62777689393428,,,,,
2026-01-27,199.0,8.0,2.0,3.0,12.458851771326241,,,,,
2026-02-02,199.0,8.0,2.0,3.0,11.818525266129038,,,,,
2026-02-09,199.0,9.0,1.0,1.0,6.843166972727019,,,,,
2026-02-16,199.0,8.0,2.0,2.0,6.974345718298185,,,,,
2026-02-23,199.0,9.0,1.0,2.0,9.649148322120302,,,,,
2026-03-02,199.0,8.0,2.0,2.0,8.435539532806471,,,,,
2026-03-09,,,,,,rotation,M&MFIN,NATIONALUM,41.35741461368117,58.68211817256758
2026-03-09,199.0,10.0,0.0,1.0,10.613511825724258,,,,,
2026-03-16,199.0,6.0,4.0,4.0,1.3728723842610213,,,,,
2026-03-23,199.0,6.0,4.0,4.0,6.729147882748091,,,,,
2026-03-30,199.0,9.0,1.0,1.0,4.602417190339246,,,,,
2026-04-06,,,,,,rotation,CGPOWER,TRENT,51.29089188042161,72.61216259769142
2026-04-06,199.0,10.0,0.0,0.0,5.595861363606894,,,,,
2026-04-13,199.0,10.0,0.0,0.0,5.1218587657081525,,,,,
