symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
GMRAIRPORT,Industrials,2025-12-02,2025-12-03,1,68,107.3072,107.2826,-1.67,8.66,7.57,STCG,0.0,-17.9,-0.2453,50.49,50.49,50.49,107.3072,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 83 (heavy exhaustion) | 🕯️ Upper wicks: 3 rejections,10.0
ASHOKLEY,Industrials,2025-12-02,2025-12-03,1,46,160.16,160.1497,-0.47,8.75,7.64,STCG,0.0,-16.86,-0.2289,47.85,47.85,47.85,160.16,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 75 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
M&MFIN,Financial Services,2025-12-02,2025-12-04,2,6,367.9175,355.0446,-77.24,2.62,2.21,STCG,0.0,-82.07,-3.7177,58.4,58.4,58.4,367.9175,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | ⚠️ Bearish divergence (price up, RSI down)",10.0
IDEA,Communication Services,2025-12-02,2025-12-04,2,241,10.2102,10.6194,98.62,2.92,2.65,STCG,18.61,74.43,3.0249,53.69,53.69,53.69,10.55,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 5 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
GMRAIRPORT,Industrials,2025-12-02,2025-12-04,2,23,107.3072,104.895,-55.48,2.93,2.5,STCG,0.0,-60.91,-2.4681,50.49,50.49,50.49,107.3072,"MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
ASHOKLEY,Industrials,2025-12-02,2025-12-04,2,11,160.16,161.9379,19.56,2.09,1.85,STCG,3.12,12.49,0.7092,47.85,47.85,47.85,162.71,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
ASHOKLEY,Industrials,2025-12-02,2025-12-05,3,2,160.16,160.7491,1.18,0.38,0.33,STCG,0.09,0.37,0.116,47.85,47.85,47.85,162.71,MOMENTUM EXHAUSTION: 📉 Volume declining on rally | 🕯️ Upper wicks: 4 rejections,10.0
M&MFIN,Financial Services,2025-12-02,2025-12-06,4,5,367.9175,366.633,-6.42,2.18,1.9,STCG,0.0,-10.51,-0.5712,58.4,58.4,58.4,367.9175,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 70 | ⚠️ Bearish divergence (price up, RSI down)",10.0
ASHOKLEY,Industrials,2025-12-02,2025-12-06,4,1,160.16,160.7391,0.58,0.19,0.17,STCG,0.04,0.18,0.111,47.85,47.85,47.85,162.71,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 70 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
HINDZINC,Basic Materials,2025-12-02,2025-12-09,7,19,500.3499,488.511,-224.94,11.29,9.63,STCG,0.0,-245.85,-2.5861,56.27,56.27,38.52,504.4,score 38.5 < SELL_THRESHOLD 40,10.0
