,equity,benchmark,drawdown_pct
2025-12-01,99652.53794942627,100000.0,0.0
2025-12-02,99620.73735032807,99451.58866030582,-0.031911479378821106
2025-12-03,99714.08747277985,99275.0924042291,0.0
2025-12-04,99498.02295269776,99457.51315626105,-0.21668404691670418
2025-12-05,99808.27325119782,100040.87454514197,0.0
2025-12-08,98723.42918760225,99177.86799327622,-1.0869279953027888
2025-12-09,99359.27922326967,98715.98861780464,-0.44985652321438696
2025-12-10,99257.67977506563,98404.0571903384,-0.5516511389255907
2025-12-11,99984.2288826172,98941.00754037611,0.0
2025-12-12,100255.17967779085,99507.93852611673,0.0
2025-12-15,99795.36647439271,99432.87501313238,-0.4586428400766174
2025-12-16,98713.50624299317,98794.1113793301,-1.5377494108059442
2025-12-17,98614.06424583589,98635.38114953726,-1.6369382980802816
2025-12-18,98768.95536865389,98623.92015988081,-1.4824414198982283
2025-12-19,99954.42174606476,99200.21543078995,-0.29999241205560523
2025-12-22,100105.54798806459,99987.20338719999,-0.14925083193423339
2025-12-23,100625.7982589081,100005.34995415604,0.0
2025-12-24,101161.86780656129,99871.44440703705,0.0
2025-12-26,102402.8579999283,99490.17996141467,0.0
2025-12-29,101125.2417070267,99107.37842993993,-1.247637339284513
2025-12-30,101169.08265131686,99094.9623578121,-1.2048251120220677
2025-12-31,100586.40561350099,99823.69028346847,-1.7738297757554533
2026-01-01,101500.51508005372,99888.44935197654,-0.8811696641076172
2026-01-02,102195.1365807129,100583.74939113493,-0.20284728695320053
2026-01-05,101739.21695781252,100284.80857759567,-0.648068867488294
2026-01-06,101892.47747111818,100011.26698852947,-0.49840457461691745
2026-01-07,101673.59664226076,99866.288454008,-0.7121494183961574
2026-01-08,100023.3765857422,98858.101904912,-2.323647465178913
2026-01-09,99054.20830000001,98118.68153252533,-3.270074454299532
2026-01-12,98725.71378964845,98527.2628291453,-3.590860921364536
2026-01-13,98316.63397092286,98305.87769691412,-3.9903417822657827
2026-01-14,98496.65394467775,98051.05721660315,-3.8145459331352716
2026-01-16,98689.25506467286,98160.89170081087,-3.6264641512818274
2026-01-19,98634.4032407715,97745.05028509212,-3.680028890560294
2026-01-20,96416.55752841798,96396.47383551569,-5.845833396089894
2026-01-21,96322.81889621583,96109.94909410427,-5.937372474229896
2026-01-22,97215.13891879884,96615.76226325893,-5.065990522581987
2026-01-23,96823.14415261231,95694.10767838554,-5.448787227520436
2026-01-27,97102.32863095704,96178.33449137083,-5.17615374462983
2026-01-28,97604.56942990723,96817.66520539048,-4.685697903103858
2026-01-29,97912.23835996095,97108.58481848658,-4.385248349192061
2026-01-30,97670.11888364259,96733.23740723761,-4.62168655125722
2026-02-02,96447.444086792,95845.96579133358,-5.815671583248639
2026-02-03,98383.95646223145,98287.73112995806,-3.924598996738604
2026-02-04,98599.82512983399,98472.82312827713,-3.7137956345876244
2026-02-05,98314.64664777833,97963.95817216317,-3.992282473359121
2026-02-06,98309.44251850586,98158.40699406894,-3.997364489011912
2026-02-09,99333.9370755127,98821.62223145469,-2.9969094460407963
2026-02-10,99453.31643952637,99080.83012186852,-2.880331289585669
2026-02-11,99933.2381466797,99152.26730609438,-2.411670827830148
2026-02-12,100656.65756501466,98592.01443607155,-1.7052262690899322
2026-02-13,99751.22857941895,97308.00305387621,-2.5894095851418553
2026-02-16,101136.32083358154,98116.57736645559,-1.2368181817226653
2026-02-17,101240.41166152344,98279.51592838792,-1.135169819582249
2026-02-18,101885.27965773926,98638.43293649657,-0.5054334930665649
2026-02-19,100511.18944777832,97244.01252829432,-1.8472810125585548
2026-02-20,101213.79198684082,97690.61058422395,-1.1611648701135957
2026-02-23,100240.32685952149,98232.14234549153,-2.1117878764754017
2026-02-24,100409.76666359864,97130.55171532811,-1.9463239359306272
2026-02-25,100983.1470118042,97351.5563068871,-1.386397817261198
2026-02-26,101197.20528511963,97405.23492641089,-1.1773623689384727
