symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
OLAELEC,Consumer Cyclical,2025-06-03,2025-06-04,1,189,52.052,49.8501,-416.16,11.68,9.77,STCG,0.0,-437.61,-4.4483,65.79,65.79,65.79,52.052,VMQ SWING STOP: loss -5.2% <= -5%,10.0
MAHABANK,Financial Services,2025-06-03,2025-06-13,10,170,57.8077,52.947,-826.32,11.67,9.34,STCG,0.0,-847.32,-8.6221,54.65,54.65,-7.8,57.8077,VMQ SWING STOP: loss -6.4% <= -5%,10.0
PREMIERENE,Technology,2025-06-10,2025-06-13,3,9,1094.093,999.999,-846.85,11.69,9.34,STCG,0.0,-867.87,-8.8137,55.19,55.19,55.19,1094.093,VMQ SWING STOP: loss -6.4% <= -5%,10.0
ADANIENSOL,Utilities,2025-06-10,2025-06-14,4,10,908.0572,860.139,-479.18,10.78,8.92,STCG,0.0,-498.88,-5.494,54.12,54.12,54.12,915.5,VMQ SWING STOP: loss -5.2% <= -5%,10.0
HINDZINC,Basic Materials,2025-06-10,2025-06-18,8,18,530.53,461.538,-1241.86,11.34,8.62,STCG,0.0,-1261.81,-13.2133,50.64,50.64,-24.66,534.05,VMQ HARD STOP: loss -8.3% <= -8%,10.0
INDIANB,Financial Services,2025-06-03,2025-06-20,17,15,652.5519,618.381,-512.56,11.62,9.62,STCG,0.0,-533.81,-5.4535,55.07,55.07,2.42,652.5519,VMQ SWING STOP: loss -5.7% <= -5%,10.0
KPITTECH,Technology,2025-06-17,2025-06-25,8,6,1416.415,1307.4912,-653.54,10.09,8.14,STCG,0.0,-671.77,-7.9046,63.99,63.99,-11.58,1421.8,VMQ SWING STOP: loss -7.8% <= -5%,10.0
ONGC,Energy,2025-06-17,2025-06-25,8,37,257.1969,243.756,-497.31,11.3,9.35,STCG,0.0,-517.97,-5.4429,61.78,61.78,0.96,257.1969,VMQ SWING STOP: loss -5.2% <= -5%,10.0
PHOENIXLTD,Real Estate,2025-06-10,2025-07-02,22,6,1629.628,1545.453,-505.05,11.61,9.62,STCG,0.0,-526.28,-5.3824,70.46,70.46,3.12,1650.0,VMQ SWING STOP: loss -5.1% <= -5%,10.0
PRESTIGE,Real Estate,2025-06-03,2025-07-03,30,6,1543.7422,1603.9944,361.51,11.0,9.98,STCG,68.11,272.43,2.9412,54.17,54.17,-12.34,1748.6,VMQ TRAIL STOP: -8.4% from peak ₹1748.60,10.0
BHARATFORG,Consumer Cyclical,2025-06-24,2025-07-11,17,7,1310.9096,1220.778,-630.92,10.89,8.86,STCG,0.0,-650.68,-7.0908,38.75,38.75,-3.98,1314.5,VMQ SWING STOP: loss -5.8% <= -5%,10.0
BHEL,Industrials,2025-07-01,2025-07-17,16,35,268.0177,254.0957,-487.27,11.14,9.22,STCG,0.0,-507.63,-5.4115,63.31,63.31,-1.95,268.0177,VMQ SWING STOP: loss -5.1% <= -5%,10.0
AUBANK,Financial Services,2025-06-03,2025-07-22,49,13,725.725,752.1971,344.14,11.2,10.14,STCG,64.56,258.24,2.7372,54.78,88.57,88.57,838.35,VMQ TRAIL STOP: -10.2% from peak ₹838.35,10.0
IGL,Utilities,2025-06-03,2025-07-25,52,47,208.198,207.0228,-55.23,11.62,10.09,STCG,0.0,-76.94,-0.7863,73.25,73.25,-1.35,227.98,VMQ TRAIL STOP: -9.1% from peak ₹227.98,10.0
NATIONALUM,Basic Materials,2025-07-22,2025-08-01,10,47,195.8957,183.3665,-588.87,10.93,8.94,STCG,0.0,-608.74,-6.6117,59.72,59.72,6.27,198.9,VMQ SWING STOP: loss -5.5% <= -5%,10.0
MAHABANK,Financial Services,2025-07-01,2025-08-02,32,166,57.2972,54.2157,-511.53,11.34,9.33,STCG,0.0,-532.21,-5.5955,69.03,69.03,-4.19,58.33,VMQ SWING STOP: loss -5.3% <= -5%,10.0
DIVISLAB,Healthcare,2025-07-15,2025-08-02,18,1,6806.8,6365.628,-441.17,8.08,6.6,STCG,0.0,-455.86,-6.6971,54.96,54.96,5.58,6831.0,VMQ SWING STOP: loss -6.5% <= -5%,10.0
LTF,Financial Services,2025-07-22,2025-08-02,11,43,212.212,199.8,-533.72,10.83,8.91,STCG,0.0,-553.46,-6.0652,62.21,62.21,-0.65,213.51,VMQ SWING STOP: loss -5.2% <= -5%,10.0
BRITANNIA,Consumer Defensive,2025-06-03,2025-08-07,65,1,5610.605,5375.1195,-235.49,6.66,5.58,STCG,0.0,-247.72,-4.4152,42.65,42.65,-4.26,5884.0,VMQ TRAIL STOP: -8.2% from peak ₹5884.00,10.0
CIPLA,Healthcare,2025-07-29,2025-08-07,9,5,1564.9634,1474.6239,-451.7,9.29,7.65,STCG,0.0,-468.63,-5.9891,38.8,38.8,-3.26,1574.0,VMQ SWING STOP: loss -5.0% <= -5%,10.0
PIIND,Basic Materials,2025-06-17,2025-08-09,53,2,4105.101,3871.125,-467.95,9.75,8.03,STCG,0.0,-485.73,-5.9162,57.1,57.1,6.54,4324.2002,VMQ TRAIL STOP: -9.4% from peak ₹4324.20,10.0
GODREJCP,Consumer Defensive,2025-07-08,2025-08-09,32,7,1253.7525,1185.9129,-474.88,10.42,8.61,STCG,0.0,-493.91,-5.6278,67.22,67.22,24.89,1293.8,VMQ SWING STOP: loss -5.4% <= -5%,10.0
MUTHOOTFIN,Financial Services,2025-08-05,2025-08-13,8,3,2672.67,2519.478,-459.58,9.52,7.84,STCG,0.0,-476.94,-5.9483,64.35,64.35,17.13,2672.67,VMQ SWING STOP: loss -5.2% <= -5%,10.0
POLICYBZR,Financial Services,2025-08-12,2025-08-30,18,4,1866.865,1765.233,-406.53,8.87,7.32,STCG,0.0,-422.72,-5.6608,42.61,42.61,-13.25,1921.8,VMQ SWING STOP: loss -5.1% <= -5%,10.0
DABUR,Consumer Defensive,2025-07-08,2025-09-26,80,18,513.0125,507.492,-99.37,10.96,9.47,STCG,0.0,-119.81,-1.2974,62.77,62.77,10.53,552.7,VMQ TRAIL STOP: -8.4% from peak ₹552.70,10.0
UPL,Basic Materials,2025-08-05,2025-09-26,52,12,709.0083,666.333,-512.1,10.1,8.29,STCG,0.0,-530.5,-6.2352,69.33,69.33,6.63,727.95,VMQ SWING STOP: loss -5.6% <= -5%,10.0
ESCORTS,Industrials,2025-08-19,2025-09-30,42,2,3627.4238,3461.0355,-332.78,8.61,7.18,STCG,0.0,-348.57,-4.8046,62.96,62.96,7.76,3794.7,VMQ TRAIL STOP: -8.7% from peak ₹3794.70,10.0
BAJAJ-AUTO,Consumer Cyclical,2025-08-19,2025-10-01,43,1,8617.609,8711.28,93.67,10.23,9.04,STCG,14.88,59.52,0.6907,68.54,68.54,8.54,9433.5,VMQ TRAIL STOP: -8.0% from peak ₹9433.50,10.0
HINDZINC,Basic Materials,2025-09-02,2025-10-29,57,20,439.389,474.2253,696.73,11.46,9.84,STCG,135.09,540.34,6.1488,73.28,73.28,-4.13,513.2,VMQ TRAIL STOP: -8.2% from peak ₹513.20,10.0
AMBUJACEM,Basic Materials,2025-11-04,2025-11-22,18,16,583.3828,548.3011,-561.31,11.08,9.1,STCG,0.0,-581.49,-6.2297,73.89,73.89,1.82,583.3828,VMQ SWING STOP: loss -6.1% <= -5%,10.0
HINDPETRO,Energy,2025-09-30,2025-12-05,66,20,442.492,447.5021,100.2,10.51,9.28,STCG,16.08,64.33,0.7269,54.4,54.4,6.89,487.9,VMQ TRAIL STOP: -8.2% from peak ₹487.90,10.0
ACC,Basic Materials,2025-11-25,2025-12-06,11,4,1903.902,1796.4018,-430.0,9.04,7.45,STCG,0.0,-446.5,-5.8629,69.77,69.77,-19.3,1903.902,VMQ SWING STOP: loss -5.6% <= -5%,10.0
POLYCAB,Industrials,2025-06-24,2025-12-09,168,1,6315.309,7017.975,702.67,7.5,7.28,STCG,137.58,550.31,8.7139,65.08,65.08,26.25,7845.0,VMQ TRAIL STOP: -10.5% from peak ₹7845.00,10.0
OIL,Energy,2025-09-30,2025-12-09,70,21,416.416,400.6989,-330.06,10.38,8.73,STCG,0.0,-349.17,-3.9929,43.52,81.23,10.44,441.15,VMQ TRAIL STOP: -8.4% from peak ₹441.15,10.0
NYKAA,Consumer Cyclical,2025-10-07,2025-12-11,65,35,257.257,245.754,-402.61,10.69,8.92,STCG,0.0,-422.22,-4.6892,61.9,72.73,8.14,271.16,VMQ TRAIL STOP: -8.9% from peak ₹271.16,10.0
HEROMOTOCO,Consumer Cyclical,2025-08-05,2025-12-18,135,1,4540.536,5779.215,1238.68,5.39,5.99,STCG,245.46,981.84,21.6238,50.12,73.95,-3.13,6350.5,VMQ TRAIL STOP: -8.4% from peak ₹6350.50,10.0
IOC,Energy,2025-12-16,2025-12-25,9,55,169.6795,160.9389,-480.73,11.08,9.18,STCG,0.0,-500.99,-5.3683,73.49,73.49,-0.19,169.6795,VMQ SWING STOP: loss -5.0% <= -5%,10.0
HINDZINC,Basic Materials,2025-12-16,2026-01-09,24,16,564.564,587.5619,367.97,9.63,9.75,STCG,69.72,278.87,3.0872,38.73,38.73,-26.52,643.1,VMQ TRAIL STOP: -8.1% from peak ₹643.10,10.0
RVNL,Industrials,2025-12-23,2026-01-09,17,24,334.5342,343.656,218.92,9.53,8.55,STCG,40.17,160.67,2.0012,69.17,69.17,-22.2,387.95,VMQ TRAIL STOP: -11.7% from peak ₹387.95,10.0
PHOENIXLTD,Real Estate,2025-12-16,2026-01-21,36,5,1791.1894,1758.24,-164.75,10.11,9.12,STCG,0.0,-183.98,-2.0542,15.77,18.24,-2.13,1950.8,VMQ TRAIL STOP: -8.6% from peak ₹1950.80,10.0
TATACONSUM,Consumer Defensive,2025-12-30,2026-01-29,30,7,1201.9007,1128.87,-511.21,9.99,8.2,STCG,0.0,-529.4,-6.2924,46.26,77.28,77.28,1212.6,VMQ SWING STOP: loss -5.8% <= -5%,10.0
APOLLOTYRE,Consumer Cyclical,2025-08-19,2026-01-30,164,19,462.462,489.2602,509.17,10.43,9.64,STCG,97.82,391.27,4.453,71.24,71.24,-1.85,536.9,VMQ TRAIL STOP: -8.4% from peak ₹536.90,10.0
ABCAPITAL,Financial Services,2025-08-05,2026-02-03,182,32,279.279,347.652,2187.94,10.61,11.54,STCG,433.16,1732.63,19.3873,69.28,69.28,60.42,364.05,VMQ TRAIL STOP: -8.5% from peak ₹364.05,10.0
HCLTECH,Technology,2026-01-13,2026-02-07,25,5,1686.685,1598.7996,-439.43,10.01,8.29,STCG,0.0,-457.73,-5.4276,34.42,34.42,-3.69,1729.6,VMQ SWING STOP: loss -5.5% <= -5%,10.0
GRASIM,Basic Materials,2025-12-16,2026-03-05,79,3,2824.822,2682.315,-427.52,10.06,8.35,STCG,0.0,-445.93,-5.262,17.46,52.03,24.8,2953.8999,VMQ SWING STOP: loss -5.0% <= -5%,10.0
SONACOMS,Consumer Cyclical,2026-01-28,2026-03-05,36,19,489.9895,502.497,237.64,11.05,9.9,STCG,43.34,173.35,1.862,71.81,71.81,-4.95,545.35,VMQ TRAIL STOP: -8.1% from peak ₹545.35,10.0
ASHOKLEY,Industrials,2025-08-19,2026-03-07,200,67,131.8918,190.2595,3910.64,10.49,13.22,STCG,777.38,3109.54,35.1887,62.3,62.3,-4.36,211.92,VMQ TRAIL STOP: -8.1% from peak ₹211.92,10.0
SBIN,Financial Services,2025-09-30,2026-03-10,161,10,870.82,1109.9889,2391.69,10.34,11.51,STCG,473.97,1895.87,21.7711,47.08,53.3,19.35,1227.8,VMQ TRAIL STOP: -10.5% from peak ₹1227.80,10.0
INDUSTOWER,Communication Services,2025-12-16,2026-03-10,84,22,407.8074,441.6079,743.61,10.65,10.08,STCG,144.58,578.31,6.4458,29.89,29.89,4.47,477.75,VMQ TRAIL STOP: -8.2% from peak ₹477.75,10.0
TORNTPOWER,Utilities,2026-02-10,2026-03-10,28,6,1446.445,1438.56,-47.31,10.3,8.95,STCG,0.0,-66.57,-0.767,51.96,51.96,0.79,1566.4,VMQ TRAIL STOP: -8.8% from peak ₹1566.40,10.0
COLPAL,Consumer Defensive,2026-01-20,2026-03-12,51,4,2177.175,2037.96,-556.86,10.34,8.46,STCG,0.0,-575.65,-6.6101,69.07,69.07,3.68,2295.3,VMQ SWING STOP: loss -5.6% <= -5%,10.0
DMART,Consumer Defensive,2026-03-10,2026-03-14,4,2,3996.993,3820.4757,-353.03,9.49,7.93,STCG,0.0,-370.45,-4.6341,56.39,56.39,56.39,3996.993,VMQ DAY-3 FAIL: -4.1% < -2% vs entry,10.0
ADANIPOWER,Utilities,2026-03-17,2026-03-21,4,60,156.156,151.3885,-286.05,11.12,9.42,STCG,0.0,-306.59,-3.2723,60.8,60.8,60.8,156.156,VMQ DAY-3 FAIL: -3.0% < -2% vs entry,10.0
ZYDUSLIFE,Healthcare,2026-02-10,2026-03-24,42,10,920.92,879.0201,-419.0,10.93,9.12,STCG,0.0,-439.05,-4.7675,70.66,70.66,15.83,938.5,VMQ SWING STOP: loss -6.5% <= -5%,10.0
TORNTPHARM,Healthcare,2026-02-10,2026-04-03,52,2,4013.009,3983.2128,-59.59,9.53,8.26,STCG,0.0,-77.38,-0.9642,26.54,62.53,28.56,4446.0,VMQ TRAIL STOP: -10.3% from peak ₹4446.00,10.0
IRB,Industrials,2026-03-31,2026-04-07,7,426,22.2222,20.6493,-670.06,11.24,9.12,STCG,0.0,-690.42,-7.2932,64.49,64.49,22.76,22.2222,VMQ SWING STOP: loss -7.0% <= -5%,10.0
ADANIGREEN,Utilities,2026-04-07,2026-04-08,1,10,922.0211,968.031,460.1,10.95,10.04,STCG,87.82,351.29,3.81,68.83,68.83,68.83,925.35,VMQ TRAIL STOP: -10.1% from peak ₹1029.65,10.0
OLAELEC,Consumer Cyclical,2026-04-07,2026-04-09,2,328,28.7187,30.4695,574.26,14.5,10.37,STCG,109.88,439.51,4.6659,59.04,59.04,59.04,30.27,VMQ TRAIL STOP: -16.7% from peak ₹36.32,10.0
KALYANKJIL,Consumer Cyclical,2026-04-07,2026-04-24,17,21,435.435,412.3872,-484.0,10.86,8.98,STCG,0.0,-503.84,-5.51,64.63,64.63,-10.89,449.15,VMQ SWING STOP: loss -5.2% <= -5%,10.0
ICICIBANK,Financial Services,2026-04-14,2026-04-30,16,7,1359.358,1259.739,-697.33,11.3,9.15,STCG,0.0,-717.78,-7.5432,13.4,13.4,-5.36,1388.4,VMQ SWING STOP: loss -5.8% <= -5%,10.0
TRENT,Consumer Cyclical,2026-04-07,2026-05-13,36,2,3822.0182,4034.4615,424.89,9.08,8.37,STCG,81.49,325.95,4.2642,71.75,71.75,-10.07,4434.5,VMQ TRAIL STOP: -8.7% from peak ₹4434.50,10.0
ADANIPOWER,Utilities,2026-04-07,2026-05-13,36,57,163.163,208.791,2600.8,10.8,12.34,STCG,515.53,2062.12,22.1727,54.64,54.64,-24.46,230.19,VMQ TRAIL STOP: -8.9% from peak ₹230.19,10.0
SUZLON,Industrials,2026-04-14,2026-05-13,29,206,47.047,51.2587,867.61,11.51,10.95,STCG,169.03,676.12,6.9763,15.1,15.1,-18.44,57.32,VMQ TRAIL STOP: -10.1% from peak ₹57.32,10.0
