symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
DMART,Consumer Defensive,2,4079.075,4097.2002,0.4443,2026-03-31,65.44,65.44,13.03
TRENT,Consumer Cyclical,2,3822.0182,4300.0,12.506,2026-04-07,71.75,71.75,-10.52
ADANIGREEN,Utilities,10,922.0211,1411.1,53.0442,2026-04-07,68.83,68.83,-17.67
OLAELEC,Consumer Cyclical,333,28.7187,37.89,31.9349,2026-04-07,59.04,59.04,6.0
ADANIPOWER,Utilities,58,163.163,233.38,43.0349,2026-04-07,54.64,54.64,15.1
NMDC,Basic Materials,118,81.061,90.19,11.2619,2026-04-07,35.73,35.73,-5.67
BHEL,Industrials,35,291.311,419.4,43.9698,2026-04-14,57.64,57.64,-26.47
SUZLON,Industrials,217,47.047,53.99,14.7576,2026-04-14,15.1,23.55,23.55
PAYTM,Technology,9,1126.7757,1097.4,-2.6071,2026-04-28,66.78,66.78,3.3
SONACOMS,Consumer Cyclical,18,576.0255,594.65,3.2333,2026-05-05,64.33,64.33,-29.7
