date,universe_n,held_pre,bought,sold,cash_pct
2025-06-02,199,0,7,0,36.40588681230027
2025-06-09,199,6,4,0,7.436984218276771
2025-06-16,199,7,3,0,7.9393199466307856
2025-06-23,199,8,2,0,10.1876817520712
2025-06-30,199,8,2,0,8.074740271974475
2025-07-07,199,9,1,0,8.552294682544723
2025-07-14,199,9,1,0,10.447018818535145
2025-07-21,199,9,1,0,10.003816203013457
2025-07-28,199,10,0,0,10.320320721514745
2025-08-04,199,7,3,0,8.819679408387653
2025-08-11,199,8,0,1,26.82774654209258
2025-08-18,199,6,4,0,3.92635403413457
2025-08-25,199,10,0,0,3.8951938726107755
2025-09-01,199,10,0,0,3.9215652448885314
2025-09-08,199,10,0,0,3.863400492340567
2025-09-15,199,10,0,0,3.8840063668734404
2025-09-22,199,10,0,0,3.856781773555498
2025-09-29,199,9,1,0,6.866485626489763
2025-10-06,199,10,0,0,6.742760322450183
2025-10-13,199,10,0,0,6.648852962908491
2025-10-20,199,10,0,0,6.486991758655589
2025-10-27,199,10,0,0,6.415746022832038
2025-11-03,199,10,0,0,6.356484547773274
2025-11-10,199,10,0,0,6.383515444081573
2025-11-17,199,10,0,0,6.3029524221168085
2025-11-24,199,10,0,0,6.377784222426795
2025-12-01,199,9,1,0,5.902606627111698
2025-12-08,199,10,0,0,5.981324183181045
2025-12-15,199,10,0,0,5.846993394898836
2025-12-22,199,10,0,0,5.784512901744622
2025-12-29,199,10,0,0,5.802384858060135
2026-01-05,199,10,0,0,5.574759208706937
2026-01-12,199,10,0,0,5.695025111032495
2026-01-19,199,10,0,0,5.664163825449095
2026-01-27,199,9,1,0,5.962563340877456
2026-02-02,199,9,1,0,3.016728104440464
2026-02-09,199,10,0,0,2.8731911630838516
2026-02-16,199,10,0,0,2.910912007906443
2026-02-23,199,10,0,0,2.914117678178109
2026-03-02,199,10,0,0,2.913308191679101
2026-03-09,199,9,1,0,3.2946936185758746
2026-03-16,199,9,1,0,1.8227647325591154
2026-03-23,199,8,0,1,20.20398319652705
2026-03-30,199,8,2,0,1.350789947363583
2026-04-06,199,8,2,1,0.2919429902401376
2026-04-13,199,10,0,0,0.27179356632222385
2026-04-20,199,10,0,0,0.2611541016097406
2026-04-27,199,10,0,0,0.25852945509822106
2026-05-04,199,10,0,0,0.26006975404131505
2026-05-11,199,10,0,0,0.2539839174451019
2026-05-18,199,10,0,0,0.2604546661721767
2026-05-25,200,10,0,0,0.2543941250800525
