date,universe_n,held_pre,bought,sold,cash_pct
2025-06-03,10,0,10,0,2.660259654201542
2025-07-01,10,4,6,0,2.0426723524591424
2025-08-01,10,0,10,0,4.315400898076293
2025-09-01,10,4,6,0,4.473837379215877
2025-10-01,10,2,8,0,1.6447669770521822
2025-11-03,10,5,4,0,10.497643146274461
2025-12-01,10,2,8,0,1.9225648288956263
2026-01-01,10,6,2,0,18.499678404248474
2026-02-02,10,2,6,0,19.212435999594643
2026-03-02,10,4,6,0,2.7695367310526757
2026-04-01,10,1,9,0,1.4517136895682963
2026-05-01,10,3,7,0,3.5691444294139374
2026-06-01,10,4,6,0,2.2760336564743247
