,equity,benchmark,drawdown_pct
2025-06-03,996916.151811914,1000000.0,0.0
2025-06-04,1005332.4922049805,1003165.9048079862,0.0
2025-06-05,1011307.1988089844,1008491.4083986962,0.0
2025-06-06,1012386.9997123047,1018765.4387796678,0.0
2025-06-09,1015354.7976859375,1022846.0514923092,0.0
2025-06-10,1020522.9058402344,1022888.8662524194,0.0
2025-06-11,1020838.1971,1024402.5828919221,0.0
2025-06-12,1010853.2889579101,1014085.7377508404,-0.9781087904483732
2025-06-13,1008868.3495047851,1007175.2922226749,-1.1725509124970834
2025-06-16,1019446.5534842773,1016461.2407048997,-0.1363236230458531
2025-06-17,1017666.6985648437,1012667.8370428848,-0.3106759273081572
2025-06-18,1011964.5676444336,1010983.0205256187,-0.8692493561442638
2025-06-19,1008998.3434623047,1010216.9705612713,-1.1598168712074086
2025-06-20,1013971.0578788086,1023220.9591779567,-0.6726961472150572
2025-06-23,1007911.9395308595,1017496.1960120199,-1.2662396064196502
2025-06-24,1012086.6394820313,1020448.186182133,-0.8572913555576323
2025-06-25,1018444.6300826173,1028613.6294183559,-0.2344707539532087
2025-06-26,1023499.2793746095,1041010.4920036672,0.0
2025-06-27,1020856.8847212892,1044628.7371396556,-0.25817259538618575
2025-06-30,1017821.5844283204,1039708.700468575,-0.554733653526196
2025-07-01,1016180.8263574219,1040717.1551899766,-0.7150423224195457
2025-07-02,1009239.825625,1037115.2242283794,-1.39320603706945
2025-07-03,1010917.6854882813,1035155.3746052766,-1.2292723736958444
2025-07-04,1010795.1373925782,1037424.8752164613,-1.2412458160003692
2025-07-07,1005383.3847680665,1037437.1307425894,-1.7699958340578803
2025-07-08,1001961.0881372071,1039930.7324029745,-2.104367992380307
2025-07-09,1001408.7791772461,1038040.1185443618,-2.1583308012548152
2025-07-10,991231.7821069336,1033116.0232250178,-3.1526643855960823
2025-07-11,986913.193972168,1024746.8517622491,-3.574607832141974
2025-07-14,987669.3382592774,1021994.5311704186,-3.5007294912044573
2025-07-15,994278.8431420899,1026619.1619130081,-2.85495425559793
2025-07-16,993100.0924707032,1027281.2786492817,-2.9701229416088215
2025-07-17,991771.3298364258,1023182.2030661098,-3.0999484003125466
2025-07-18,986319.3364892579,1017353.5862534379,-3.632630098974743
2025-07-21,984270.3441796876,1022336.7309259448,-3.8328248964563993
2025-07-22,974896.8700585938,1021122.5584445349,-4.748651053834962
2025-07-23,981821.9335351563,1027601.1160486911,-4.072044473242753
2025-07-24,973044.7103367187,1021171.4213863706,-4.9296145150898525
2025-07-25,971125.7692356445,1011999.592543547,-5.117102785941075
2025-07-28,964196.7053141602,1005639.213227055,-5.794100226107146
2025-07-29,979464.1027750977,1011351.7208668636,-4.302414030659474
2025-07-30,978425.2542643555,1012735.0832739125,-4.403913712357044
2025-07-31,975257.1568782227,1009202.3880768055,-4.713449581113949
2025-08-01,966364.4116649413,1000931.0220790466,-5.582306588879993
2025-08-04,974301.1008739257,1007344.4025669756,-4.80686010162561
2025-08-05,970729.8679027343,1004361.8531628806,-5.155783939986646
2025-08-06,963016.0495433593,1001291.6051237648,-5.909455048000356
2025-08-07,958933.5046825195,1002186.019787104,-6.308336116420299
2025-08-08,943479.9134349609,992698.4121931344,-7.818214194400108
2025-08-11,951463.0605907226,1001733.7590404401,-7.0382285787151
2025-08-12,950215.003705957,997754.9308597331,-7.160168760786179
2025-08-13,948983.6491527343,1003131.2869257411,-7.280477057825241
2025-08-14,946459.1081981445,1003618.2451359886,-7.527134872389841
2025-08-18,962851.4935130859,1013627.3492411124,-5.925532834628012
2025-08-19,978578.3132762695,1017852.720408475,-4.3889592307078225
2025-08-20,977433.1648998046,1020700.856931853,-4.500844837228679
2025-08-21,983243.6053905273,1022053.5805235815,-3.9331414096040906
2025-08-22,978083.6639232421,1013348.2574870123,-4.4372884638587795
2025-08-25,980530.3105907226,1017327.0856677192,-4.198241234731725
2025-08-26,978749.5531444335,1006908.455994703,-4.372228406210454
2025-08-28,971964.7057933593,998304.9970714067,-5.03513530686015
2025-08-29,968389.3032665038,995287.7502037282,-5.384466527595366
2025-09-01,978681.5545613281,1003363.5848528064,-4.378872141528656
2025-09-02,981441.442378711,1001511.6475247021,-4.109219991009394
2025-09-03,990065.450191211,1007030.6929306305,-3.2666197091831495
