symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
SUPREMEIND,Industrials,2016-06-04,2016-07-02,28,109,898.3975,904.095,621.03,116.26,102.21,STCG,80.51,322.04,0.3289,185.43,185.43,67.22,916.7,LVM_ROTATION,10.0
GODREJCP,Consumer Defensive,2016-06-04,2016-07-02,28,188,523.523,546.12,4248.24,116.85,106.49,STCG,804.98,3219.92,3.2715,184.11,184.11,74.17,542.8666,LVM_ROTATION,10.0
PETRONET,Energy,2016-06-04,2016-07-02,28,730,134.8847,149.85,10924.67,116.9,113.46,STCG,2138.86,8555.44,8.6887,180.79,180.79,66.56,149.275,LVM_ROTATION,10.0
MPHASIS,Technology,2016-06-04,2016-07-02,28,175,562.4118,568.7307,1105.81,116.85,103.23,STCG,177.15,708.58,0.7199,177.48,177.48,66.89,594.85,LVM_ROTATION,10.0
INDUSINDBK,Financial Services,2016-06-04,2016-07-02,28,87,1126.0749,1122.876,-278.3,116.31,101.33,STCG,0.0,-495.94,-0.5062,175.17,175.17,52.98,1126.0749,LVM_ROTATION,10.0
HEROMOTOCO,Consumer Cyclical,2016-07-02,2016-08-02,31,31,3193.1399,3221.675,884.59,117.52,103.59,STCG,132.7,530.78,0.5362,185.1,185.1,81.13,3280.05,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2016-06-04,2016-09-02,90,86,1142.141,1316.5821,15001.93,116.61,117.44,STCG,2953.58,11814.3,12.0279,188.74,188.74,74.17,1347.85,LVM_ROTATION,10.0
PIDILITIND,Basic Materials,2016-06-04,2016-09-02,90,277,354.8545,348.651,-1718.37,116.7,100.17,STCG,0.0,-1935.24,-1.9688,187.09,192.05,81.13,375.8,LVM_ROTATION,10.0
GRASIM,Basic Materials,2016-07-02,2016-09-02,62,140,717.9179,713.4006,-632.42,119.33,103.59,STCG,0.0,-855.34,-0.851,178.81,178.81,68.87,815.6616,LVM_ROTATION,10.0
ASTRAL,Industrials,2016-07-02,2016-09-02,62,459,219.3242,217.7845,-706.72,119.52,103.68,STCG,0.0,-929.92,-0.9237,178.15,180.13,62.58,233.9101,LVM_ROTATION,10.0
ITC,Consumer Defensive,2016-07-02,2016-09-02,62,411,244.8251,252.0315,2961.83,119.46,107.44,STCG,546.99,2187.94,2.1744,176.16,176.16,66.56,251.3209,LVM_ROTATION,10.0
