,equity,benchmark,drawdown_pct
2020-01-01,996653.162132422,1000000.0,0.0
2020-01-02,997453.8950425782,1008183.8863379848,0.0
2020-01-03,998926.8335191407,1003624.0829571106,0.0
2020-01-06,989814.423271338,984448.9886876667,-0.9122199886953064
2020-01-07,992149.8927537599,989365.9097321979,-0.6784221364347753
2020-01-08,1000964.0921556153,987100.3167966346,0.0
2020-01-09,1011222.3377305665,1002741.6696593474,0.0
2020-01-10,1008448.5931626954,1006098.8963420892,-0.2742962120571901
2020-01-13,1016299.3351060548,1012070.5770316027,0.0
2020-01-14,1021060.8355638185,1014758.859403858,0.0
2020-01-15,1027329.3148729005,1013199.2452031602,0.0
2020-01-16,1031918.5223924317,1014200.6977221424,0.0
2020-01-17,1034118.9716722169,1013942.0980402216,0.0
2020-01-20,1028426.666832129,1003451.6564487994,-0.5504497060800584
2020-01-21,1025519.0554429688,998961.5932177304,-0.8316176827644517
2020-01-22,1031432.9879686036,993794.4092448184,-0.2597364304486094
2020-01-23,1049895.4048387208,999823.4852760107,0.0
2020-01-24,1055045.4028550782,1005397.0859839934,0.0
2020-01-27,1058789.277366797,994787.6051713524,0.0
2020-01-28,1064447.7485582032,989599.8197978658,0.0
2020-01-29,1065136.8349229493,995649.4972296327,0.0
2020-01-30,1057127.8048936524,987958.1206392366,-0.751924989043895
2020-01-31,1056125.6502916017,981908.4432074698,-0.8460119240923158
2020-02-03,1044231.9207679688,961042.5110301663,-1.9626505693508212
2020-02-04,1055644.3258277832,983349.0983480401,-0.8912009033893553
2020-02-05,1059129.9954444824,992337.401241535,-0.5639500279700171
2020-02-06,1063762.2467262207,996343.1311563719,-0.129052733100532
2020-02-07,1079923.1151649414,993092.518725631,0.0
2020-02-10,1090995.6559669434,987605.1713523497,0.0
2020-02-11,1081137.7152015625,993876.4942027498,-0.9035728704752555
2020-02-12,1094519.0094215332,1001535.0047455367,0.0
2020-02-13,1096791.605216211,999355.6651446748,0.0
2020-02-14,1092508.5123207031,994332.0496870511,-0.390511093915924
2020-02-17,1081965.4426490723,988778.9702185512,-1.351775715334358
2020-02-18,1080953.5722877441,984403.8579930228,-1.4440330189566586
2020-02-19,1105187.3599464356,995354.0234455161,0.0
2020-02-20,1098304.1676856934,991656.0319618304,-0.6228077256580034
2020-02-24,1088827.295096582,971015.8334188384,-1.4802978610474193
2020-02-25,1079673.944480127,968430.1572439976,-2.308514953296714
2020-02-26,1076263.993521875,958629.1812025446,-2.6170554851407624
2020-02-27,1075276.4259864746,954918.9250718243,-2.706412961636717
2020-02-28,1045868.0446388184,919495.1775087216,-5.367353758958315
2020-03-02,1040825.8666605467,913831.3154114509,-5.823582101862634
2020-03-03,1043654.1666788573,927830.8889544429,-5.5676707405123205
2020-03-04,1020057.7020208983,923537.8616868459,-7.702735392274407
2020-03-05,1027555.5250189452,925015.3909296122,-7.0243144050482815
2020-03-06,1015284.3701117187,902068.5569720911,-8.134637898778918
