symbol,analysis_date,entry_price,overall_score,recommendation,momentum_score,momentum_flags,breakout_score,breakout_patterns,undervaluation_score,fundamental_score,technical_score,profit_action,actual_return,max_drawdown,volatility,sharpe_ratio,holding_days
AUBANK,2025-05-07,686.7530517578125,68.39366148588721,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,65.0,80.0,HOLD & MONITOR,8.449975307485664,-13.31841393820714,25.595480367149253,0.7350577830762061,60
AUBANK,2025-06-06,748.6267700195312,68.39366148588721,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,65.0,80.0,HOLD & MONITOR,-8.138151357383663,-15.408421904029911,23.592995718806385,-0.9366968942595687,60
AUBANK,2025-07-06,813.8499755859375,68.39366148588721,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,65.0,80.0,HOLD & MONITOR,-11.624076432381294,-16.167595078541307,23.3800045092919,-1.3129730507439543,60
AUBANK,2025-08-05,742.6500244140625,68.39366148588721,🟢 STRONG BUY (DIVERSIFIES),0,0,0,0,59.1,65.0,80.0,HOLD & MONITOR,19.40287826583118,-8.830674424261463,28.16715500177571,1.641971683276392,59
AXISBANK,2025-05-07,1160.3084716796875,75.69282148980821,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,70.0,HOLD & MONITOR,-8.358863686155619,-13.651447613380238,21.108042589094982,-1.0727598143010313,60
AXISBANK,2025-06-06,1193.5799560546875,75.69282148980821,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,70.0,HOLD & MONITOR,-13.34514718642813,-15.193096336009058,16.805455065452833,-2.079219867871309,60
AXISBANK,2025-07-06,1175.0999755859375,75.69282148980821,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,70.0,HOLD & MONITOR,-0.506266028012905,-10.955877688422248,18.49746238433994,-0.17709930009917096,60
AXISBANK,2025-08-05,1070.800048828125,75.69282148980821,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,81.8,70.0,70.0,HOLD & MONITOR,15.107380842962185,-3.7434055562522883,18.666777261760103,1.9052924974590209,59
BANKINDIA,2025-05-07,105.36721801757812,90.7107678369847,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,95.0,75.0,HOLD & MONITOR,9.661660217076543,-10.644740874219194,23.292498938895946,0.9360398373384988,60
BANKINDIA,2025-06-06,120.02540588378906,90.7107678369847,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,95.0,75.0,HOLD & MONITOR,-9.506765050504013,-12.415817473867557,20.72965760576082,-1.2289200244662035,60
BANKINDIA,2025-07-06,117.72000122070312,90.7107678369847,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,95.0,75.0,HOLD & MONITOR,6.5577960234129,-7.397047937513175,22.45928286952,0.6299046926930424,60
BANKINDIA,2025-08-05,110.72000122070312,90.7107678369847,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,95.1,95.0,75.0,HOLD & MONITOR,25.217085336325447,-5.33951526720532,26.08605581451696,2.327338818122821,59
BANKBARODA,2025-05-07,217.02084350585938,91.67516767019757,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),85,3,0,0,99.1,85.0,98.0,HOLD & ADD,14.111332669167714,-6.596242370990116,20.407871741659108,1.6061235499624527,60
BANKBARODA,2025-06-06,246.17999267578125,91.67516767019757,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),85,3,0,0,99.1,85.0,98.0,HOLD & ADD,-4.576246233367185,-6.596242370990116,18.850240676790705,-0.7063175305103517,60
BANKBARODA,2025-07-06,241.08999633789062,91.67516767019757,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),85,3,0,0,99.1,85.0,98.0,HOLD & ADD,8.274946634649684,-6.524008302770932,18.609164505896693,0.9878175390033846,60
BANKBARODA,2025-08-05,240.64999389648438,91.67516767019757,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),85,3,0,0,99.1,85.0,98.0,HOLD & ADD,15.160287030603673,-5.7559202772905795,19.191644861856084,1.8600418119320161,59
CANBK,2025-05-07,90.42993927001953,93.96965442363239,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,35,1,96.6,100.0,83.0,HOLD & MONITOR,17.517815164780693,-7.886863046923222,27.12249034027089,1.5182769890950738,60
CANBK,2025-06-06,111.70757293701172,93.96965442363239,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,35,1,96.6,100.0,83.0,HOLD & MONITOR,-6.5649916221699005,-11.279156699929253,24.08934639140349,-0.756325189205882,60
CANBK,2025-07-06,114.30999755859375,93.96965442363239,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,35,1,96.6,100.0,83.0,HOLD & MONITOR,8.809569597901923,-11.279156699929253,26.004602712090623,0.7575995499665145,60
CANBK,2025-08-05,107.45999908447266,93.96965442363239,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,35,1,96.6,100.0,83.0,HOLD & MONITOR,25.944662794008234,-7.52582565025844,23.733892203605368,2.634239715775376,59
CENTRALBK,2025-05-07,34.2846794128418,95.7778697723526,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,100.0,HOLD & MONITOR,7.8622863879157805,-9.439080811345384,27.390133987274336,0.6339748744440361,60
CENTRALBK,2025-06-06,39.23876953125,95.7778697723526,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,100.0,HOLD & MONITOR,-11.432534553486782,-13.9098046509919,18.695414305571273,-1.6167006800195924,60
CENTRALBK,2025-07-06,38.960289001464844,95.7778697723526,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,100.0,HOLD & MONITOR,-3.2700862045089387,-11.991002762045632,17.477708137076124,-0.577460623229422,60
CENTRALBK,2025-08-05,35.547096252441406,95.7778697723526,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,99.1,100.0,100.0,HOLD & MONITOR,11.219560475413356,-5.840606761054138,23.91970715648518,1.08260804851645,59
CUB,2025-05-07,179.73660278320312,88.61479026251513,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,78.8,98.0,95.0,HOLD & MONITOR,15.015831659468512,-11.357421699468444,30.932767864828975,1.1317596067054727,60
CUB,2025-06-06,199.2923583984375,88.61479026251513,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,78.8,98.0,95.0,HOLD & MONITOR,-0.9960973231681165,-14.148149271704776,30.59786707417204,-0.14654707243666062,60
CUB,2025-07-06,216.81724548339844,88.61479026251513,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,78.8,98.0,95.0,HOLD & MONITOR,-0.5539493590083057,-10.674830535361949,25.42437042261713,-0.13347413244110173,60
CUB,2025-08-05,217.24000549316406,88.61479026251513,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),30,1,0,0,78.8,98.0,95.0,HOLD & MONITOR,6.511712501076765,-10.240991322274034,28.702300761969102,0.4942476953643694,59
FEDERALBNK,2025-05-07,190.0196990966797,81.4312502913507,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,9.612811744126185,-6.419166657776396,19.561276353830994,1.1084258832727638,60
FEDERALBNK,2025-06-06,206.52975463867188,81.4312502913507,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,-8.447706206956578,-11.81851858506558,16.64622336181205,-1.3734637716527083,60
FEDERALBNK,2025-07-06,213.75601196289062,81.4312502913507,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,-8.696514689945401,-11.011426814068495,15.782954893649281,-1.4874690088990583,60
FEDERALBNK,2025-08-05,194.8603973388672,81.4312502913507,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,83.6,80.0,80.0,HOLD & MONITOR,20.607156765620992,-4.4990906327693425,21.849783052801598,2.253799010152473,59
HDFCBANK,2025-05-07,959.8260498046875,78.48986423479867,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,6.465271217620444,-3.0976847311644566,15.600251310231418,0.8922292585431598,60
HDFCBANK,2025-06-06,976.1552734375,78.48986423479867,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-3.2526338790161513,-6.752889995597563,13.26932818713568,-0.7573588468883723,60
HDFCBANK,2025-07-06,991.2332763671875,78.48986423479867,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-3.302486063698847,-6.752889995597563,11.816420147616364,-0.8608868389450116,60
HDFCBANK,2025-08-05,988.7999877929688,78.48986423479867,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,71.7,100.0,58.0,HOLD & MONITOR,-0.538965042009821,-5.719703383028023,11.54616287758089,-0.29020823637402204,59
ICICIBANK,2025-05-07,1424.4091796875,71.04431206514317,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,3.267154676525011,-3.3753152051308377,17.145153523171427,0.3517631681066018,60
ICICIBANK,2025-06-06,1448.5230712890625,71.04431206514317,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-2.0798991210731455,-5.618855328591614,12.13914979361563,-0.5895933093936127,60
ICICIBANK,2025-07-06,1424.706787109375,71.04431206514317,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-4.120218251992998,-8.746386836320948,11.794433154394488,-1.03349512246684,60
ICICIBANK,2025-08-05,1433.3402099609375,71.04431206514317,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,78.2,93.0,52.0,HOLD & MONITOR,-6.090297577760319,-6.964035350752075,13.396105551663734,-1.2808479841102056,59
INDIANB,2025-05-07,544.3810424804688,87.8093871282144,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,87.5,100.0,83.0,HOLD & MONITOR,13.785410173469087,-5.757885060552226,25.03464201553227,1.2771780256460996,60
INDIANB,2025-06-06,618.2424926757812,87.8093871282144,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,87.5,100.0,83.0,HOLD & MONITOR,4.500045184551282,-5.757885060552226,21.39725443817478,0.4239742896115356,60
INDIANB,2025-07-06,644.1500244140625,87.8093871282144,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,87.5,100.0,83.0,HOLD & MONITOR,15.425573859996025,-5.757885060552226,22.783070833475254,1.5809573079833703,60
INDIANB,2025-08-05,634.75,87.8093871282144,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),25,1,0,0,87.5,100.0,83.0,HOLD & MONITOR,34.6980411305147,-3.467397993538017,22.541989100713614,3.7393617225551963,59
IOB,2025-05-07,35.279998779296875,85.21851918419124,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,90.0,HOLD & MONITOR,7.659576632452349,-13.338089460724628,32.45875894286282,0.5195726998034507,60
IOB,2025-06-06,39.630001068115234,85.21851918419124,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,90.0,HOLD & MONITOR,-1.3076703559330074,-11.645688497816785,21.288118753409844,-0.2467340839372005,60
IOB,2025-07-06,39.93000030517578,85.21851918419124,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,90.0,HOLD & MONITOR,0.8154935808777517,-10.13801067885532,20.99049393659215,-0.0007548645842226039,60
IOB,2025-08-05,36.900001525878906,85.21851918419124,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,75.2,98.0,90.0,HOLD & MONITOR,10.192304749863814,-6.55577356935559,25.516487314084074,0.9147269994154984,59
IDBI,2025-05-07,76.25855255126953,92.46886133265224,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,0,0,88.2,100.0,90.0,HOLD & MONITOR,25.126362617831997,-11.90288088328198,35.48946538901199,1.6891065836760952,60
IDBI,2025-06-06,98.81596374511719,92.46886133265224,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,0,0,88.2,100.0,90.0,HOLD & MONITOR,-10.088729057731955,-16.544781786699208,34.45624210068232,-0.7810042485853244,60
IDBI,2025-07-06,99.25653839111328,92.46886133265224,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,0,0,88.2,100.0,90.0,HOLD & MONITOR,-5.475797757157469,-14.866341541080116,31.291025625892793,-0.4964026036666922,60
IDBI,2025-08-05,90.66999816894531,92.46886133265224,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),55,2,0,0,88.2,100.0,90.0,HOLD & MONITOR,15.861153359437404,-12.2053734767599,35.7788917613781,1.046440897894001,59
J&KBANK,2025-05-07,89.98612213134766,83.86871509064156,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,90.0,HOLD & MONITOR,15.433601245713927,-10.238177540534524,35.576297120690256,1.013002035792104,60
J&KBANK,2025-06-06,104.70133209228516,83.86871509064156,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,90.0,HOLD & MONITOR,-2.168179813410065,-13.494756867585744,29.6737610745213,-0.2485327235288021,60
J&KBANK,2025-07-06,109.0316390991211,83.86871509064156,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,90.0,HOLD & MONITOR,-5.192855184864969,-12.573452532331386,25.301928487126702,-0.5863223159729345,60
J&KBANK,2025-08-05,99.91056823730469,83.86871509064156,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,97.3,75.0,90.0,HOLD & MONITOR,6.822060310008621,-5.871156517226649,24.87899130128004,0.6012285692753448,59
KARURVYSYA,2025-05-07,175.91871643066406,90.16396991351702,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),50,2,0,0,87.4,100.0,88.0,HOLD & MONITOR,23.391164863279176,-5.5291975446427815,29.729467435250555,1.872409121619178,60
KARURVYSYA,2025-06-06,196.3883819580078,90.16396991351702,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),50,2,0,0,87.4,100.0,88.0,HOLD & MONITOR,7.3419147289711635,-7.504758042639432,23.25462605642864,0.6915265159432874,60
KARURVYSYA,2025-07-06,222.43544006347656,90.16396991351702,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),50,2,0,0,87.4,100.0,88.0,HOLD & MONITOR,-5.996274050314623,-10.220782493075973,21.6766853162218,-0.775795313727601,60
KARURVYSYA,2025-08-05,214.72116088867188,90.16396991351702,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),50,2,0,0,87.4,100.0,88.0,HOLD & MONITOR,12.569441618742767,-7.72797359784877,27.171454314706526,1.076613958535487,59
KOTAKBANK,2025-05-07,2092.4873046875,64.53679440807528,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-7.13058579272021,-11.99213174168597,23.236933295706063,-0.8441038287275027,60
KOTAKBANK,2025-06-06,2071.01220703125,64.53679440807528,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-9.04781343260805,-12.764561743472017,22.604705259854875,-1.0769047314235247,60
KOTAKBANK,2025-07-06,2147.32421875,64.53679440807528,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,-7.139630673749066,-12.764561743472017,22.221010458203132,-0.8836993740242555,60
KOTAKBANK,2025-08-05,2003.0,64.53679440807528,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,67.6,63.0,60.0,HOLD & MONITOR,4.984015458500392,-5.544578588683837,18.458315150056563,0.5626880251673293,59
