symbol,entry_date,entry_price,exit_date,pnl_pct,max_gain_pct,exit_reason,lanes,lane_count,month
360ONE,2026-04-08,966.09,2026-04-16,10.78,11.66,hold_expiry,MEAN_REVERT+IGNITE,2,2026-04
360ONE,2026-05-11,1115.3,2026-05-18,-0.93,0.74,hold_expiry,SECTOR_RS,1,2026-05
360ONE,2026-05-21,1111.8,2026-05-29,-0.66,3.62,hold_expiry,SECTOR_RS,1,2026-05
3MINDIA,2026-02-26,36455.0,2026-03-04,-5.0,3.69,stop_loss,VCP,1,2026-02
3MINDIA,2026-04-08,31595.0,2026-04-16,-1.04,1.47,hold_expiry,MEAN_REVERT+IGNITE,2,2026-04
3MINDIA,2026-04-22,32550.0,2026-04-29,1.92,4.13,hold_expiry,IGNITE,1,2026-04
3MINDIA,2026-05-22,33315.0,2026-06-01,-2.27,2.96,hold_expiry,SECTOR_RS+IGNITE,2,2026-05
ABB,2026-02-20,5962.61,2026-02-27,1.44,3.65,hold_expiry,IGNITE,1,2026-02
ABB,2026-03-05,5904.85,2026-03-12,8.1,8.44,hold_expiry,SECTOR_RS,1,2026-03
ABB,2026-03-17,6284.8,2026-03-23,-5.0,1.66,stop_loss,SECTOR_RS,1,2026-03
ABB,2026-03-27,6080.13,2026-04-07,2.69,2.87,hold_expiry,VCP,1,2026-03
ACC,2026-04-06,1362.1,2026-04-13,3.55,6.53,hold_expiry,MEAN_REVERT,1,2026-04
ACC,2026-05-26,1412.6,2026-06-01,-3.72,1.48,hold_expiry,VCP,1,2026-05
ACMESOLAR,2026-02-23,231.49,2026-03-02,-5.0,2.73,stop_loss,VCP,1,2026-02
ACMESOLAR,2026-03-06,228.4,2026-03-10,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
ACMESOLAR,2026-03-13,255.61,2026-03-16,-5.0,1.72,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ACMESOLAR,2026-03-19,262.03,2026-03-20,-5.0,1.82,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ACMESOLAR,2026-03-25,254.12,2026-04-06,10.28,11.64,hold_expiry,SECTOR_RS,1,2026-03
ACMESOLAR,2026-04-09,273.1,2026-04-17,11.55,12.41,hold_expiry,SECTOR_RS,1,2026-04
ACMESOLAR,2026-05-11,290.25,2026-05-15,-5.0,2.67,stop_loss,SECTOR_RS,1,2026-05
ACMESOLAR,2026-05-22,290.2,2026-05-29,6.86,8.01,hold_expiry,MEAN_REVERT,1,2026-05
AIAENG,2026-02-19,3960.2,2026-02-26,-0.98,0.92,hold_expiry,VCP,1,2026-02
AIAENG,2026-03-10,3787.8,2026-03-16,-5.0,0.0,stop_loss,MEAN_REVERT,1,2026-03
AIAENG,2026-03-30,3636.6,2026-04-08,1.04,3.89,hold_expiry,MEAN_REVERT,1,2026-03
AIAENG,2026-05-05,3876.4,2026-05-12,-3.27,4.48,hold_expiry,VCP,1,2026-05
AIAENG,2026-05-19,4002.6,2026-05-26,3.52,4.78,hold_expiry,VCP,1,2026-05
APLAPOLLO,2026-02-23,2191.5,2026-03-02,1.41,2.79,hold_expiry,VCP,1,2026-02
APLAPOLLO,2026-04-17,2105.7,2026-04-24,-5.0,3.2,stop_loss,VCP,1,2026-04
APLAPOLLO,2026-05-25,1898.6,2026-06-01,-5.0,2.36,stop_loss,MEAN_REVERT,1,2026-05
AUBANK,2026-02-18,1022.05,2026-02-23,-5.0,1.68,stop_loss,VCP,1,2026-02
AUBANK,2026-05-06,1024.0,2026-05-13,-2.85,2.76,hold_expiry,VCP,1,2026-05
AUBANK,2026-05-26,1011.8,2026-06-01,-4.22,1.3,hold_expiry,VCP,1,2026-05
AWL,2026-03-20,192.1,2026-03-23,-5.0,0.0,stop_loss,MEAN_REVERT+IGNITE,2,2026-03
AWL,2026-04-21,188.49,2026-04-28,8.71,11.25,hold_expiry,VCP,1,2026-04
AWL,2026-05-11,204.93,2026-05-14,-5.0,0.33,stop_loss,SECTOR_RS,1,2026-05
AWL,2026-05-19,202.17,2026-05-26,-4.51,0.0,hold_expiry,VCP+SECTOR_RS,2,2026-05
AADHARHFC,2026-03-09,481.7,2026-03-13,-5.0,1.31,stop_loss,SECTOR_RS,1,2026-03
AADHARHFC,2026-03-18,478.4,2026-03-19,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
AADHARHFC,2026-03-25,471.3,2026-03-30,-5.0,0.15,stop_loss,SECTOR_RS,1,2026-03
AADHARHFC,2026-04-15,480.65,2026-04-22,1.84,5.42,hold_expiry,VCP,1,2026-04
AADHARHFC,2026-04-29,488.75,2026-05-06,2.32,7.01,hold_expiry,VCP,1,2026-04
AADHARHFC,2026-05-11,498.9,2026-05-14,-5.0,0.0,stop_loss,VCP+SECTOR_RS,2,2026-05
AARTIIND,2026-03-02,432.95,2026-03-04,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
AARTIIND,2026-03-12,446.2,2026-03-13,-5.0,0.39,stop_loss,IGNITE,1,2026-03
AARTIIND,2026-04-15,431.7,2026-04-22,8.96,9.47,hold_expiry,VCP,1,2026-04
AARTIIND,2026-05-11,487.45,2026-05-12,-5.0,0.38,stop_loss,SECTOR_RS,1,2026-05
AARTIIND,2026-05-15,466.25,2026-05-18,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-05
AARTIIND,2026-05-21,482.75,2026-05-28,3.73,3.86,hold_expiry,SECTOR_RS,1,2026-05
AAVAS,2026-05-11,1404.9,2026-05-18,-5.0,2.28,stop_loss,SECTOR_RS,1,2026-05
AAVAS,2026-05-22,1396.9,2026-05-29,-5.0,1.42,stop_loss,VCP+SECTOR_RS,2,2026-05
ABBOTINDIA,2026-03-04,27825.0,2026-03-11,-2.25,2.39,hold_expiry,SECTOR_RS+IGNITE,2,2026-03
ABBOTINDIA,2026-05-12,26900.0,2026-05-19,3.33,5.13,hold_expiry,SECTOR_RS,1,2026-05
ABBOTINDIA,2026-05-22,27830.0,2026-05-29,-3.5,0.49,hold_expiry,SECTOR_RS,1,2026-05
ACE,2026-04-07,835.0,2026-04-15,9.14,9.54,hold_expiry,MEAN_REVERT,1,2026-04
ACE,2026-05-07,905.55,2026-05-08,-5.0,6.76,stop_loss,VCP,1,2026-05
ACE,2026-05-27,906.25,2026-06-01,-3.51,2.21,hold_expiry,VCP+SECTOR_RS,2,2026-05
ADANIENSOL,2026-02-27,1011.55,2026-03-02,-5.0,0.0,stop_loss,VCP,1,2026-02
ADANIENSOL,2026-03-10,1013.6,2026-03-17,-1.28,1.78,hold_expiry,VCP,1,2026-03
ADANIENSOL,2026-03-20,1009.9,2026-03-23,-5.0,0.0,stop_loss,VCP+SECTOR_RS,2,2026-03
ADANIENSOL,2026-04-06,991.35,2026-04-13,18.56,19.76,hold_expiry,SECTOR_RS,1,2026-04
ADANIENSOL,2026-05-11,1340.4,2026-05-12,-5.0,1.82,stop_loss,SECTOR_RS,1,2026-05
ADANIENSOL,2026-05-15,1303.6,2026-05-22,4.93,7.01,hold_expiry,SECTOR_RS,1,2026-05
ADANIENSOL,2026-05-27,1540.1,2026-06-01,-2.83,2.49,hold_expiry,SECTOR_RS,1,2026-05
ADANIENT,2026-02-18,2211.2,2026-02-25,0.93,1.18,hold_expiry,SECTOR_RS,1,2026-02
ADANIENT,2026-04-06,1902.2,2026-04-13,11.92,13.5,hold_expiry,MEAN_REVERT,1,2026-04
ADANIENT,2026-05-12,2405.2,2026-05-19,13.3,16.54,hold_expiry,SECTOR_RS,1,2026-05
ADANIENT,2026-05-22,2717.3,2026-05-29,8.1,11.42,hold_expiry,SECTOR_RS,1,2026-05
ADANIGREEN,2026-02-18,1000.1,2026-02-25,-3.59,0.49,hold_expiry,SECTOR_RS,1,2026-02
ADANIGREEN,2026-03-27,832.5,2026-04-07,11.15,12.3,hold_expiry,MEAN_REVERT,1,2026-03
ADANIGREEN,2026-04-10,1085.35,2026-04-20,6.21,10.1,hold_expiry,SECTOR_RS,1,2026-04
ADANIGREEN,2026-05-12,1308.0,2026-05-19,5.34,12.46,hold_expiry,SECTOR_RS,1,2026-05
ADANIGREEN,2026-05-22,1362.3,2026-05-29,8.3,12.49,hold_expiry,SECTOR_RS,1,2026-05
ADANIPORTS,2026-02-18,1550.8,2026-02-25,-1.43,2.14,hold_expiry,SECTOR_RS,1,2026-02
ADANIPORTS,2026-04-06,1387.1,2026-04-13,5.64,8.55,hold_expiry,MEAN_REVERT,1,2026-04
ADANIPORTS,2026-05-12,1688.2,2026-05-19,4.42,8.04,hold_expiry,SECTOR_RS,1,2026-05
ADANIPORTS,2026-05-22,1786.9,2026-06-01,-0.19,3.13,hold_expiry,VCP+SECTOR_RS,2,2026-05
ADANIPOWER,2026-03-12,149.11,2026-03-19,1.27,5.59,hold_expiry,IGNITE,1,2026-03
ADANIPOWER,2026-03-24,150.11,2026-04-02,6.57,6.82,hold_expiry,SECTOR_RS,1,2026-03
ADANIPOWER,2026-04-08,169.31,2026-04-16,14.1,14.8,hold_expiry,SECTOR_RS,1,2026-04
ADANIPOWER,2026-05-11,222.03,2026-05-12,-5.0,1.17,stop_loss,SECTOR_RS,1,2026-05
ADANIPOWER,2026-05-15,221.33,2026-05-22,-0.91,2.29,hold_expiry,SECTOR_RS,1,2026-05
ADANIPOWER,2026-05-27,248.91,2026-06-01,-5.0,2.13,stop_loss,SECTOR_RS,1,2026-05
ATGL,2026-03-11,566.9,2026-03-16,-5.0,14.84,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ATGL,2026-03-19,556.15,2026-03-23,-5.0,6.5,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ATGL,2026-03-27,529.1,2026-03-30,-5.0,1.62,stop_loss,SECTOR_RS,1,2026-03
ATGL,2026-04-08,559.0,2026-04-16,6.91,7.87,hold_expiry,SECTOR_RS,1,2026-04
ATGL,2026-05-11,620.5,2026-05-12,-5.0,0.52,stop_loss,SECTOR_RS,1,2026-05
ATGL,2026-05-21,638.1,2026-05-28,26.71,30.07,hold_expiry,SECTOR_RS+IGNITE,2,2026-05
ABCAPITAL,2026-03-27,305.75,2026-03-30,-5.0,0.0,stop_loss,MEAN_REVERT,1,2026-03
ABCAPITAL,2026-04-08,338.4,2026-04-16,-0.13,3.65,hold_expiry,SECTOR_RS,1,2026-04
ABCAPITAL,2026-05-04,345.85,2026-05-11,2.05,8.7,hold_expiry,VCP,1,2026-05
ABCAPITAL,2026-05-14,349.65,2026-05-21,-0.07,3.92,hold_expiry,SECTOR_RS,1,2026-05
ABCAPITAL,2026-05-26,363.05,2026-06-01,-3.44,1.86,hold_expiry,VCP+SECTOR_RS,2,2026-05
ABFRL,2026-03-20,59.98,2026-03-23,-5.0,0.0,stop_loss,IGNITE,1,2026-03
ABFRL,2026-04-08,59.47,2026-04-16,7.25,9.62,hold_expiry,MEAN_REVERT,1,2026-04
ABFRL,2026-05-05,63.99,2026-05-12,-2.48,7.97,hold_expiry,VCP,1,2026-05
ABFRL,2026-05-21,66.76,2026-05-28,-4.04,3.36,hold_expiry,SECTOR_RS,1,2026-05
ABREL,2026-03-18,1217.4,2026-03-20,-5.0,0.0,stop_loss,MEAN_REVERT+IGNITE,2,2026-03
ABREL,2026-04-08,1263.3,2026-04-16,12.56,16.76,hold_expiry,SECTOR_RS+IGNITE,2,2026-04
ABREL,2026-05-11,1378.0,2026-05-12,-5.0,0.64,stop_loss,SECTOR_RS,1,2026-05
ABSLAMC,2026-03-02,876.4,2026-03-10,11.34,19.41,hold_expiry,SECTOR_RS,1,2026-03
ABSLAMC,2026-03-13,932.8,2026-03-20,1.27,6.66,hold_expiry,SECTOR_RS,1,2026-03
ABSLAMC,2026-03-25,939.8,2026-03-27,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
ABSLAMC,2026-04-02,917.15,2026-04-10,8.8,10.22,hold_expiry,SECTOR_RS,1,2026-04
ABSLAMC,2026-04-23,1047.45,2026-04-30,-3.08,4.95,hold_expiry,IGNITE,1,2026-04
ABSLAMC,2026-05-11,1059.3,2026-05-18,-5.0,1.6,stop_loss,SECTOR_RS,1,2026-05
ABSLAMC,2026-05-27,1027.3,2026-06-01,-0.78,6.05,hold_expiry,SECTOR_RS,1,2026-05
AEGISLOG,2026-03-17,619.85,2026-03-23,-5.0,3.04,stop_loss,IGNITE,1,2026-03
AEGISLOG,2026-04-10,632.45,2026-04-20,17.08,21.35,hold_expiry,IGNITE,1,2026-04
AEGISLOG,2026-05-11,686.8,2026-05-13,-5.0,0.76,stop_loss,SECTOR_RS,1,2026-05
AEGISLOG,2026-05-20,709.95,2026-05-27,0.57,4.39,hold_expiry,SECTOR_RS,1,2026-05
AFCONS,2026-03-25,282.65,2026-04-06,1.03,1.84,hold_expiry,MEAN_REVERT,1,2026-03
AFCONS,2026-04-09,310.65,2026-04-17,7.39,17.82,hold_expiry,SECTOR_RS,1,2026-04
AFCONS,2026-05-08,340.7,2026-05-15,-1.23,5.39,hold_expiry,VCP,1,2026-05
