date,symbol,score,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,hybrid_growth,hybrid_value,current_price,regime,return_7d,return_30d,data_source
2026-03-12,ACC,56.1,75.0,35.0,,,,,,,1433.4,BEAR,-3.3765871354820765,-2.895214176084833,reports_pairwise
2026-03-12,AUBANK,60.3,60.0,35.0,,,,,,,902.2,BEAR,-0.016626025271568493,6.739082243405005,reports_pairwise
2026-03-12,ADANIENT,58.6,70.0,35.0,,,,,,,2002.0,BEAR,-1.3286713286713243,1.9230769230769231,reports_pairwise
2026-03-12,ADANIPORTS,61.7,90.0,35.0,,,,,,,1391.5,BEAR,-1.8684872439813154,4.017247574559834,reports_pairwise
2026-03-12,ABB,80.6,85.0,55.0,,,,,,,6409.0,BEAR,-1.5369012326415976,3.1986269308784525,reports_pairwise
2026-03-12,APLAPOLLO,62.3,60.0,35.0,,,,,,,2009.2,BEAR,-2.1700179175791425,1.5478797531355717,reports_pairwise
2026-03-12,ATGL,47.63333333333334,60.0,60.0,,,,,,,607.6,BEAR,-14.935813034891376,-9.496379196840033,reports_pairwise
2026-03-12,ADANIGREEN,40.1,60.0,35.0,,,,,,,866.55,BEAR,0.2423403150424122,20.541226703594713,reports_pairwise
2026-03-12,ADANIPOWER,55.9,60.0,50.0,,,,,,,149.11,BEAR,4.35249144926563,15.572396217557504,reports_pairwise
2026-03-12,ADANIENSOL,46.2,60.0,45.0,,,,,,,1004.4,BEAR,-0.3783353245718792,7.402429311031463,reports_pairwise
2026-03-13,MAHABANK,94.8,95.0,55.0,,,,,,,64.09,BEAR,0.06241223279761591,9.268216570447803,reports_pairwise
2026-03-13,INDIANB,93.0,95.0,55.0,,,,,,,870.3,BEAR,2.1371940710099993,8.221302998965882,reports_pairwise
2026-03-13,UNIONBANK,91.65714285714286,90.0,55.0,,,,,,,173.88,BEAR,2.317690361168623,6.2169312169312185,reports_pairwise
2026-03-13,ICICIBANK,90.01666666666667,95.0,50.0,,,,,,,1254.8,BEAR,2.749442142174052,2.1118903410902137,reports_pairwise
2026-03-13,AXISBANK,87.08571428571429,90.0,50.0,,,,,,,1197.3,BEAR,4.668838219326826,10.122776246554753,reports_pairwise
2026-03-13,BANKINDIA,86.52857142857142,85.0,50.0,,,,,,,150.2,BEAR,1.4980026631158456,-3.9347536617842858,reports_pairwise
2026-03-13,CANBK,85.85,90.0,50.0,,,,,,,134.68,BEAR,2.1012771012770894,2.398277398277391,reports_pairwise
2026-03-13,HDFCBANK,85.2,85.0,50.0,,,,,,,817.0,BEAR,3.1884944920440583,-2.3623011015911817,reports_pairwise
2026-03-13,RECLTD,85.75,95.0,45.0,,,,,,,331.5,BEAR,4.99245852187029,4.615384615384619,reports_pairwise
2026-03-13,MUTHOOTFIN,85.28571428571429,100.0,45.0,,,,,,,3333.2,BEAR,2.994119764790597,4.260170406816273,reports_pairwise
2026-03-13,ICICIGI,84.5,80.0,55.0,,,,,,,1837.1,BEAR,-0.32115834739534393,-3.7287028468782317,reports_pairwise
2026-03-13,BANKBARODA,83.5,85.0,55.0,,,,,,,281.05,BEAR,0.7471980074719679,-2.423056395659136,reports_pairwise
2026-03-13,PNB,83.425,85.0,50.0,,,,,,,111.7,BEAR,1.2712623097582827,-1.8889883616830792,reports_pairwise
2026-03-13,FEDERALBNK,82.8,75.0,50.0,,,,,,,263.05,BEAR,3.2123170499904914,7.698156244060065,reports_pairwise
2026-03-13,SBIN,82.50079365079364,75.0,50.0,,,,,,,1047.0,BEAR,2.1776504297994226,-0.5778414517669489,reports_pairwise
2026-03-13,SBILIFE,81.45,75.0,50.0,,,,,,,1904.4,BEAR,3.050829657634946,-0.021003990758248842,reports_pairwise
2026-03-13,ICICIPRULI,79.7,75.0,50.0,,,,,,,583.75,BEAR,0.8479657387580377,-7.160599571734467,reports_pairwise
2026-03-13,DRREDDY,79.30000000000001,90.0,55.0,,,,,,,1292.3,BEAR,0.19345353246150276,-6.221465603961918,reports_pairwise
2026-03-13,PFC,78.8,70.0,55.0,,,,,,,405.6,BEAR,6.570512820512815,5.535009861932936,reports_pairwise
2026-03-13,YESBANK,78.18333333333332,80.0,50.0,,,,,,,18.8,BEAR,0.7446808510638327,0.6914893617021223,reports_pairwise
2026-03-13,COALINDIA,77.16666666666667,75.0,50.0,,,,,,,467.0,BEAR,-2.5267665952890814,-2.7623126338329715,reports_pairwise
2026-03-13,ABB,77.0642857142857,85.0,60.0,,,,,,,6392.5,BEAR,-0.8603832616347282,3.4649980445834965,reports_pairwise
2026-03-13,ONGC,76.92857142857143,75.0,55.0,,,,,,,264.1,BEAR,0.3407800075728804,9.276789095039756,reports_pairwise
2026-03-13,LICI,76.7,75.0,50.0,,,,,,,772.7,BEAR,1.701824770286007,2.678918079461619,reports_pairwise
2026-03-13,IRFC,76.31428571428572,85.0,50.0,,,,,,,97.2,BEAR,1.080246913580244,1.3271604938271522,reports_pairwise
2026-03-13,HDFCLIFE,75.6,75.0,50.0,,,,,,,625.75,BEAR,2.812624850179788,-5.521374350779058,reports_pairwise
2026-03-13,INDUSINDBK,75.32857142857144,75.0,50.0,,,,,,,814.4,BEAR,3.4074165029469548,0.01841846758349426,reports_pairwise
2026-03-13,OIL,75.05714285714286,75.0,60.0,,,,,,,470.55,BEAR,-0.021251726702799435,0.04250345340558678,reports_pairwise
2026-03-13,KOTAKBANK,74.5,70.0,50.0,,,,,,,366.85,BEAR,2.330652855390474,1.3765844350551872,reports_pairwise
2026-03-13,SHRIRAMFIN,74.96190476190476,70.0,45.0,,,,,,,1003.6,BEAR,1.7935432443204464,-0.7273814268632989,reports_pairwise
2026-03-13,INDUSTOWER,73.87142857142857,100.0,50.0,,,,,,,423.95,BEAR,4.009906828635453,3.4202146479537685,reports_pairwise
2026-03-13,M&MFIN,73.8,70.0,45.0,,,,,,,330.2,BEAR,-2.6650514839491253,-10.327074500302837,reports_pairwise
2026-03-13,PETRONET,73.47142857142858,75.0,55.0,,,,,,,286.3,BEAR,1.8512050296891414,-5.214809640237515,reports_pairwise
2026-03-13,LICHSGFIN,72.71428571428571,60.0,55.0,,,,,,,496.6,BEAR,1.3189689891260479,7.188884414015289,reports_pairwise
2026-03-13,MFSL,72.1,60.0,50.0,,,,,,,1628.1,BEAR,2.4937043179165985,-1.271420674405738,reports_pairwise
2026-03-13,LUPIN,71.95714285714286,70.0,50.0,,,,,,,2314.9,BEAR,-0.5399801287312627,-0.855328523910328,reports_pairwise
2026-03-13,IREDA,72.11666666666667,75.0,45.0,,,,,,,114.85,BEAR,2.716586852416199,7.20940356987375,reports_pairwise
2026-03-13,ABCAPITAL,70.84126984126983,70.0,50.0,,,,,,,310.75,BEAR,5.695897023330648,7.658889782783591,reports_pairwise
2026-03-13,BANDHANBNK,70.8,60.0,55.0,,,,,,,175.5,BEAR,-6.837606837606838,-5.447293447293449,reports_pairwise
2026-03-13,LTF,70.28571428571429,70.0,50.0,,,,,,,258.0,BEAR,4.186046511627911,5.496124031007755,reports_pairwise
2026-03-13,HUDCO,70.1,75.0,50.0,,,,,,,172.7,BEAR,3.566878980891734,5.344528083381597,reports_pairwise
2026-03-13,BAJAJHLDNG,69.7,75.0,50.0,,,,,,,9506.0,BEAR,3.7134441405428156,4.276246581106669,reports_pairwise
2026-03-13,RELIANCE,68.7,70.0,55.0,,,,,,,1380.7,BEAR,1.9845006156297431,-3.6720504092127215,reports_pairwise
2026-03-13,SIEMENS,69.12857142857143,75.0,55.0,,,,,,,3207.6,BEAR,0.41464022945504997,0.46452176081805996,reports_pairwise
2026-03-13,HINDALCO,69.1,75.0,45.0,,,,,,,910.05,BEAR,2.5273336629855505,8.307235866161204,reports_pairwise
2026-03-13,NMDC,69.0,75.0,55.0,,,,,,,78.59,BEAR,1.1451838656317488,7.443695126606431,reports_pairwise
2026-03-13,ADANIPORTS,68.36666666666667,90.0,45.0,,,,,,,1363.2,BEAR,2.8389084507042286,6.176643192488266,reports_pairwise
2026-03-13,AUROPHARMA,68.06666666666666,70.0,50.0,,,,,,,1296.5,BEAR,-2.121095256459699,3.3860393366756725,reports_pairwise
2026-03-13,HCLTECH,67.5,95.0,50.0,,,,,,,1325.4,BEAR,2.3992756903576242,10.525124490719783,reports_pairwise
2026-03-13,ZYDUSLIFE,67.28571428571428,70.0,50.0,,,,,,,905.9,BEAR,-0.6954409979026333,-0.40291422894358947,reports_pairwise
2026-03-13,VEDL,67.82857142857142,70.0,50.0,,,,,,,689.55,BEAR,-1.5299833224566681,6.881299398158227,reports_pairwise
2026-03-13,NTPC,66.9,70.0,55.0,,,,,,,384.45,BEAR,-1.5476654961633474,-1.508648718949151,reports_pairwise
2026-03-13,TORNTPHARM,66.68333333333334,60.0,55.0,,,,,,,4390.0,BEAR,-2.293849658314347,-6.731207289293851,reports_pairwise
2026-03-13,POLYCAB,66.42500000000001,85.0,45.0,,,,,,,7193.5,BEAR,2.5161604226037393,5.7482449433516365,reports_pairwise
2026-03-13,BAJAJFINSV,65.9,60.0,50.0,,,,,,,1738.0,BEAR,3.0955120828538525,1.7088607594936733,reports_pairwise
2026-03-13,IOC,65.8,70.0,45.0,,,,,,,156.54,BEAR,-5.282994761722232,-9.499169541331293,reports_pairwise
2026-03-13,AUBANK,65.9857142857143,60.0,50.0,,,,,,,884.35,BEAR,5.178944987844174,8.89353762650534,reports_pairwise
2026-03-13,SAIL,65.81428571428572,70.0,45.0,,,,,,,149.89,BEAR,3.022216291947429,8.979918606978456,reports_pairwise
2026-03-13,SUNPHARMA,65.02857142857144,60.0,55.0,,,,,,,1801.6,BEAR,-1.2932948490230882,-4.690275310834814,reports_pairwise
2026-03-13,BAJFINANCE,65.0,60.0,50.0,,,,,,,855.05,BEAR,2.929653236652835,5.637097245775107,reports_pairwise
2026-03-13,WIPRO,64.81428571428572,95.0,50.0,,,,,,,197.58,BEAR,-1.6600870533454808,2.6773964976212126,reports_pairwise
2026-03-13,NATIONALUM,65.525,75.0,50.0,,,,,,,387.35,BEAR,0.07744933522652755,6.454111268878275,reports_pairwise
2026-03-13,BHARTIARTL,64.3,85.0,50.0,,,,,,,1803.4,BEAR,2.883442386603083,3.1052456471110124,reports_pairwise
2026-03-13,TCS,63.99999999999999,95.0,50.0,,,,,,,2410.5,BEAR,1.2570006222775434,7.405102675793404,reports_pairwise
2026-03-13,CIPLA,63.8,70.0,55.0,,,,,,,1314.7,BEAR,-3.5141096828173763,-6.868487107324861,reports_pairwise
2026-03-13,BAJAJHFL,63.51666666666667,60.0,50.0,,,,,,,82.15,BEAR,1.1442483262324987,2.1180766889835603,reports_pairwise
2026-03-13,ACC,63.0,75.0,50.0,,,,,,,1376.4,BEAR,2.092414995640799,1.1261261261261262,reports_pairwise
2026-03-13,INFY,63.3,100.0,50.0,,,,,,,1248.3,BEAR,1.5060482255867944,6.673075382520224,reports_pairwise
2026-03-13,BSE,64.03928571428571,60.0,40.0,,,,,,,2797.0,BEAR,7.1004647836968156,16.460493385770473,reports_pairwise
2026-03-13,APOLLOHOSP,62.6,60.0,60.0,,,,,,,7550.0,BEAR,-1.0463576158940397,-0.9072847682119205,reports_pairwise
2026-03-13,CUMMINSIND,62.82857142857143,60.0,60.0,,,,,,,4649.7,BEAR,1.4603092672645666,5.542293051164587,reports_pairwise
2026-03-13,MOTILALOFS,63.3,70.0,50.0,,,,,,,680.25,BEAR,2.6534362366776856,11.892686512311647,reports_pairwise
2026-03-13,OFSS,62.5,95.0,55.0,,,,,,,6526.0,BEAR,1.0496475635917868,10.596077229543365,reports_pairwise
2026-03-13,ASTRAL,62.25714285714285,60.0,60.0,,,,,,,1611.8,BEAR,3.5116019357240438,-2.984241220995155,reports_pairwise
2026-03-13,BPCL,61.78571428571428,70.0,50.0,,,,,,,319.3,BEAR,-4.885687441277802,-6.8744127779517665,reports_pairwise
2026-03-13,ADANIENT,61.9,75.0,50.0,,,,,,,1961.1,BEAR,2.35072153383306,4.048748151547605,reports_pairwise
2026-03-13,BHARTIHEXA,61.7,85.0,50.0,,,,,,,1472.5,BEAR,8.224108658743628,3.945670628183356,reports_pairwise
2026-03-13,POWERGRID,61.075,70.0,55.0,,,,,,,300.95,BEAR,-0.5150357202193093,-0.947001162983873,reports_pairwise
2026-03-13,GLENMARK,61.43333333333334,60.0,55.0,,,,,,,2170.7,BEAR,0.7186621827060563,-0.07370894181599988,reports_pairwise
2026-03-13,APLAPOLLO,60.95,60.0,50.0,,,,,,,1933.2,BEAR,4.1485619697910225,5.540037243947853,reports_pairwise
2026-03-13,JIOFIN,60.98333333333333,60.0,50.0,,,,,,,235.25,BEAR,5.504782146652492,1.5260361317747093,reports_pairwise
2026-03-13,JINDALSTEL,61.15476190476191,60.0,55.0,,,,,,,1143.3,BEAR,3.1400332371206234,4.924341817545697,reports_pairwise
2026-03-13,SBICARD,60.8,60.0,50.0,,,,,,,704.9,BEAR,1.5108526032061254,-5.107107391119308,reports_pairwise
2026-03-13,CHOLAFIN,61.0,60.0,45.0,,,,,,,1514.0,BEAR,0.6737120211360664,1.261558784676348,reports_pairwise
2026-03-13,HDFCAMC,60.4,60.0,50.0,,,,,,,2381.0,BEAR,3.691726165476694,5.627887442251155,reports_pairwise
2026-03-13,TATAPOWER,59.88571428571429,60.0,50.0,,,,,,,394.95,BEAR,1.3672616786935143,-0.063299151791366,reports_pairwise
2026-03-13,ALKEM,59.78571428571428,60.0,45.0,,,,,,,5355.5,BEAR,-0.0746895714685837,0.2800858930071889,reports_pairwise
2026-03-13,TORNTPOWER,60.12857142857143,70.0,60.0,,,,,,,1461.3,BEAR,-0.4790255252172723,-1.0470129336891778,reports_pairwise
