symbol,business_summary,sector,industry,employees,website,revenue_growth,earnings_growth,revenue_per_share,gross_margin,operating_margin,net_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,operating_cashflow,free_cashflow,pe_ratio,forward_pe,pb_ratio,ev_ebitda,ev_revenue,dividend_yield,market_cap,enterprise_value,quarterly_earnings_growth,quarterly_revenue_growth,peg_ratio,ps_ratio,beta,book_value,eps,forward_eps,shares_outstanding,insider_ownership,institutional_ownership,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend,technical_score,technical_analysis,FundamentalScore,TechnicalScore,OverallScore,FundamentalRating,TechnicalAnalysis
MUTHOOTFIN,,,,30451.0,,0.503,0.732,327.454,1.0,0.70499,0.4705,0.21574,0.04843,367.181,108.996,108.996,,,17.391811,50.67297,3.545383,,15.972,0.97,1076175175680.0,2099553894400.0,0.732,,,8.186566,0.526,756.082,,52.9,401468000.0,0.73370004,0.16305,2680.60009765625,0.17938742583651912,-2.785225480795195,,,2807.0,1734.8190964928322,2644.720007324219,2639.537998046875,2425.4656188964846,2259.7956860351565,2667.9930475320302,2646.637939657897,57.27047477115631,21.35510787413341,16.833424046242175,4.521683827891234,61.59200325915021,69.18212209629301,0.09832046711949921,[],[],846032.2,294008.0,Decreasing,Strong Uptrend,94.02,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,95.29,94.02,94.66,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
INDIAMART,,,,,,0.123,0.346,238.267,0.55985,0.34025002,0.41307,0.31227,0.0847,1.489,2.251,2.229,6480280064.0,4728988672.0,27.208355,26.911104,7.8422794,25.265,9.344,1.13,160261242880.0,133528551424.0,0.348,,,11.214216,0.477,340.526,,,60011700.0,0.50591,0.27186,2670.5,0.39851490828319847,4.89826179511923,,,3136.9157220494017,1876.7170112827462,2570.415002441406,2573.6860009765624,2411.6723022460938,2294.2140130615235,2596.9323946487452,2579.834955444309,59.19466709746661,17.09743920443634,5.0776277373509355,12.019811467085406,88.18610020036277,78.13281423144433,0.06813548485542231,[],[],85922.2,53642.0,Decreasing,Strong Uptrend,88.07,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,96.39,88.07,92.23,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
HINDALCO,,,,78999.0,,0.127,0.303,1106.423,0.32362998,0.09327,0.068909995,0.14729999,,53.056,,,,,9.252398,9.918714,1.2639643,6.013,0.809,0.71,1563845197824.0,1986806022144.0,0.303,,,0.6364468,1.018,557.136,,,2220740096.0,0.36731,0.41827,704.2000122070312,-0.4382829972343849,1.287308479975735,,,767.0250525807884,542.4717959005195,687.8931457519532,677.2902136230468,653.9582580566406,642.4305142211914,695.8444750533689,687.6212967842407,65.89081180768835,8.223178269128198,6.101478937196366,2.121699331931832,75.79944476202574,77.94037278751695,0.0788230208397663,[],[],5026274.35,5622386.0,Increasing,Strong Uptrend,98.21,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,69.76,98.21,83.98,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
BHARTIARTL,,,,28424.0,,0.285,0.418,317.559,0.65817,0.31081,0.19215,0.29464,0.07039,126.505,0.424,0.177,1072185999360.0,252356493312.0,32.74005,28.390528,9.834223,15.206,7.603,0.83,11595663015936.0,13984349552640.0,0.43,,,6.3039985,0.155,196.589,,,5698039808.0,0.53428,0.31777,1933.300048828125,0.1761761941577733,3.17536548455164,,,2028.8391163856081,1452.8542505000953,1903.8800170898437,1923.4492456054688,1868.6408947753907,1738.1396057128907,1907.3638091945472,1908.7411187995222,61.53846596980791,-1.3773096049749256,-6.968020416869661,5.590710811894735,71.22866931510855,63.31747411346209,0.060791888509448146,[],[],9246826.85,3271733.0,Decreasing,Strong Uptrend,70.14,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,95.07,70.14,82.6,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
PERSISTENT,,,,22205.0,,0.218,0.368,813.528,0.2851,0.15533,0.121149994,0.24719,0.13418001,4.872,2.445,1.867,14251669504.0,10492280832.0,55.168518,97.17647,12.153246,39.271,6.527,0.65,834713026560.0,818146246656.0,0.387,,,6.658988,0.376,441.775,,55.25,155468992.0,0.32157,0.39335,5369.0,0.4020570359981379,1.5125732652675472,,,6748.287564402237,4137.794052749045,5201.775,5573.563935546875,5466.634716796875,5666.936274414063,5278.322030431163,5330.7692597907435,67.80544296467863,-52.44722935958089,-96.57674702256698,44.12951766298609,91.23160141719273,84.93069049868028,0.06545714863702103,[],[],443150.15,477636.0,Increasing,Downtrend,64.85,Bullish MACD crossover Stochastic indicates overbought conditions Strong volume supporting price action,80.6,64.85,72.72,Strong Buy,Bullish MACD crossover Stochastic indicates overbought conditions Strong volume supporting price action
MPHASIS,,,,30157.0,,0.091,0.089,766.544,0.43137002,0.15297,0.119619995,0.17902,0.09029,19.454,1.464,1.209,15978810368.0,22564048896.0,31.186777,27.512074,5.316288,20.833,3.624,2.0,542242439168.0,526902460416.0,0.092,,,3.7293117,0.432,535.825,,103.54,190248000.0,0.40617,0.41811,2848.60009765625,-0.2031882317098499,4.720246628526681,,,3174.5174545010827,2004.4965700463554,2737.3550048828124,2751.2758447265624,2582.129580078125,2647.915993652344,2768.560454635689,2751.731826124369,59.91739135513646,16.82862851131995,1.0421857324305641,15.786442778889384,89.42320833435114,74.55038409986277,0.09000619912688919,[],[],524627.25,283751.0,Decreasing,Strong Uptrend,81.6,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,63.6,81.6,72.6,Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
BAJFINANCE,,,,64092.0,,0.201,0.197,62.608,0.92751,0.60695,0.44939,0.20079,,294.158,,,,,31.912235,22.100636,5.7431045,,21.628,0.49,5557600124928.0,8386321580032.0,0.201,,,14.332732,0.476,155.752,,,6212389888.0,0.54977,0.25726,894.5,-0.12281996604766032,3.836553174837709,,,978.7999877929688,642.0160368509909,883.5099975585938,912.31,907.4062390136719,831.5238830566407,888.1054823006572,895.0605368631826,56.754838315620475,-6.955054562525447,-10.51378048612658,3.5587259236011324,61.75981040088234,65.72300981879998,0.0672310468972505,[],[],7965772.1,6423454.0,Increasing,Sideways,74.08,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,70.91,74.08,72.5,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
OFSS,,,,8045.0,,0.064,0.04,801.475,0.524,0.44736,0.34564,0.32917,,0.546,4.946,4.323,20586000384.0,,31.273571,33.042145,11.098757,23.382,10.256,3.05,749451476992.0,713570516992.0,0.041,,,10.771695,0.104,777.024,,261.0,86903000.0,0.72926,0.119440004,8624.0,-0.862168065294866,0.43673207942700465,,,12809.368589244788,6819.390435895526,8568.425,8853.88,8552.215234375,9257.783120117187,8611.725823969415,8646.424197447883,61.58565361019349,-34.698373478468056,-66.2267356474112,31.528362168943147,70.15541223933013,71.7541684945151,0.0454202362773741,[],[],85909.6,34759.0,Decreasing,Downtrend,64.05,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,80.17,64.05,72.11,Strong Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
DRREDDY,,,,27811.0,,0.114,0.02,401.356,0.57653,0.20497,0.16993,0.17712,0.09712,13.751,1.893,1.156,52560998400.0,14228500480.0,18.741383,3.7235873,3.037876,11.726,3.136,0.63,1063437205504.0,1048256643072.0,0.019,,,3.181467,0.311,420.557,,343.11,832371008.0,0.29459,0.5135,1277.5999755859375,0.07833307372115961,1.3646422436298211,,,1406.072510170324,1013.5718351625553,1247.8450073242188,1270.5268505859376,1233.5460266113282,1231.3110223388671,1252.241188339162,1252.372628449976,68.92429051742864,-0.1314401108140828,-6.4978504068190235,6.366410296004941,83.09473044254725,70.99175641458662,0.10118749761620811,[],[],1482994.9,1229762.0,Decreasing,Strong Uptrend,69.74,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,72.68,69.74,71.21,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
BAJAJFINSV,,,,104668.0,,0.129,0.301,850.155,0.50422,0.40112,0.07023,0.16087,,221.494,,,,,33.32034,39.787495,4.3339663,12.574,4.729,0.05,3138067890176.0,6413355581440.0,0.305,,,2.314068,0.634,453.603,,49.41,1596249984.0,0.65821,0.13626,1965.9000244140625,-0.7121199790877553,2.119372985587753,,,2133.960243351952,1550.8944651219051,1946.5450073242187,1990.680732421875,1996.8284338378905,1863.8405767822267,1955.9800304785217,1964.8242077889963,60.867651110106635,-8.844177310474606,-16.15349011956173,7.309312809087125,61.339676352776685,63.63396683048936,0.05691310540509577,[],[],1239703.85,709368.0,Increasing,Sideways,67.93,Bullish MACD crossover Strong volume supporting price action High volatility detected,73.24,67.93,70.59,Buy,Bullish MACD crossover Strong volume supporting price action High volatility detected
