symbol,FundamentalScore,TechnicalScore,OverallScore,FundamentalRating,TechnicalAnalysis,business_summary,sector,industry,employees,website,revenue_growth,earnings_growth,revenue_per_share,gross_margin,operating_margin,net_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,operating_cashflow,free_cashflow,pe_ratio,forward_pe,pb_ratio,ev_ebitda,ev_revenue,dividend_yield,market_cap,enterprise_value,quarterly_earnings_growth,quarterly_revenue_growth,peg_ratio,ps_ratio,beta,book_value,eps,forward_eps,shares_outstanding,insider_ownership,institutional_ownership,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend,technical_score,technical_analysis
MUTHOOTFIN,95.29,94.02,94.66,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,30451.0,0.0,0.503,0.732,327.454,1.0,0.70499,0.4705,0.21574,0.04843,367.181,108.996,108.996,0.0,0.0,17.391811,50.67297,3.545383,0.0,15.986,0.97,1076175175680.0,2101480914944.0,0.732,0.0,0.0,8.186566,0.526,756.082,0.0,52.9,401468000.0,0.73370004,0.16305,2680.60009765625,0.17938742583651912,-2.785225480795195,,,2807.0,1734.8190964928322,2644.720007324219,2639.537998046875,2425.4656188964846,2259.7956860351565,2667.9930475320302,2646.637939657897,57.27047477115631,21.35510787413341,16.833424046242175,4.521683827891234,61.59200325915021,69.18212209629301,0.09832046711949921,[],[],846033.85,294041.0,Decreasing,Strong Uptrend,94.02,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
INDIAMART,96.37,88.07,92.22,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,0.0,0.0,0.123,0.346,238.267,0.55985,0.34025002,0.41307,0.31227,0.0847,1.489,2.251,2.229,6480280064.0,4728988672.0,27.17513,26.911104,7.8422794,25.385,9.388,1.12,160261242880.0,134164676608.0,0.348,0.0,0.0,11.214216,0.477,340.526,0.0,0.0,60011700.0,0.50591,0.27186,2670.5,0.39851490828319847,4.89826179511923,,,3136.9157220494017,1876.7170112827462,2570.415002441406,2573.6860009765624,2411.6723022460938,2294.2140130615235,2596.9323946487452,2579.834955444309,59.19466709746661,17.09743920443634,5.0776277373509355,12.019811467085406,88.18610020036277,78.13281423144433,0.06813548485542231,[],[],85922.25,53643.0,Decreasing,Strong Uptrend,88.07,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
HINDALCO,73.09,98.21,85.65,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,78999.0,0.0,0.127,0.303,1106.423,0.32362998,0.09327,0.068909995,0.14729999,0.0,53.056,0.0,0.0,0.0,0.0,9.251183,9.918714,1.2639643,5.992,0.806,0.71,1563845197824.0,1979923955712.0,0.303,0.0,0.0,0.6364468,1.018,557.136,0.0,0.0,2220740096.0,0.36731,0.41841,704.2000122070312,-0.4382829972343849,1.287308479975735,,,767.0250525807884,542.4717959005195,687.8931457519532,677.2902136230468,653.9582580566406,642.4305142211914,695.8444750533689,687.6212967842407,65.89081180768835,8.223178269128198,6.101478937196366,2.121699331931832,75.79944476202574,77.94037278751695,0.0788230208397663,[],[],5026307.3,5623045.0,Increasing,Strong Uptrend,98.21,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
ACCELYA,84.13,86.11,85.12,Strong Buy,Bullish MACD crossover Strong volume supporting price action High volatility detected,0.0,0.0,0.0,2500.0,0.0,0.028,0.089,354.238,0.72636,0.33134997,0.24402,0.46033,0.24159001,22.338,2.938,2.323,1445630976.0,1124602496.0,16.314083,22.519169,7.578461,10.341,3.802,5.67,21041604608.0,20101898240.0,0.088,0.0,0.0,3.9797425,0.375,186.014,0.0,62.6,14926300.0,0.78664,0.00209,1409.699951171875,-1.032018603638718,0.9307654080672467,,,1800.4226584021658,1218.5,1394.589990234375,1403.9019946289063,1380.098994140625,1400.3075323486328,1402.8260277746476,1400.7264717654555,55.76920132725976,2.099556009192156,-1.376658308226614,3.47621431741877,67.87896387866654,62.27409113767445,0.039277304514511675,[],[],11002.3,4635.0,Increasing,Strong Uptrend,86.11,Bullish MACD crossover Strong volume supporting price action High volatility detected
POLYCAB,82.8,84.96,83.88,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions,0.0,0.0,0.0,0.0,0.0,0.257,0.493,1570.11,0.25282,0.13069999,0.093839996,0.23414,0.12966,1.947,2.193,1.135,30948489216.0,17420355584.0,48.309296,43.124813,10.2531185,32.455,4.412,0.49,1069058293760.0,1042002477056.0,0.495,0.0,0.0,4.526789,0.462,692.521,0.0,164.65,150506000.0,0.66464996,0.16128,7100.5,0.22584515491566037,1.8723098995695908,,,7562.679389071101,4529.65245570749,6916.025,6709.85439453125,6187.360043945312,6213.5128515625,7002.956180046753,6897.604857061651,69.52935468219312,105.35132298510143,92.9008998440834,12.450423141018035,84.0702947845805,85.8649723409521,0.07883667833819652,[],[],271961.7,172189.0,Decreasing,Strong Uptrend,84.96,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions
BHARTIARTL,95.05,70.14,82.59,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,28424.0,0.0,0.285,0.418,317.559,0.65817,0.31081,0.19215,0.29464,0.07039,126.505,0.424,0.177,1072185999360.0,252356493312.0,32.784466,28.390528,9.834223,15.229,7.614,0.83,11593110781952.0,14005055782912.0,0.43,0.0,0.0,6.302611,0.155,196.589,0.0,0.0,5698039808.0,0.53428,0.31776,1933.300048828125,0.1761761941577733,3.17536548455164,,,2028.8391163856081,1452.8542505000953,1903.8800170898437,1923.4492456054688,1868.6408947753907,1738.1396057128907,1907.3638091945472,1908.7411187995222,61.53846596980791,-1.3773096049749256,-6.968020416869661,5.590710811894735,71.22866931510855,63.31747411346209,0.060791888509448146,[],[],9246836.2,3271920.0,Decreasing,Strong Uptrend,70.14,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
MOTILALOFS,66.94,98.18,82.56,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,13540.0,0.0,0.215,0.31,125.564,0.82273,0.58137,0.37001,0.0,0.0,138.953,0.0,0.0,0.0,0.0,20.450045,18.474155,5.0265865,0.0,8.594,0.91,557484933120.0,646090063872.0,0.318,0.0,0.0,7.415099,-0.047,184.867,0.0,50.3,599510976.0,0.50911,0.33933,929.25,-2.1120813284305484,0.00537965909515048,,,1055.762147223656,513.0,924.8524963378907,902.9679956054688,813.6849963378907,799.8848657226563,934.7962379612469,923.5462533302089,52.44415254006209,11.249984631038046,10.701364393736908,0.5486202373011384,62.334317623330854,72.99788433749191,0.08223228096936604,[],[],1032525.05,605404.0,Increasing,Strong Uptrend,98.18,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
SBIN,66.36,94.36,80.36,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,236226.0,0.0,0.098,0.097,392.636,0.0,0.35021,0.22672,0.16584,0.01161,0.0,0.0,0.0,0.0,0.0,9.166199,9.873594,1.3996248,0.0,2.764,1.95,7534493040640.0,9686097068032.0,0.097,0.0,0.0,2.1503532,0.493,583.192,0.0,82.67,9230619648.0,0.56596,0.28242,816.25,-1.1444849300379811,-1.2461421505154835,,,858.2173712226388,666.6146467698901,811.370004272461,809.4060021972656,796.3314324951172,780.7848889160156,819.8658183402672,815.2106003065693,69.19751942164777,4.655218033697906,3.4586917514511795,1.1965262822467269,72.07647206994744,78.60925553998868,0.0637462564242471,[],[],8212588.45,5097647.0,Decreasing,Strong Uptrend,94.36,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
HDFCAMC,65.97,91.3,78.63,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions,0.0,0.0,0.0,1618.0,0.0,0.266,0.236,201.768,0.90486,0.82316,0.60383,0.0,0.0,1.766,0.0,0.0,0.0,0.0,48.077873,46.23562,15.325792,32.977,27.086,1.54,1246836555776.0,1168087449600.0,0.238,0.0,0.0,28.912354,0.539,380.274,0.0,126.05,213939008.0,0.54066,0.27919,5828.0,0.586813945460829,6.137315607357485,,,5869.5,3497.4158867437145,5632.525,5358.749990234375,4899.037915039063,4442.757943115234,5669.020182890648,5565.279793123528,65.54744525547446,103.74038976712018,99.5708325793399,4.169557187780271,92.68886244758038,93.2432881303025,0.07021289440148226,[],[],474944.45,593439.0,Decreasing,Strong Uptrend,91.3,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions
ESCORTS,64.97,88.86,76.91,Buy,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bullish MACD crossover,0.0,0.0,0.0,4622.0,0.0,0.082,3.704,924.645,0.28819,0.104729995,0.23209,0.0,0.0,1.015,0.0,0.0,0.0,0.0,31.948446,29.537445,3.8522844,32.492,3.617,1.29,392695283712.0,367829319680.0,3.767,0.0,0.0,3.8612347,0.131,926.619,0.0,120.85,110011000.0,0.73157996,0.12866999,3569.60009765625,-0.17338640548166806,4.972800989744153,,,4381.818554326479,2761.5532979782647,3440.105017089844,3367.663837890625,3334.7209399414064,3315.622117919922,3502.193352438938,3446.291148848686,74.56586999439003,55.9022035902517,35.57562611521436,20.32657747503734,72.29207948520131,74.85854706257015,0.11439540403840347,[],[],128289.55,30566.0,Increasing,Strong Uptrend,88.86,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bullish MACD crossover
CAPLIPOINT,68.3,84.38,76.34,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions,0.0,0.0,0.0,0.0,0.0,0.112,0.233,261.636,0.60749,0.31647,0.28417,0.0,0.0,0.174,0.0,0.0,0.0,0.0,29.326391,21.659342,5.938829,23.196,7.892,0.14,164800970752.0,156946350080.0,0.233,0.0,0.0,8.286744,0.048,365.072,0.0,0.0,76011696.0,0.73293996,0.04405,2168.10009765625,-1.9447333047282522,1.5408461613310775,,,2637.3363990620282,1596.7817537505716,2086.1499877929687,2072.9839990234377,2037.6787512207031,2089.484076538086,2127.6454098883473,2099.2920180464184,66.1232550811028,28.353391841928897,15.9334701194201,12.419921722508796,85.03722507708244,84.42460041237995,0.13657865207006056,[],[],152059.9,172520.0,Decreasing,Strong Uptrend,84.38,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions
ULTRACEMCO,55.09,95.21,75.15,Hold,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions,0.0,0.0,0.0,0.0,0.0,0.177,0.285,2665.762,0.58189,0.15528,0.086339995,0.0,0.0,32.618,0.0,0.0,0.0,0.0,54.6445,91.86369,5.237203,28.496,5.016,0.62,3703092019200.0,3932923101184.0,0.312,0.0,0.0,4.7226076,0.43,2403.764,0.0,137.04,294152992.0,0.6117,0.21978001,12589.0,-2.1833721833721786,2.208329950474952,,,12930.0,9984.560419697713,12404.25,12185.62966796875,11846.0582421875,11481.801665039062,12576.744370333441,12420.868627035785,64.11625148279953,155.8757432976563,121.43643223458089,34.43931106307541,81.3575000302689,88.58854624191811,0.07907869222572712,[],[],258088.0,226948.0,Increasing,Strong Uptrend,95.21,Strong bullish trend across multiple timeframes Bullish MACD crossover Stochastic indicates overbought conditions
