symbol,companyName,FundamentalScore,TechnicalScore,SentimentScore,OverallScore,Recommendation,FundamentalRating,SentimentLabel,NewsCount,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend
UPL,UPL,0.0,98.13,59.0,52.38,HOLD,Strong Sell,Positive,3,715.75,-0.13255367529655393,0.4631886780022576,,,741.0,488.52936345326924,703.5900054931641,686.6811901855468,664.6992657470703,619.0984017944336,711.1597792711423,703.3216559705985,56.413442938200944,7.838123300543771,7.117865462175049,0.7202578383687221,64.22697512173043,68.37375682982311,0.0874946857823282,[],[],2953016.05,2472182.0,Increasing,Strong Uptrend
HINDALCO,HINDALCO,0.0,98.09,59.0,52.36,HOLD,Strong Sell,Positive,3,703.9500122070312,0.3635568440561343,-0.4736286786022226,,,767.0250525807884,542.4717959005195,692.0293670654297,682.6346435546875,655.8204119873047,643.0235708618164,700.764870875622,692.5839054580626,58.92786678435807,8.180965417559378,7.600992440385296,0.5799729771740818,72.84437196388721,77.75896833537179,0.09055624095569328,[],[],5259145.3,5335149.0,Increasing,Strong Uptrend
HINDUNILVR,HINDUNILVR,0.0,97.9,59.0,52.3,HOLD,Strong Sell,Positive,3,2659.800048828125,0.2034413307356875,1.1369309705562713,,,2980.78297188193,2113.771256648273,2580.6650268554686,2473.340009765625,2400.985849609375,2359.7742236328127,2625.3288960617883,2568.1702421258487,69.39362591413142,57.15865393593958,50.98069154948106,6.177962386458525,76.16446427703393,83.29227130477987,0.11048561210014206,[],[],1732399.3,1972773.0,Increasing,Strong Uptrend
DRREDDY,DRREDDY,0.0,91.89,59.0,50.3,HOLD,Strong Sell,Positive,3,1260.0999755859375,0.02380748898140883,-1.369755818285301,,,1406.072510170324,1013.5718351625553,1242.979998779297,1264.621240234375,1240.1297436523437,1231.0961206054687,1259.1595091123795,1256.4952897080377,68.18520787522746,2.664219404341793,-0.3027985759509395,2.9670179802927326,70.18482342862819,75.2501254736164,0.08557273832652693,[],[],1460097.9,2422956.0,Increasing,Sideways
GODREJCP,GODREJCP,0.0,91.84,59.0,50.28,HOLD,Strong Sell,Positive,3,1242.5999755859375,-0.6396929598732615,-0.3848042916609451,,,1517.19988062802,971.6382841838788,1226.698553466797,1221.6124072265625,1228.068232421875,1168.751163330078,1238.2529028432189,1230.549374369175,58.58601998270407,7.703528474043878,3.0915800027009883,4.61194847134289,78.75322997175478,85.6879183470292,0.09093326528192498,[],[],1402018.7,1808734.0,Increasing,Strong Uptrend
BRITANNIA,BRITANNIA,0.0,91.61,59.0,50.2,HOLD,Strong Sell,Positive,3,5824.0,1.80038454815592,4.046449307726663,,,6386.20856861246,4447.712523679271,5557.417456054687,5620.857490234375,5507.362846679687,5163.081135253906,5622.614692815748,5591.675295861809,64.8440837249039,30.93939695393874,-10.533217796100871,41.47261475003961,89.22820786648437,76.87955851331007,0.11397714332075828,[],[],467363.25,699161.0,Increasing,Strong Uptrend
ASIANPAINT,ASIANPAINT,0.0,89.29,59.0,49.43,HOLD,Strong Sell,Positive,3,2518.60009765625,1.1892365470570487,0.5629905233080379,,,3358.1080469753347,2105.3257388113384,2502.925,2429.5599951171876,2373.5493041992186,2334.4407287597655,2505.1026692535647,2480.0939426835384,57.77295459480262,25.008726570026283,32.95346590244693,-7.944739332420646,31.002331002331005,28.721889976619646,0.07079627666243607,[],[],1337216.85,1798653.0,Increasing,Strong Uptrend
BAJAJ-AUTO,BAJAJ-AUTO,0.0,87.52,59.0,48.84,HOLD,Strong Sell,Positive,3,8631.5,-0.6674722366074026,-0.5530272481133691,,,12458.258373030149,6914.118957712413,8452.875,8359.1,8225.372900390625,8305.780395507812,8601.834554282435,8479.365139217247,67.43688489516475,122.46941506518851,101.23991864964358,21.22949641554493,74.95086802779112,79.63232463232464,0.12271825340749033,[],[],419688.15,344340.0,Decreasing,Strong Uptrend
WIPRO,WIPRO,0.0,85.78,59.0,48.26,HOLD,Strong Sell,Positive,3,249.41000366210938,-0.49470986019137797,0.30968640377699863,,,317.35771613953585,223.60184572930416,246.36800079345704,253.21370361328124,248.32912521362306,266.7260199737549,249.390053294201,249.36281030076034,69.21366794785519,0.02724299344066594,-0.9243285758606867,0.9515715693013527,64.93229355993616,70.00005233959538,0.07152870148150021,[],[],8100635.8,10117017.0,Increasing,Downtrend
EICHERMOT,EICHERMOT,0.0,85.69,59.0,48.23,HOLD,Strong Sell,Positive,3,6103.0,-0.4891570194032302,3.012912482065988,,,6269.5,4451.035622592079,5843.325,5644.398740234375,5508.105424804688,5229.935803222656,5979.846788792393,5823.006016315763,83.03303303303304,156.84077247663026,128.69177510892285,28.14899736770741,80.71684762571971,86.07704871846495,0.1311098601864702,[],[],594609.35,496302.0,Increasing,Strong Uptrend
