symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
360ONE,2026-05-12,1078.1,2026-05-19,1098.4,1.88,4.21,hold_expiry,1078.0999755859375,5.0,58.6,0.98,5.57,2.69,11.31,2026-05
360ONE,2026-05-22,1112.4,2026-06-01,1078.8,-3.02,3.56,hold_expiry,1112.4000244140625,1.98,64.6,0.57,6.02,6.75,10.95,2026-05
3MINDIA,2026-02-26,36455.0,2026-03-04,34632.25,-5.0,3.69,stop_loss,36455.0,4.14,57.4,0.9,3.36,6.0,10.58,2026-02
ABB,2026-03-20,6271.35,2026-03-23,5957.78,-5.0,0.0,stop_loss,6271.3505859375,3.92,57.5,1.0,4.13,5.18,11.07,2026-03
ABB,2026-03-27,6080.13,2026-04-07,6243.46,2.69,2.87,hold_expiry,6080.1328125,6.85,51.4,0.84,6.78,-0.46,10.28,2026-03
ACC,2026-05-26,1412.6,2026-06-01,1360.0,-3.72,1.48,hold_expiry,1412.5999755859375,3.08,49.6,0.64,5.76,-1.67,8.08,2026-05
ACMESOLAR,2026-02-23,231.49,2026-03-02,219.92,-5.0,2.73,stop_loss,231.49000549316406,3.75,60.8,0.7,6.41,11.82,13.31,2026-02
AIAENG,2026-02-19,3960.2,2026-02-26,3921.3,-0.98,0.92,hold_expiry,3960.199951171875,5.85,48.6,0.69,5.89,5.37,10.5,2026-02
AIAENG,2026-05-05,3876.4,2026-05-12,3749.8,-3.27,4.48,hold_expiry,3876.39990234375,5.68,54.7,0.46,5.46,5.32,14.28,2026-05
AIAENG,2026-05-19,4002.6,2026-05-26,4143.4,3.52,4.78,hold_expiry,4002.60009765625,2.61,50.6,0.35,7.27,-0.11,8.85,2026-05
APLAPOLLO,2026-02-23,2191.5,2026-03-02,2222.3,1.41,2.79,hold_expiry,2191.5,4.78,59.2,0.95,4.15,6.35,13.73,2026-02
APLAPOLLO,2026-04-17,2105.7,2026-04-24,2000.41,-5.0,3.2,stop_loss,2105.699951171875,0.58,61.7,0.9,7.24,7.13,12.55,2026-04
AUBANK,2026-02-18,1022.05,2026-02-23,970.95,-5.0,1.68,stop_loss,1022.0499877929688,0.53,61.8,0.81,4.47,2.73,6.57,2026-02
