Instrument,Qty.,Avg. cost,Invested,Cur. val,P&L
AXISBANK,20,951.7,19034.05,20928,1893.95
BAJAJ-AUTO,2,8167,16334,18162.8,1828.8
BAJFINANCE,28,0,0,24960.6,24960.6
BDL,5,1599,7995,7292,-703
BEL,22,385,8470,8305,-165
CAMS,6,4083.17,24499,22857.9,-1641.1
CDSL,3,1448,4344,4535.1,191.1
CIPLA,6,1506.3,9037.8,9519,481.2
COALINDIA,100,375,37500,39110,1610
COFORGE,20,1645,32900,34460,1560
DMART,2,3802,7604,9463.2,1859.2
ETERNAL,83,191.18,15867.6,26908.6,11041
HAL,2,4500,9000,8889.4,-110.6
HDFCBANK,36,794.44,28600,33926.4,5326.4
HDFCLIFE,27,589.02,15903.6,20892.6,4989
HEROMOTOCO,4,3989.5,15958,21354,5396
HINDUNILVR,11,2289.59,25185.5,29369.45,4183.95
ICICIBANK,5,1213.73,6068.63,6956.75,888.12
IDFCFIRSTB,465,66.6,30967.35,32443.05,1475.7
IEX,45,139.02,6255.9,6390.45,134.55
INFY,5,1480,7400,7374.5,-25.5
ITBEES,364,41.04,14938.56,14057.68,-880.88
JIOFIN,12,223,2676,3735,1059
KOTAKBANK,17,1812.33,30809.6,33014,2204.4
MAZDOCK,3,2775,8325,8134.2,-190.8
MOTILALOFS,4,618.35,2473.4,3493,1019.6
NESTLEIND,14,1152.53,16135.4,16737,601.6
ONGC,60,232.99,13979.4,14334.6,355.2
POWERGRID,100,286,28600,28620,20
SBICARD,6,797.01,4782.05,4754.7,-27.35
SBIN,50,800,40000,40450,450
SOUTHBANK,130,28.4,3692,3837.6,145.6
TCS,4,3478,13912,12376,-1536
UJJIVANSFB,313,36.45,11409.29,13537.25,2127.96
WIPRO,20,252.9,5058,4986.4,-71.6
