Symbol,Company Name,Quantity,Buy Price,Current Price,Date Purchased
HDFCBANK,HDFC Bank Ltd,31,794.44,,
AXISBANK,Axis Bank Ltd,26,1000.22,,
CANBK,Canara Bank,289,111.04,,
KOTAKBANK,Kotak Mahindra Bank Ltd,12,1811.91,,
SBIN,State Bank of India,60,809.25,,
ETERNAL,Eternal Ltd,29,208.1,,
BANKBARODA,Bank of Baroda,90,232.4,,
INDIANB,Indian Bank,36,676.6,,
HINDUNILVR,Hindustan Unilever Ltd,11,2289.59,,
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,211,36.45,,
PNB,Punjab National Bank,345,107.12,,
BANKINDIA,Bank of India,163,111.89,,
MAHABANK,Bank of Maharashtra,685,54.25,,
CUB,City Union Bank Ltd,89,195.09,,
UCOBANK,UCO Bank,600,28.33,,
CENTRALBK,Central Bank of India,500,35.1,,
MUTHOOTFIN,Muthoot Finance Ltd,4,2936.0,,
MOTILALOFS,Motilal Oswal Financial Services Ltd,11,836.88,,
GICRE,General Insurance Corporation of India,60,365.2,,
AUBANK,AU Small Finance Bank Ltd,28,729.5,,
RECLTD,REC Ltd,60,364.25,,
PFC,Power Finance Corporation Ltd,50,392.0,,
YESBANK,Yes Bank Ltd,550,21.11,,
NESTLEIND,Nestle India Ltd,14,1152.53,,
KARURVYSYA,Karur Vysya Bank Ltd,81,216.31,,
LICHSGFIN,LIC Housing Finance Ltd,22,575.5,,
UNIONBANK,Union Bank of India,100,136.8,,
IDBI,IDBI Bank Ltd,190,94.12,,
J&KBANK,Jammu & Kashmir Bank Ltd,180,105.6,,
NMDC,NMDC Ltd,264,77.35,,
FEDERALBNK,Federal Bank Ltd,85,198.48,,
IOB,Indian Overseas Bank,412,40.82,,
DRREDDY,Dr. Reddy's Laboratories Ltd,10,1310.7,,
WIPRO,Wipro Ltd,77,250.3,,
ICICIBANK,ICICI Bank Ltd,18,1401.75,,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,1,13261.0,,
