Symbol,Company Name,Quantity,Buy Price,Current Price,Date Purchased
RELIANCE,Reliance Industries Ltd,10,2500.0,,2024-05-15
HDFCBANK,HDFC Bank Ltd,15,1600.0,,2024-06-10
INFY,Infosys Ltd,20,1400.0,,2024-07-20
TCS,Tata Consultancy Services Ltd,5,3500.0,,2024-04-05
SBIN,State Bank of India,30,600.0,,2024-05-20
ICICIBANK,ICICI Bank Ltd,25,950.0,,2024-06-15
LT,Larsen & Toubro Ltd,8,2800.0,,2024-07-01
KOTAKBANK,Kotak Mahindra Bank Ltd,12,1750.0,,2024-05-10
HINDUNILVR,Hindustan Unilever Ltd,7,2450.0,,2024-06-22
ITC,ITC Ltd,50,420.0,,2024-07-15
