date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-31 14:43:35.687436,AIAENG,NEW POSITION,61.8,4503.6,33.112274,16.952,0.128,[POLICY OVERRIDE] action=NEW POSITION | raw=🎯 ORACLE+TURBO POOL,0,Industrials,,,,,,,78.3,74.8,99.2,94.2,50.0,71.4,74.6,SIDEWAYS,73.7,20.0,TACTICAL,61.8,83.875,61.8,fq_score,
2026-05-31 14:43:35.690421,ZYDUSLIFE,HOLD,-17.549999999999997,1077.7,21.506683,18.318,42.242,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Healthcare,,,,,,,85.1,75.1,20.0,92.1,50.0,76.2,56.7,SIDEWAYS,62.5,48.1,TACTICAL,-17.549999999999997,63.605,-17.549999999999997,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.693748,GVT&D,HOLD,-5.800000000000001,5148.6,106.37603,55.261,0.892,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Industrials,,,,,,,74.9,75.2,31.8,99.2,50.0,60.8,61.9,SIDEWAYS,96.0,20.0,TACTICAL,-5.800000000000001,68.89500000000001,-5.800000000000001,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.696603,SOLARINDS,HOLD,-16.75,18247.0,98.0389,31.332,23.271,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Basic Materials,,,,,,,71.1,73.5,20.0,84.9,50.0,65.3,55.4,SIDEWAYS,95.5,20.0,TACTICAL,-16.75,59.865,-16.75,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.699510,TRITURBINE,HOLD,-17.6,741.5,67.59344,26.217,2.476,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Industrials,,,,,,,69.4,75.2,20.0,98.5,50.0,61.3,56.3,SIDEWAYS,66.8,20.0,TACTICAL,-17.6,65.39,-17.6,fq_score,ORACLE_NO_RANK_SELL
2026-05-31 14:43:35.702736,COALINDIA,HOLD,67.3,457.9,9.074514,28.124,11.629,[POLICY OVERRIDE] action=HOLD | raw=🎯 ORACLE+TURBO POOL,0,Energy,,,,,,,90.7,35.6,85.1,59.9,50.0,75.9,60.8,SIDEWAYS,64.5,82.6,CORE,67.3,63.33,67.3,fq_score,
2026-05-31 14:43:35.705951,CAPLIPOINT,HOLD,-16.5,2024.5,24.095455,19.939,0.127,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Healthcare,,,,,,,84.9,73.0,20.0,80.9,50.0,57.5,56.6,SIDEWAYS,69.2,42.0,TACTICAL,-16.5,58.905,-16.5,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.709006,GLAND,HOLD,-37.5,2250.0,36.10398,10.532,2.738,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Healthcare,,,,,,,68.6,75.0,0.0,78.6,50.0,66.2,49.7,SIDEWAYS,86.2,31.2,TACTICAL,-37.5,52.37,-37.5,fq_score,ORACLE_NO_RANK_SELL
2026-05-31 14:43:35.712435,ACUTAAS,HOLD,-10.500000000000004,3132.5,89.29589,23.516,2.081,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Basic Materials,,,,,,,68.2,74.4,26.7,91.0,50.0,60.8,55.5,SIDEWAYS,95.2,20.0,TACTICAL,-10.500000000000004,63.925,-10.500000000000004,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.715707,BSE,HOLD,-13.549999999999995,4146.1,78.12512,36.003,0.0,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Financial Services,,,,,,,75.0,67.1,20.0,83.6,50.0,55.9,55.5,SIDEWAYS,100.0,20.0,TACTICAL,-13.549999999999995,58.9,-13.549999999999995,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.718806,ENRIN,HOLD,-0.4500000000000028,3872.1,105.27733,25.109,4.483,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Utilities,,,,,,,74.3,75.5,37.3,91.7,50.0,55.1,59.4,SIDEWAYS,88.7,20.0,TACTICAL,-0.4500000000000028,67.27000000000001,-0.4500000000000028,fq_score,✅ KEEP & INCREASE
2026-05-31 14:43:35.721993,HINDPETRO,HOLD,-15.499999999999998,393.85,4.6444573,30.929,85.369,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Energy,,,,,,,71.1,57.8,13.4,71.1,50.0,44.9,53.0,SIDEWAYS,77.4,77.2,CORE,-15.499999999999998,51.125,-15.499999999999998,fq_score,⚪ HOLD - MONITOR
