symbol,fiscal_year,is_standard_period,roe,debt_to_equity,book_value_cr,bv_per_share,eps,net_profit_cr,equity_cr,borrowings_cr,revenue_cr,interest_expense_cr,revenue_growth_pct,earnings_growth_pct
ABB,Dec 2011,True,7.3,0.0,2534.0,60333.33,4404.76,185.0,2534.0,0.0,7449.0,46.0,,
ABB,Dec 2012,True,5.42,12.61,2601.0,61928.57,3357.14,141.0,2601.0,328.0,7608.0,57.0,2.13,-23.78
ABB,Dec 2024,True,26.46,0.73,7075.0,168452.38,44571.43,1872.0,7075.0,52.0,12188.0,16.0,60.2,1227.66
ABB,Dec 2025,True,21.29,1.08,7836.0,186571.43,39714.29,1668.0,7836.0,85.0,13203.0,20.0,8.33,-10.9
ABB,TTM,True,,,,,,2977.0,,0.0,13093.0,19.0,-0.83,78.48
ACC,Dec 2014,True,14.14,0.0,8218.0,43712.77,6180.85,1162.0,8218.0,0.0,11646.0,83.0,,
ACC,Dec 2015,True,6.97,0.0,8421.0,44792.55,3122.34,587.0,8421.0,0.0,11706.0,65.0,0.52,-49.48
ACC,Dec 2016,True,7.47,0.0,8813.0,46877.66,3500.0,658.0,8813.0,0.0,10990.0,79.0,-6.12,12.1
ACC,Dec 2017,True,9.89,0.0,9356.0,49765.96,4920.21,925.0,9356.0,0.0,13285.0,99.0,20.88,40.58
ACC,Dec 2018,True,14.44,0.0,10532.0,56021.28,8090.43,1521.0,10532.0,0.0,14802.0,88.0,11.42,64.43
ACC,Dec 2019,True,11.94,0.0,11544.0,61404.26,7329.79,1378.0,11544.0,0.0,15658.0,86.0,5.78,-9.4
ACC,Dec 2020,True,11.26,0.8,12699.0,67547.87,7606.38,1430.0,12699.0,102.0,13786.0,57.0,-11.96,3.77
ACC,Dec 2021,True,13.02,0.88,14309.0,76111.7,9909.57,1863.0,14309.0,126.0,16152.0,55.0,17.16,30.28
ACC,Mar 2023,True,,1.08,14138.0,75202.13,,,14138.0,153.0,,,,
ACC,"Mar 2023
            
            
              15m",False,,,,,,885.0,,0.0,22210.0,77.0,,
ACC,Mar 2024,True,14.31,2.17,16330.0,86861.7,12430.85,2337.0,16330.0,355.0,19959.0,155.0,,
ACC,Mar 2025,True,12.95,2.32,18555.0,98696.81,12776.6,2402.0,18555.0,430.0,21920.0,108.0,9.83,2.78
ACC,Mar 2026,True,10.4,2.09,20551.0,109313.83,11367.02,2137.0,20551.0,429.0,25962.0,112.0,18.44,-11.03
APLAPOLLO,Mar 2015,True,12.93,97.37,495.0,21521.74,2782.61,64.0,495.0,482.0,3090.0,66.0,,
APLAPOLLO,Mar 2016,True,17.81,114.81,567.0,24652.17,4391.3,101.0,567.0,651.0,4154.0,70.0,34.43,57.81
APLAPOLLO,Mar 2017,True,21.59,84.38,704.0,29333.33,6333.33,152.0,704.0,594.0,3924.0,72.0,-5.54,50.5
