"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AXISBANK",79,1317.75,1214.7,104102.1,95961.3,-8140.8,-7.82,1.45,""
"BAJAJHLDNG",8,10980,9631,87840,77048,-10792,-12.29,1.31,""
"BANKBARODA",124,320,280,39680,34720,-4960,-12.5,-0.39,""
"BANKINDIA",244,163.5,150.67,39894.51,36763.48,-3131.03,-7.85,0.31,""
"CANBK",254,157.48,134.75,39999.92,34226.5,-5773.42,-14.43,-0.04,""
"CENTRALBK",1443,40.13,35.05,57905.22,50577.15,-7328.07,-12.66,-1.3,""
"DRREDDY",15,1228.1,1275.05,18421.5,19125.75,704.25,3.82,-1.39,""
"GICRE",84,382.2,358.9,32104.8,30147.6,-1957.2,-6.1,-0.26,""
"ICICIBANK",50,1402.58,1272.9,70129,63645,-6484,-9.25,1.44,""
"ICICIGI",32,1912.5,1850.5,61200,59216,-1984,-3.24,0.73,""
"ICICIPRULI",100,655.37,583.9,65537.05,58390,-7147.05,-10.91,0.03,""
"IDBI",280,115.4,77,32312,21560,-10752,-33.28,-16.49,""
"INDIANB",51,904.5,882.9,46129.5,45027.9,-1101.6,-2.39,1.41,""
"IOB",769,36.55,32.27,28106.95,24815.63,-3291.32,-11.71,-1.13,""
"J&KBANK",569,119.8,122.5,68166.2,69702.5,1536.3,2.25,1.03,""
"KOTAKBANK",117,426.4,369.85,49888.8,43272.45,-6616.35,-13.26,0.82,""
"LICHSGFIN",27,528.15,501.5,14260.05,13540.5,-719.55,-5.05,0.99,""
"MAHABANK",684,73.02,63.31,49944.63,43304.04,-6640.59,-13.3,-1.22,""
"NIFTYBEES",180,280,265.18,50400,47732.4,-2667.6,-5.29,0.95,""
"PNB",308,129.76,110.97,39966.08,34178.76,-5787.32,-14.48,-0.65,""
"SBIN",33,1022.56,1066.7,33744.5,35201.1,1456.6,4.32,1.88,""
"UCOBANK",1954,29.65,25.16,57936.1,49162.64,-8773.46,-15.14,-0.75,""
"UNIONBANK",255,154.47,175.4,39390.2,44727,5336.8,13.55,0.86,""
