"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AXISBANK",79,1317.75,1218,104102.1,96222,-7880.1,-7.57,-2.81,""
"BAJAJHLDNG",8,10980,9724,87840,77792,-10048,-11.44,-1.37,""
"BANKBARODA",124,320,277.05,39680,34354.2,-5325.8,-13.42,-2.15,""
"BANKINDIA",244,163.5,148.8,39894.51,36307.2,-3587.31,-8.99,-2.46,""
"CANBK",254,157.48,135.74,39999.92,34477.96,-5521.96,-13.8,-1.29,""
"CENTRALBK",1443,40.13,34.5,57905.22,49783.5,-8121.72,-14.03,-1.99,""
"DRREDDY",15,1228.1,1275,18421.5,19125,703.5,3.82,-1.53,""
"GICRE",84,382.2,369.2,32104.8,31012.8,-1092,-3.4,-0.5,""
"ICICIBANK",50,1402.58,1265.7,70129,63285,-6844,-9.76,-1.88,""
"ICICIGI",32,1912.5,1801.1,61200,57635.2,-3564.8,-5.82,-1.72,""
"ICICIPRULI",100,655.37,571.6,65537.05,57160,-8377.05,-12.78,-3,""
"IDBI",280,115.4,72.15,32312,20202,-12110,-37.48,-3.74,""
"INDIANB",51,904.5,865,46129.5,44115,-2014.5,-4.37,-2.72,""
"IOB",769,36.55,31.99,28106.95,24600.31,-3506.64,-12.48,-1.78,""
"J&KBANK",569,119.8,121.86,68166.2,69338.34,1172.14,1.72,-1.34,""
"KOTAKBANK",117,426.4,367,49888.8,42939,-6949.8,-13.93,-2.24,""
"LICHSGFIN",27,528.15,494.45,14260.05,13350.15,-909.9,-6.38,-1.73,""
"MAHABANK",684,73.02,62.51,49944.63,42756.84,-7187.79,-14.39,-2.53,""
"NIFTYBEES",180,280,264.02,50400,47523.6,-2876.4,-5.71,-2.01,""
"PNB",308,129.76,110.85,39966.08,34141.8,-5824.28,-14.57,-2.01,""
"SBIN",33,1022.56,1053.3,33744.5,34758.9,1014.4,3.01,-1.54,""
"UCOBANK",1954,29.65,25.3,57936.1,49436.2,-8499.9,-14.67,-1.56,""
"UNIONBANK",255,154.47,174.49,39390.2,44494.95,5104.75,12.96,-1.92,""
