date,symbol,action,action_bucket,score,score_v2,picking_rank,regime,sector,return_7d,return_30d,return_90d,correct_30d
2026-03-24 22:55:43.784902,COALINDIA,NEW POSITION,NEW POSITION,73.565,,25.0,,Energy,1.65,3.14,,True
2026-03-24 22:55:43.787669,LUPIN,NEW POSITION,NEW POSITION,71.47,,25.0,,Healthcare,-2.44,-1.53,,False
2026-03-24 22:55:43.789379,AUROPHARMA,NEW POSITION,NEW POSITION,70.72500000000001,,25.0,,Healthcare,4.72,10.32,,True
2026-03-24 22:55:43.791044,DRREDDY,HOLD,HOLD,63.795,,25.0,,Healthcare,-3.97,4.56,,
2026-03-24 22:55:43.792881,ICICIBANK,HOLD,HOLD,59.205,,25.0,,Financial Services,-3.08,5.99,,
2026-03-24 22:55:43.794646,J&KBANK,HOLD,HOLD,58.489999999999995,,25.0,,Financial Services,1.03,11.45,,
2026-03-24 22:55:43.796182,SBIN,HOLD,HOLD,58.28,,25.0,,Financial Services,-1.26,6.82,,
2026-03-24 22:55:43.798069,AXISBANK,HOLD,HOLD,57.32,,25.0,,Financial Services,0.03,14.52,,
2026-03-24 22:55:43.799852,ICICIGI,HOLD,HOLD,56.855,,25.0,,Financial Services,-2.03,2.43,,
2026-03-24 22:55:43.801350,INDIANB,HOLD,HOLD,56.325,,25.0,,Financial Services,1.9,4.41,,
2026-03-24 22:55:43.802725,GICRE,HOLD,HOLD,55.62500000000001,,25.0,,Financial Services,6.38,11.36,,
2026-03-24 22:55:43.804093,KOTAKBANK,HOLD,HOLD,55.62500000000001,,25.0,,Financial Services,-2.94,1.09,,
2026-03-24 22:55:43.805469,PNB,STOP LOSS,STOP LOSS,54.575,,25.0,,Financial Services,-3.04,5.44,,
2026-03-24 22:55:43.811858,BANKBARODA,STOP LOSS,STOP LOSS,53.900000000000006,,25.0,,Financial Services,-6.83,1.34,,
2026-03-25 10:02:16.559000,LUPIN,WATCHLIST,WATCHLIST,70.8265,,25.0,,Healthcare,-5.84,-0.84,,
2026-03-25 10:02:16.562071,COALINDIA,NEW POSITION,NEW POSITION,70.44925,,25.0,,Energy,0.82,2.78,,True
2026-03-25 10:02:16.563687,DRREDDY,INCREASE,INCREASE,63.63275,,25.0,,Healthcare,-7.65,3.59,,True
2026-03-25 10:02:16.565199,J&KBANK,WATCHLIST,WATCHLIST,59.7605,,25.0,,Financial Services,-6.22,10.01,,
2026-03-25 10:02:16.566771,SBIN,WATCHLIST,WATCHLIST,59.446000000000005,,25.0,,Financial Services,-6.51,6.23,,
2026-03-25 10:02:16.568492,ICICIBANK,HOLD,HOLD,59.20225,,25.0,,Financial Services,-5.3,4.19,,
2026-03-25 10:02:16.570116,INDIANB,WATCHLIST,WATCHLIST,57.30125,,25.0,,Financial Services,-5.44,1.69,,
2026-03-25 10:02:16.571591,AXISBANK,HOLD,HOLD,57.254000000000005,,25.0,,Financial Services,-4.8,8.78,,
2026-03-25 10:02:16.573290,ICICIGI,HOLD,HOLD,56.60475000000001,,25.0,,Financial Services,-6.22,0.76,,
2026-03-25 10:02:16.574743,KOTAKBANK,HOLD,HOLD,56.10625,,25.0,,Financial Services,-7.26,0.43,,
2026-03-25 10:02:16.576292,GICRE,HOLD,HOLD,55.17125,,25.0,,Financial Services,0.88,10.08,,
2026-03-25 10:02:16.577736,CANBK,HOLD,HOLD,54.851000000000006,,25.0,,Financial Services,-9.9,3.16,,
2026-03-25 10:02:16.586474,ICICIPRULI,HOLD,HOLD,50.4145,,25.0,,Financial Services,-9.03,-5.18,,
2026-03-25 10:10:40.926749,LUPIN,WATCHLIST,WATCHLIST,70.8265,,25.0,,Healthcare,-5.84,-0.84,,
2026-03-25 10:10:40.929663,COALINDIA,NEW POSITION,NEW POSITION,70.44925,,25.0,,Energy,0.82,2.78,,True
2026-03-25 10:10:40.931805,DRREDDY,INCREASE,INCREASE,63.63275,,25.0,,Healthcare,-7.65,3.59,,True
2026-03-25 10:10:40.933656,J&KBANK,WATCHLIST,WATCHLIST,59.7605,,25.0,,Financial Services,-6.22,10.01,,
2026-03-25 10:10:40.935378,SBIN,WATCHLIST,WATCHLIST,59.446000000000005,,25.0,,Financial Services,-6.51,6.23,,
2026-03-25 10:10:40.937036,ICICIBANK,HOLD,HOLD,59.20225,,25.0,,Financial Services,-5.3,4.19,,
2026-03-25 10:10:40.939073,INDIANB,WATCHLIST,WATCHLIST,57.30125,,25.0,,Financial Services,-5.44,1.69,,
2026-03-25 10:10:40.940738,AXISBANK,HOLD,HOLD,57.254000000000005,,25.0,,Financial Services,-4.8,8.78,,
2026-03-25 10:10:40.942413,ICICIGI,HOLD,HOLD,56.60475000000001,,25.0,,Financial Services,-6.22,0.76,,
2026-03-25 10:10:40.944183,KOTAKBANK,HOLD,HOLD,56.10625,,25.0,,Financial Services,-7.26,0.43,,
2026-03-25 10:10:40.946153,GICRE,HOLD,HOLD,55.17125,,25.0,,Financial Services,0.88,10.08,,
2026-03-25 10:10:40.947867,CANBK,HOLD,HOLD,54.851000000000006,,25.0,,Financial Services,-9.9,3.16,,
2026-03-25 10:10:40.957606,ICICIPRULI,HOLD,HOLD,50.4145,,25.0,,Financial Services,-9.03,-5.18,,
2026-03-25 10:56:31.022825,LUPIN,WATCHLIST,WATCHLIST,70.8265,,25.0,,Healthcare,-5.84,-0.84,,
2026-03-25 10:56:31.026472,COALINDIA,NEW POSITION,NEW POSITION,70.44925,,25.0,,Energy,0.82,2.78,,True
2026-03-25 10:56:31.028540,DRREDDY,INCREASE,INCREASE,63.63275,,25.0,,Healthcare,-7.65,3.59,,True
2026-03-25 10:56:31.030448,J&KBANK,WATCHLIST,WATCHLIST,59.7605,,25.0,,Financial Services,-6.22,10.01,,
2026-03-25 10:56:31.032226,SBIN,WATCHLIST,WATCHLIST,59.446000000000005,,25.0,,Financial Services,-6.51,6.23,,
2026-03-25 10:56:31.033976,ICICIBANK,HOLD,HOLD,59.20225,,25.0,,Financial Services,-5.3,4.19,,
2026-03-25 10:56:31.035734,INDIANB,WATCHLIST,WATCHLIST,57.30125,,25.0,,Financial Services,-5.44,1.69,,
2026-03-25 10:56:31.037561,AXISBANK,HOLD,HOLD,57.254000000000005,,25.0,,Financial Services,-4.8,8.78,,
2026-03-25 10:56:31.039398,ICICIGI,HOLD,HOLD,56.60475000000001,,25.0,,Financial Services,-6.22,0.76,,
2026-03-25 10:56:31.041144,KOTAKBANK,HOLD,HOLD,56.10625,,25.0,,Financial Services,-7.26,0.43,,
2026-03-25 10:56:31.042852,GICRE,HOLD,HOLD,55.17125,,25.0,,Financial Services,0.88,10.08,,
2026-03-25 10:56:31.044538,CANBK,HOLD,HOLD,54.851000000000006,,25.0,,Financial Services,-9.9,3.16,,
2026-03-25 10:56:31.054627,ICICIPRULI,HOLD,HOLD,50.4145,,25.0,,Financial Services,-9.03,-5.18,,
2026-03-25 15:01:10.203393,AUROPHARMA,WATCHLIST,WATCHLIST,71.53625000000001,,25.0,,Healthcare,-1.81,8.47,,
2026-03-25 15:01:10.206678,LUPIN,WATCHLIST,WATCHLIST,71.1565,,25.0,,Healthcare,-5.95,-0.96,,
2026-03-25 15:01:10.209052,COALINDIA,NEW POSITION,NEW POSITION,70.99924999999999,,25.0,,Energy,0.01,1.96,,True
2026-03-25 15:01:10.211208,DRREDDY,INCREASE,INCREASE,64.78775,,25.0,,Healthcare,-8.48,2.65,,True
2026-03-25 15:01:10.213249,J&KBANK,WATCHLIST,WATCHLIST,60.8055,,25.0,,Financial Services,-7.1,8.98,,
2026-03-25 15:01:10.215388,SBIN,WATCHLIST,WATCHLIST,59.996,,25.0,,Financial Services,-7.72,4.85,,
2026-03-25 15:01:10.217461,ICICIBANK,HOLD,HOLD,59.20225,,25.0,,Financial Services,-5.21,4.28,,
2026-03-25 15:01:10.219390,INDIANB,WATCHLIST,WATCHLIST,58.51125,,25.0,,Financial Services,-6.83,0.2,,
2026-03-25 15:01:10.221434,AXISBANK,HOLD,HOLD,58.079,,25.0,,Financial Services,-5.42,8.07,,
2026-03-25 15:01:10.223457,ICICIGI,HOLD,HOLD,56.71475,,25.0,,Financial Services,-7.28,-0.38,,
2026-03-25 15:01:10.225463,GICRE,HOLD,HOLD,56.65625,,25.0,,Financial Services,-0.16,8.94,,
2026-03-25 15:01:10.227627,KOTAKBANK,HOLD,HOLD,56.10625,,25.0,,Financial Services,-6.18,1.6,,
2026-03-25 15:01:10.229774,CANBK,HOLD,HOLD,55.511,,25.0,,Financial Services,-10.13,2.88,,
2026-03-25 15:01:10.233617,PNB,HOLD,HOLD,54.478750000000005,,25.0,,Financial Services,-8.68,3.59,,
2026-03-25 20:31:53.805452,DRREDDY,INCREASE,INCREASE,63.77660009765626,,25.0,,Healthcare,-8.53,2.6,,True
2026-03-25 20:31:53.809479,J&KBANK,WATCHLIST,WATCHLIST,59.35560009765625,,25.0,,Financial Services,-6.71,9.44,,
2026-03-25 20:31:53.811908,SBIN,WATCHLIST,WATCHLIST,59.313600097656256,,25.0,,Financial Services,-7.74,4.83,,
2026-03-25 20:31:53.814013,INDIANB,WATCHLIST,WATCHLIST,57.96260009765626,,25.0,,Financial Services,-6.64,0.4,,
2026-03-25 20:31:53.815963,ICICIBANK,HOLD,HOLD,57.49860009765625,,25.0,,Financial Services,-5.18,4.32,,
2026-03-25 20:31:53.817945,AXISBANK,HOLD,HOLD,56.32160009765625,,25.0,,Financial Services,-5.17,8.35,,
2026-03-25 20:31:53.819870,ICICIGI,HOLD,HOLD,55.90860009765625,,25.0,,Financial Services,-6.92,0.01,,
2026-03-25 20:31:53.821718,GICRE,HOLD,HOLD,55.74260009765626,,25.0,,Financial Services,-0.23,8.86,,
