symbol,company_name,ACTION,WHEN_TO_ACT,INVEST_₹,BUY_SHARES,MY_SHARES,MY_VALUE_₹,MY_PROFIT_%,BOOK_%_IF_SELL,SCORE,NEW_SCORE,TYPE,RANK
CENTRALBK,Central Bank of India,INCREASE,,11973.09,317,500,19040.0,8.49002849002849,,34.87100381437612,72.66000000000001,SPECULATIVE,1
GICRE,General Insurance Corporation of India,INCREASE,,11662.5,30,60,22782.0,3.970427163198247,,33.7600968607744,88.75125,SPECULATIVE,2
PFC,Power Finance Corporation Limited,INCREASE,,11857.5,30,50,20317.5,3.660714285714286,,32.43790879087909,44.919,SPECULATIVE,3
BANKBARODA,Bank of Baroda Limited,INCREASE,,11972.25,45,90,24115.5,15.29690189328744,,31.71784061083599,79.485,SPECULATIVE,4
UNIONBANK,Union Bank of India,INCREASE,,11885.2,86,100,13860.0,1.31578947368421,,31.36169648483144,72.45,SPECULATIVE,5
LICHSGFIN,LIC Housing Finance Limited,INCREASE,,11970.0,21,22,12480.6,-1.42484795829713,,31.2149511213341,47.334,SPECULATIVE,6
BANKINDIA,Bank of India Limited,INCREASE,,11927.25,95,163,20489.1,12.34247922066315,,31.20032560335747,64.575,SPECULATIVE,7
PNB,Punjab National Bank,INCREASE,,11896.5,103,345,40365.0,9.2271432089211,,31.19508121158566,80.01,SPECULATIVE,8
J&KBANK,Jammu and Kashmir Bank Limited,INCREASE,,11956.53,113,180,19116.0,0.5681818181818182,,31.14052491407744,68.25,SPECULATIVE,9
RECLTD,REC Limited,INCREASE,,11902.4,32,60,22662.0,3.692518874399451,,30.83433466844682,65.4465,SPECULATIVE,10
HDFCBANK,HDFC Bank Limited,SELL,Within 1 week,0.0,0,31,30442.0,48.90177481798151,50.0,19.0696586103951,83.58,SPECULATIVE,31
INDIANB,Indian Bank,HOLD,,11553.0,15,36,27745.2,13.76205471363905,,30.64859131303904,88.72500000000001,SPECULATIVE,11
CANBK,Canara Bank,HOLD,,11908.86,94,289,37200.08,15.40777325523678,,30.57195969355547,78.22500000000001,SPECULATIVE,12
MAHABANK,Bank of Maharashtra,HOLD,,11949.6,208,685,40462.95,8.879665258455983,,30.3498965314075,85.05,SPECULATIVE,13
CUB,City Union Bank Limited,HOLD,,11969.64,54,89,19304.1,11.17945563586037,,27.30056329571423,88.72500000000001,SPECULATIVE,14
NMDC,NMDC Limited,KEEP,Next 1-2 days,11936.71,157,264,20066.64,-1.732385261797036,100.0,27.27866878794826,76.23000000000002,SPECULATIVE,15
AXISBANK,Axis Bank Limited,HOLD,,0.0,0,26,31038.8,16.14426543582913,,27.27416802707337,81.375,SPECULATIVE,16
IDBI,IDBI Bank Limited,KEEP,Next 1-2 days,0.0,0,190,17730.8,-0.8499787505312368,100.0,26.99068177045408,86.10000000000001,SPECULATIVE,17
KARURVYSYA,The Karur Vysya Bank Limited,KEEP,Next 1-2 days,0.0,0,81,18123.75,3.439508113355828,100.0,26.71532335531458,80.325,SPECULATIVE,18
UCOBANK,UCO Bank,HOLD,,0.0,0,600,18984.0,11.68372749735263,,26.69184191231133,86.52000000000001,SPECULATIVE,19
SBIN,State Bank of India,HOLD,,0.0,0,60,53025.0,9.20605498918752,,26.67160175121599,88.2,SPECULATIVE,20
FEDERALBNK,The Federal Bank Limited,HOLD,,0.0,0,85,18270.75,8.298707226137617,,26.19090788788953,79.275,SPECULATIVE,21
IOB,Indian Overseas Bank,KEEP,Next 1-2 days,0.0,0,412,16570.64,-1.469867711905933,100.0,25.64852947303223,74.34000000000002,SPECULATIVE,22
BAJAJHLDNG,Bajaj Holdings & Investment Limited,SELL,Next 1-2 days,0.0,0,2,24762.0,-1.453405074978512,100.0,24.84649653751984,71.84625,SPECULATIVE,23
UJJIVANSFB,Ujjivan Small Finance Bank Limited,INCREASE,Within 3 weeks,11984.44,247,211,10256.71,28.054729119822,30.0,24.82912433452104,98.41125,SPECULATIVE,24
DRREDDY,Dr. Reddy's Laboratories Limited,KEEP,TODAY (cut losses),0.0,0,10,12345.5,-5.809872587167162,100.0,23.87193573464628,56.175,OPPORTUNISTIC,25
WIPRO,Wipro Limited,SELL,Next 1-2 days,0.0,0,77,19214.58,-0.3036356372353011,100.0,22.81195954712564,62.475,SPECULATIVE,26
ICICIBANK,ICICI Bank Limited,SELL,Next 1-2 days,0.0,0,18,25239.6,0.03210272873193645,100.0,21.76320730892276,88.2,SPECULATIVE,27
YESBANK,Yes Bank Limited,SELL,Next 1-2 days,0.0,0,550,12793.0,10.18474656560872,100.0,21.67204760765508,78.22500000000001,SPECULATIVE,28
MUTHOOTFIN,Muthoot Finance Limited,SELL,Next 1-2 days,0.0,0,4,13052.2,11.13930517711172,100.0,20.85368127381486,86.94,SPECULATIVE,29
KOTAKBANK,Kotak Mahindra Bank Limited,SELL,,0.0,0,12,25969.2,19.22184347347037,,19.86417861894892,82.635,SPECULATIVE,30
MOTILALOFS,Motilal Oswal Financial Services Limited,SELL,Next 1-2 days,0.0,0,11,11046.2,14.55505200825495,100.0,18.39918184557147,54.075,SPECULATIVE,32
AUBANK,AU Small Finance Bank Limited,SELL,,0.0,0,28,22608.6,10.68540095956134,,16.84382497675653,76.33500000000001,SPECULATIVE,33
NESTLEIND,Nestlé India Limited,KEEP,Next 1-2 days,0.0,0,14,17178.7,6.465907259813833,100.0,15.08391476716782,43.575,OPPORTUNISTIC,34
HINDUNILVR,Hindustan Unilever Limited,KEEP,,0.0,0,11,27739.8,10.14194675507732,,14.3950359350166,42.0,OPPORTUNISTIC,35
