Symbol,Score,Quintile,Position %,Recommendation,Target Return,Current Price,PE Ratio,Market Cap
BANKBARODA.NS,100.0,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹291.20,7.8300624,₹150590Cr
SBIN.NS,97.8,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹949.45,10.660526,₹875986Cr
UNIONBANK.NS,97.5,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹151.01,6.2323565,₹115275Cr
BPCL.NS,89.2,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹367.85,7.405879,₹159592Cr
BANKINDIA.NS,89.1,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹141.91,6.700189,₹64607Cr
KARURVYSYA.NS,89.0,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹251.94,11.562184,₹24347Cr
AXISBANK.NS,87.0,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹1233.30,14.77714,₹382779Cr
INDIANB.NS,87.0,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹880.00,10.511228,₹118574Cr
UCOBANK.NS,85.5,Q5,8.4%,🟢 STRONG BUY,+8.70%,₹33.60,16.349516,₹42233Cr
HDFCBANK.NS,82.5,Q5,8.4%,🟢 BUY,+5.31%,₹992.95,22.701189,₹1526825Cr
CANBK.NS,82.5,Q5,8.4%,🟢 BUY,+5.31%,₹139.70,5.914479,₹126717Cr
