Symbol,Company Name
ABB,ABB India Ltd.
ACC,ACC Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ALKEM,Alkem Laboratories Ltd.
AMBUJACEM,Ambuja Cements Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTRAL,Astral Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BAJAJHFL,Bajaj Housing Finance Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BHARTIHEXA,Bharti Hexacom Ltd.
BIOCON,Biocon Ltd.
BOSCHLTD,Bosch Ltd.
BRITANNIA,Britannia Industries Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CANBK,Canara Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIPLA,Cipla Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CONCOR,Container Corporation of India Ltd.
CUMMINSIND,Cummins India Ltd.
DLF,DLF Ltd.
DABUR,Dabur India Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
EICHERMOT,Eicher Motors Ltd.
